NUTS2_code,process,hour,load
AT31,Heating Tertiary,1,248.53599999999997
AT31,Heating Tertiary,2,263.635
AT31,Heating Tertiary,3,270.475
AT31,Heating Tertiary,4,272.988
AT31,Heating Tertiary,5,268.39799999999997
AT31,Heating Tertiary,6,254.297
AT31,Heating Tertiary,7,231.63
AT31,Heating Tertiary,8,204.648
AT31,Heating Tertiary,9,179.166
AT31,Heating Tertiary,10,159.433
AT31,Heating Tertiary,11,145.851
AT31,Heating Tertiary,12,135.416
AT31,Heating Tertiary,13,127.29299999999999
AT31,Heating Tertiary,14,122.791
AT31,Heating Tertiary,15,120.764
AT31,Heating Tertiary,16,119.853
AT31,Heating Tertiary,17,118.31700000000001
AT31,Heating Tertiary,18,117.73200000000001
AT31,Heating Tertiary,19,119.694
AT31,Heating Tertiary,20,127.02799999999999
AT31,Heating Tertiary,21,142.387
AT31,Heating Tertiary,22,165.472
AT31,Heating Tertiary,23,194.40200000000002
AT31,Heating Tertiary,24,224.253
AT31,Heating Tertiary,25,244.595
AT31,Heating Tertiary,26,256.255
AT31,Heating Tertiary,27,263.267
AT31,Heating Tertiary,28,267.11
AT31,Heating Tertiary,29,263.66900000000004
AT31,Heating Tertiary,30,249.75099999999998
AT31,Heating Tertiary,31,226.898
AT31,Heating Tertiary,32,199.78099999999998
AT31,Heating Tertiary,33,173.56400000000005
AT31,Heating Tertiary,34,152.477
AT31,Heating Tertiary,35,137.408
AT31,Heating Tertiary,36,126.361
AT31,Heating Tertiary,37,118.505
AT31,Heating Tertiary,38,114.95700000000001
AT31,Heating Tertiary,39,115.33
AT31,Heating Tertiary,40,116.911
AT31,Heating Tertiary,41,117.435
AT31,Heating Tertiary,42,117.31200000000001
AT31,Heating Tertiary,43,118.664
AT31,Heating Tertiary,44,125.345
AT31,Heating Tertiary,45,141.256
AT31,Heating Tertiary,46,166.24599999999995
AT31,Heating Tertiary,47,196.62599999999998
AT31,Heating Tertiary,48,224.24099999999999
AT31,Heating Tertiary,49,303.754
AT31,Heating Tertiary,50,322.207
AT31,Heating Tertiary,51,330.56699999999995
AT31,Heating Tertiary,52,333.639
AT31,Heating Tertiary,53,328.028
AT31,Heating Tertiary,54,310.7940000000001
AT31,Heating Tertiary,55,283.092
AT31,Heating Tertiary,56,250.115
AT31,Heating Tertiary,57,218.972
AT31,Heating Tertiary,58,194.854
AT31,Heating Tertiary,59,178.25400000000005
AT31,Heating Tertiary,60,165.502
AT31,Heating Tertiary,61,155.57399999999996
AT31,Heating Tertiary,62,150.071
AT31,Heating Tertiary,63,147.594
AT31,Heating Tertiary,64,146.481
AT31,Heating Tertiary,65,144.60299999999995
AT31,Heating Tertiary,66,143.888
AT31,Heating Tertiary,67,146.287
AT31,Heating Tertiary,68,155.25
AT31,Heating Tertiary,69,174.021
AT31,Heating Tertiary,70,202.235
AT31,Heating Tertiary,71,237.593
AT31,Heating Tertiary,72,274.07599999999996
AT31,Heating Tertiary,73,340.251
AT31,Heating Tertiary,74,357.44300000000015
AT31,Heating Tertiary,75,366.337
AT31,Heating Tertiary,76,369.85400000000004
AT31,Heating Tertiary,77,363.517
AT31,Heating Tertiary,78,342.459
AT31,Heating Tertiary,79,308.995
AT31,Heating Tertiary,80,270.379
AT31,Heating Tertiary,81,235.56799999999998
AT31,Heating Tertiary,82,208.551
AT31,Heating Tertiary,83,189.84599999999998
AT31,Heating Tertiary,84,175.83599999999996
AT31,Heating Tertiary,85,166.358
AT31,Heating Tertiary,86,162.063
AT31,Heating Tertiary,87,162.202
AT31,Heating Tertiary,88,163.90400000000002
AT31,Heating Tertiary,89,164.467
AT31,Heating Tertiary,90,165.31400000000005
AT31,Heating Tertiary,91,169.15
AT31,Heating Tertiary,92,180.53400000000002
AT31,Heating Tertiary,93,202.9
AT31,Heating Tertiary,94,235.96599999999998
AT31,Heating Tertiary,95,274.9
AT31,Heating Tertiary,96,311.8040000000001
AT31,Heating Tertiary,97,402.44599999999997
AT31,Heating Tertiary,98,422.779
AT31,Heating Tertiary,99,433.3
AT31,Heating Tertiary,100,437.46
AT31,Heating Tertiary,101,429.963
AT31,Heating Tertiary,102,405.056
AT31,Heating Tertiary,103,365.475
AT31,Heating Tertiary,104,319.802
AT31,Heating Tertiary,105,278.628
AT31,Heating Tertiary,106,246.671
AT31,Heating Tertiary,107,224.548
AT31,Heating Tertiary,108,207.977
AT31,Heating Tertiary,109,196.766
AT31,Heating Tertiary,110,191.687
AT31,Heating Tertiary,111,191.85
AT31,Heating Tertiary,112,193.864
AT31,Heating Tertiary,113,194.53
AT31,Heating Tertiary,114,195.53099999999998
AT31,Heating Tertiary,115,200.06900000000002
AT31,Heating Tertiary,116,213.533
AT31,Heating Tertiary,117,239.988
AT31,Heating Tertiary,118,279.098
