NUTS2_code,process,hour,load
BE34,Heating Tertiary,1,305.695
BE34,Heating Tertiary,2,339.65
BE34,Heating Tertiary,3,361.07
BE34,Heating Tertiary,4,370.718
BE34,Heating Tertiary,5,374.61699999999996
BE34,Heating Tertiary,6,369.00699999999995
BE34,Heating Tertiary,7,350.349
BE34,Heating Tertiary,8,319.68
BE34,Heating Tertiary,9,282.653
BE34,Heating Tertiary,10,247.31599999999997
BE34,Heating Tertiary,11,219.74200000000002
BE34,Heating Tertiary,12,200.84900000000002
BE34,Heating Tertiary,13,186.41
BE34,Heating Tertiary,14,174.984
BE34,Heating Tertiary,15,168.613
BE34,Heating Tertiary,16,165.699
BE34,Heating Tertiary,17,164.52599999999995
BE34,Heating Tertiary,18,162.374
BE34,Heating Tertiary,19,161.434
BE34,Heating Tertiary,20,163.804
BE34,Heating Tertiary,21,173.285
BE34,Heating Tertiary,22,193.775
BE34,Heating Tertiary,23,224.94299999999998
BE34,Heating Tertiary,24,264.43
BE34,Heating Tertiary,25,305.947
BE34,Heating Tertiary,26,334.5730000000001
BE34,Heating Tertiary,27,350.962
BE34,Heating Tertiary,28,360.73699999999997
BE34,Heating Tertiary,29,366.45
BE34,Heating Tertiary,30,362.49699999999996
BE34,Heating Tertiary,31,344.13199999999995
BE34,Heating Tertiary,32,313.187
BE34,Heating Tertiary,33,276.018
BE34,Heating Tertiary,34,239.722
BE34,Heating Tertiary,35,210.322
BE34,Heating Tertiary,36,189.332
BE34,Heating Tertiary,37,173.975
BE34,Heating Tertiary,38,162.894
BE34,Heating Tertiary,39,157.697
BE34,Heating Tertiary,40,158.066
BE34,Heating Tertiary,41,160.31
BE34,Heating Tertiary,42,161.107
BE34,Heating Tertiary,43,160.894
BE34,Heating Tertiary,44,162.458
BE34,Heating Tertiary,45,170.965
BE34,Heating Tertiary,46,192.10299999999998
BE34,Heating Tertiary,47,225.822
BE34,Heating Tertiary,48,267.606
BE34,Heating Tertiary,49,345.435
BE34,Heating Tertiary,50,383.805
BE34,Heating Tertiary,51,408.009
BE34,Heating Tertiary,52,418.911
BE34,Heating Tertiary,53,423.31800000000004
BE34,Heating Tertiary,54,416.978
BE34,Heating Tertiary,55,395.894
BE34,Heating Tertiary,56,361.23800000000006
