NUTS2_code,process,hour,load
BG34,Heating Tertiary,1,208.535
BG34,Heating Tertiary,2,213.476
BG34,Heating Tertiary,3,214.692
BG34,Heating Tertiary,4,209.921
BG34,Heating Tertiary,5,197.665
BG34,Heating Tertiary,6,179.106
BG34,Heating Tertiary,7,157.884
BG34,Heating Tertiary,8,138.465
BG34,Heating Tertiary,9,123.77799999999999
BG34,Heating Tertiary,10,113.524
BG34,Heating Tertiary,11,105.52
BG34,Heating Tertiary,12,99.6026
BG34,Heating Tertiary,13,96.384
BG34,Heating Tertiary,14,95.0129
BG34,Heating Tertiary,15,94.16799999999999
BG34,Heating Tertiary,16,93.0351
BG34,Heating Tertiary,17,92.8045
BG34,Heating Tertiary,18,94.8915
BG34,Heating Tertiary,19,101.64200000000001
BG34,Heating Tertiary,20,114.708
BG34,Heating Tertiary,21,133.725
BG34,Heating Tertiary,22,156.838
BG34,Heating Tertiary,23,179.80700000000004
BG34,Heating Tertiary,24,197.83900000000003
BG34,Heating Tertiary,25,202.69799999999998
BG34,Heating Tertiary,26,207.958
BG34,Heating Tertiary,27,210.237
BG34,Heating Tertiary,28,206.239
BG34,Heating Tertiary,29,194.055
BG34,Heating Tertiary,30,175.38099999999997
BG34,Heating Tertiary,31,153.983
BG34,Heating Tertiary,32,133.904
BG34,Heating Tertiary,33,118.095
BG34,Heating Tertiary,34,106.76700000000001
BG34,Heating Tertiary,35,98.4144
BG34,Heating Tertiary,36,92.7403
BG34,Heating Tertiary,37,90.5032
BG34,Heating Tertiary,38,91.0369
BG34,Heating Tertiary,39,92.1541
BG34,Heating Tertiary,40,92.4366
BG34,Heating Tertiary,41,92.4127
BG34,Heating Tertiary,42,93.9674
BG34,Heating Tertiary,43,100.337
BG34,Heating Tertiary,44,114.024
BG34,Heating Tertiary,45,134.642
BG34,Heating Tertiary,46,158.379
BG34,Heating Tertiary,47,179.347
BG34,Heating Tertiary,48,194.185
BG34,Heating Tertiary,49,257.735
BG34,Heating Tertiary,50,263.843
BG34,Heating Tertiary,51,265.346
BG34,Heating Tertiary,52,259.45
BG34,Heating Tertiary,53,244.301
BG34,Heating Tertiary,54,221.364
BG34,Heating Tertiary,55,195.13400000000001
BG34,Heating Tertiary,56,171.13299999999995
BG34,Heating Tertiary,57,152.982
BG34,Heating Tertiary,58,140.308
BG34,Heating Tertiary,59,130.417
BG34,Heating Tertiary,60,123.103
BG34,Heating Tertiary,61,119.124
BG34,Heating Tertiary,62,117.43
BG34,Heating Tertiary,63,116.38600000000001
BG34,Heating Tertiary,64,114.985
BG34,Heating Tertiary,65,114.7
BG34,Heating Tertiary,66,117.28
BG34,Heating Tertiary,67,125.62299999999999
BG34,Heating Tertiary,68,141.77200000000005
BG34,Heating Tertiary,69,165.275
BG34,Heating Tertiary,70,193.842
BG34,Heating Tertiary,71,222.23
BG34,Heating Tertiary,72,244.516
BG34,Heating Tertiary,73,373.68800000000016
BG34,Heating Tertiary,74,390.788
BG34,Heating Tertiary,75,399.724
BG34,Heating Tertiary,76,402.191
BG34,Heating Tertiary,77,392.777
BG34,Heating Tertiary,78,367.50699999999995
BG34,Heating Tertiary,79,329.767
BG34,Heating Tertiary,80,316.842
BG34,Heating Tertiary,81,276.402
BG34,Heating Tertiary,82,245.57
BG34,Heating Tertiary,83,223.977
BG34,Heating Tertiary,84,207.9
BG34,Heating Tertiary,85,197.352
BG34,Heating Tertiary,86,192.954
BG34,Heating Tertiary,87,193.487
BG34,Heating Tertiary,88,195.30900000000003
BG34,Heating Tertiary,89,195.946
BG34,Heating Tertiary,90,197.21200000000002
BG34,Heating Tertiary,91,202.697
BG34,Heating Tertiary,92,217.78099999999998
BG34,Heating Tertiary,93,246.071
BG34,Heating Tertiary,94,286.58299999999997
BG34,Heating Tertiary,95,332.9240000000001
BG34,Heating Tertiary,96,375.842
BG34,Heating Tertiary,97,478.11
BG34,Heating Tertiary,98,499.98900000000003
BG34,Heating Tertiary,99,511.421
BG34,Heating Tertiary,100,514.578
BG34,Heating Tertiary,101,502.534
BG34,Heating Tertiary,102,470.20099999999996
BG34,Heating Tertiary,103,421.916
BG34,Heating Tertiary,104,405.379
BG34,Heating Tertiary,105,353.639
BG34,Heating Tertiary,106,314.192
BG34,Heating Tertiary,107,286.565
BG34,Heating Tertiary,108,265.994
BG34,Heating Tertiary,109,252.49900000000002
BG34,Heating Tertiary,110,246.873
BG34,Heating Tertiary,111,247.554
BG34,Heating Tertiary,112,249.885
BG34,Heating Tertiary,113,250.701
BG34,Heating Tertiary,114,252.32
BG34,Heating Tertiary,115,259.337
BG34,Heating Tertiary,116,278.637
BG34,Heating Tertiary,117,314.83299999999997
BG34,Heating Tertiary,118,366.665
BG34,Heating Tertiary,119,425.955
BG34,Heating Tertiary,120,480.866
BG34,Heating Tertiary,121,228.055
BG34,Heating Tertiary,122,238.49099999999999
BG34,Heating Tertiary,123,243.945
BG34,Heating Tertiary,124,245.45
BG34,Heating Tertiary,125,239.705
BG34,Heating Tertiary,126,224.283
BG34,Heating Tertiary,127,221.203
BG34,Heating Tertiary,128,193.362
BG34,Heating Tertiary,129,168.68400000000003
BG34,Heating Tertiary,130,149.86700000000005
BG34,Heating Tertiary,131,136.689
BG34,Heating Tertiary,132,126.87799999999999
BG34,Heating Tertiary,133,120.44
BG34,Heating Tertiary,134,117.757
BG34,Heating Tertiary,135,118.081
BG34,Heating Tertiary,136,119.194
BG34,Heating Tertiary,137,119.583
BG34,Heating Tertiary,138,120.354
BG34,Heating Tertiary,139,123.70200000000001
BG34,Heating Tertiary,140,132.908
BG34,Heating Tertiary,141,150.173
BG34,Heating Tertiary,142,174.89700000000005
BG34,Heating Tertiary,143,203.17700000000002
BG34,Heating Tertiary,144,229.37
BG34,Heating Tertiary,145,271.745
BG34,Heating Tertiary,146,284.18
BG34,Heating Tertiary,147,290.678
BG34,Heating Tertiary,148,292.472
BG34,Heating Tertiary,149,285.626
BG34,Heating Tertiary,150,267.25
BG34,Heating Tertiary,151,263.58099999999996
BG34,Heating Tertiary,152,230.40599999999998
BG34,Heating Tertiary,153,200.99900000000002
BG34,Heating Tertiary,154,178.578
BG34,Heating Tertiary,155,162.876
BG34,Heating Tertiary,156,151.184
BG34,Heating Tertiary,157,143.513
BG34,Heating Tertiary,158,140.316
BG34,Heating Tertiary,159,140.703
BG34,Heating Tertiary,160,142.028
BG34,Heating Tertiary,161,142.49200000000005
BG34,Heating Tertiary,162,143.412
BG34,Heating Tertiary,163,147.4
BG34,Heating Tertiary,164,158.369
BG34,Heating Tertiary,165,178.94299999999996
BG34,Heating Tertiary,166,208.403
BG34,Heating Tertiary,167,242.101
BG34,Heating Tertiary,168,273.311
BG34,Heating Tertiary,169,184.52
BG34,Heating Tertiary,170,192.96400000000003
BG34,Heating Tertiary,171,197.37599999999998
BG34,Heating Tertiary,172,198.59400000000002
BG34,Heating Tertiary,173,193.946
BG34,Heating Tertiary,174,181.468
BG34,Heating Tertiary,175,178.976
BG34,Heating Tertiary,176,156.45
