NUTS2_code,process,hour,load
CH03,Heating Tertiary,1,266.965
CH03,Heating Tertiary,2,283.503
CH03,Heating Tertiary,3,290.974
CH03,Heating Tertiary,4,293.863
CH03,Heating Tertiary,5,289.202
CH03,Heating Tertiary,6,274.305
CH03,Heating Tertiary,7,250.083
CH03,Heating Tertiary,8,221.037
CH03,Heating Tertiary,9,193.457
CH03,Heating Tertiary,10,172.013
CH03,Heating Tertiary,11,157.289
CH03,Heating Tertiary,12,146.00799999999995
CH03,Heating Tertiary,13,137.15
CH03,Heating Tertiary,14,132.225
CH03,Heating Tertiary,15,129.989
CH03,Heating Tertiary,16,129.04
CH03,Heating Tertiary,17,127.368
CH03,Heating Tertiary,18,126.682
CH03,Heating Tertiary,19,128.66299999999998
CH03,Heating Tertiary,20,136.32
CH03,Heating Tertiary,21,152.614
CH03,Heating Tertiary,22,177.25599999999997
CH03,Heating Tertiary,23,208.31099999999998
CH03,Heating Tertiary,24,240.56799999999998
CH03,Heating Tertiary,25,262.857
CH03,Heating Tertiary,26,275.568
CH03,Heating Tertiary,27,283.178
CH03,Heating Tertiary,28,287.494
CH03,Heating Tertiary,29,284.103
CH03,Heating Tertiary,30,269.42
CH03,Heating Tertiary,31,244.99
CH03,Heating Tertiary,32,215.817
CH03,Heating Tertiary,33,187.465
CH03,Heating Tertiary,34,164.577
CH03,Heating Tertiary,35,148.22899999999996
CH03,Heating Tertiary,36,136.257
CH03,Heating Tertiary,37,127.677
CH03,Heating Tertiary,38,123.72399999999999
CH03,Heating Tertiary,39,124.06700000000001
CH03,Heating Tertiary,40,125.8
CH03,Heating Tertiary,41,126.396
CH03,Heating Tertiary,42,126.24600000000001
CH03,Heating Tertiary,43,127.58200000000001
CH03,Heating Tertiary,44,134.504
CH03,Heating Tertiary,45,151.34799999999996
CH03,Heating Tertiary,46,178.014
CH03,Heating Tertiary,47,210.75599999999997
CH03,Heating Tertiary,48,240.66400000000002
CH03,Heating Tertiary,49,368.285
CH03,Heating Tertiary,50,391.101
CH03,Heating Tertiary,51,401.405
CH03,Heating Tertiary,52,405.39099999999996
CH03,Heating Tertiary,53,398.962
CH03,Heating Tertiary,54,378.411
CH03,Heating Tertiary,55,344.996
CH03,Heating Tertiary,56,304.927
CH03,Heating Tertiary,57,266.879
CH03,Heating Tertiary,58,237.297
CH03,Heating Tertiary,59,216.984
CH03,Heating Tertiary,60,201.421
CH03,Heating Tertiary,61,189.201
CH03,Heating Tertiary,62,182.408
CH03,Heating Tertiary,63,179.32299999999995
CH03,Heating Tertiary,64,178.014
CH03,Heating Tertiary,65,175.708
CH03,Heating Tertiary,66,174.762
CH03,Heating Tertiary,67,177.49400000000003
CH03,Heating Tertiary,68,188.05700000000002
CH03,Heating Tertiary,69,210.535
CH03,Heating Tertiary,70,244.52900000000002
CH03,Heating Tertiary,71,287.371
CH03,Heating Tertiary,72,331.869
CH03,Heating Tertiary,73,365.61199999999997
CH03,Heating Tertiary,74,384.397
CH03,Heating Tertiary,75,394.1
CH03,Heating Tertiary,76,398.124
CH03,Heating Tertiary,77,391.74300000000005
CH03,Heating Tertiary,78,369.49
CH03,Heating Tertiary,79,333.70599999999996
CH03,Heating Tertiary,80,292.068
CH03,Heating Tertiary,81,254.392
CH03,Heating Tertiary,82,225.035
CH03,Heating Tertiary,83,204.763
CH03,Heating Tertiary,84,189.55900000000003
CH03,Heating Tertiary,85,179.204
CH03,Heating Tertiary,86,174.433
CH03,Heating Tertiary,87,174.50599999999997
CH03,Heating Tertiary,88,176.38
CH03,Heating Tertiary,89,176.993
CH03,Heating Tertiary,90,177.852
CH03,Heating Tertiary,91,181.791
CH03,Heating Tertiary,92,193.726
CH03,Heating Tertiary,93,217.455
CH03,Heating Tertiary,94,252.808
CH03,Heating Tertiary,95,294.716
CH03,Heating Tertiary,96,334.649
CH03,Heating Tertiary,97,409.57099999999997
CH03,Heating Tertiary,98,430.61300000000006
CH03,Heating Tertiary,99,441.48400000000004
CH03,Heating Tertiary,100,445.991
CH03,Heating Tertiary,101,438.843
CH03,Heating Tertiary,102,413.915
CH03,Heating Tertiary,103,373.82800000000003
CH03,Heating Tertiary,104,327.184
CH03,Heating Tertiary,105,284.978
CH03,Heating Tertiary,106,252.092
CH03,Heating Tertiary,107,229.382
CH03,Heating Tertiary,108,212.34900000000002
CH03,Heating Tertiary,109,200.75
CH03,Heating Tertiary,110,195.40599999999998
CH03,Heating Tertiary,111,195.487
CH03,Heating Tertiary,112,197.58700000000002
CH03,Heating Tertiary,113,198.273
CH03,Heating Tertiary,114,199.235
CH03,Heating Tertiary,115,203.648
CH03,Heating Tertiary,116,217.018
CH03,Heating Tertiary,117,243.6
CH03,Heating Tertiary,118,283.203
CH03,Heating Tertiary,119,330.151
CH03,Heating Tertiary,120,374.884
CH03,Heating Tertiary,121,365.61199999999997
CH03,Heating Tertiary,122,384.397
CH03,Heating Tertiary,123,394.1
CH03,Heating Tertiary,124,398.124
CH03,Heating Tertiary,125,391.74300000000005
CH03,Heating Tertiary,126,369.49
CH03,Heating Tertiary,127,333.70599999999996
CH03,Heating Tertiary,128,292.068
CH03,Heating Tertiary,129,254.392
CH03,Heating Tertiary,130,225.035
CH03,Heating Tertiary,131,204.763
CH03,Heating Tertiary,132,189.55900000000003
CH03,Heating Tertiary,133,179.204
CH03,Heating Tertiary,134,174.433
CH03,Heating Tertiary,135,174.50599999999997
CH03,Heating Tertiary,136,176.38
CH03,Heating Tertiary,137,176.993
CH03,Heating Tertiary,138,177.852
CH03,Heating Tertiary,139,181.791
CH03,Heating Tertiary,140,193.726
CH03,Heating Tertiary,141,217.455
CH03,Heating Tertiary,142,252.808
CH03,Heating Tertiary,143,294.716
CH03,Heating Tertiary,144,334.649
CH03,Heating Tertiary,145,365.61199999999997
CH03,Heating Tertiary,146,384.397
CH03,Heating Tertiary,147,394.1
CH03,Heating Tertiary,148,398.124
CH03,Heating Tertiary,149,391.74300000000005
CH03,Heating Tertiary,150,369.49
