NUTS2_code,process,hour,load
CY00,Heating Tertiary,1,230.863
CY00,Heating Tertiary,2,266.793
CY00,Heating Tertiary,3,296.303
CY00,Heating Tertiary,4,314.873
CY00,Heating Tertiary,5,323.247
CY00,Heating Tertiary,6,326.58
CY00,Heating Tertiary,7,321.591
CY00,Heating Tertiary,8,305.225
CY00,Heating Tertiary,9,278.425
CY00,Heating Tertiary,10,246.146
CY00,Heating Tertiary,11,215.394
CY00,Heating Tertiary,12,191.42700000000002
CY00,Heating Tertiary,13,174.99400000000003
CY00,Heating Tertiary,14,162.423
CY00,Heating Tertiary,15,152.503
CY00,Heating Tertiary,16,146.977
CY00,Heating Tertiary,17,144.455
CY00,Heating Tertiary,18,143.422
CY00,Heating Tertiary,19,141.55200000000005
CY00,Heating Tertiary,20,140.752
CY00,Heating Tertiary,21,142.865
CY00,Heating Tertiary,22,151.215
CY00,Heating Tertiary,23,169.16299999999995
CY00,Heating Tertiary,24,196.408
CY00,Heating Tertiary,25,233.613
CY00,Heating Tertiary,26,266.974
CY00,Heating Tertiary,27,291.828
CY00,Heating Tertiary,28,306.06
CY00,Heating Tertiary,29,314.559
CY00,Heating Tertiary,30,319.4770000000001
CY00,Heating Tertiary,31,315.9190000000001
CY00,Heating Tertiary,32,299.802
CY00,Heating Tertiary,33,272.765
CY00,Heating Tertiary,34,240.356
CY00,Heating Tertiary,35,208.76
CY00,Heating Tertiary,36,183.197
CY00,Heating Tertiary,37,164.94400000000005
CY00,Heating Tertiary,38,151.584
CY00,Heating Tertiary,39,141.968
CY00,Heating Tertiary,40,137.485
CY00,Heating Tertiary,41,137.826
CY00,Heating Tertiary,42,139.77200000000002
CY00,Heating Tertiary,43,140.45600000000002
CY00,Heating Tertiary,44,140.27700000000002
CY00,Heating Tertiary,45,141.68200000000004
CY00,Heating Tertiary,46,149.194
CY00,Heating Tertiary,47,167.722
CY00,Heating Tertiary,48,197.201
CY00,Heating Tertiary,49,67.5697
CY00,Heating Tertiary,50,78.0858
CY00,Heating Tertiary,51,86.7226
CY00,Heating Tertiary,52,92.1584
CY00,Heating Tertiary,53,94.609
CY00,Heating Tertiary,54,95.5848
CY00,Heating Tertiary,55,94.1241
CY00,Heating Tertiary,56,89.3341
CY00,Heating Tertiary,57,81.4904
CY00,Heating Tertiary,58,72.0428
CY00,Heating Tertiary,59,63.0422
CY00,Heating Tertiary,60,56.0276
CY00,Heating Tertiary,61,51.2178
CY00,Heating Tertiary,62,47.5384
CY00,Heating Tertiary,63,44.6349
CY00,Heating Tertiary,64,43.0178
CY00,Heating Tertiary,65,42.2796
CY00,Heating Tertiary,66,41.9771
CY00,Heating Tertiary,67,41.4297
CY00,Heating Tertiary,68,41.1959
CY00,Heating Tertiary,69,41.8142
CY00,Heating Tertiary,70,44.2582
CY00,Heating Tertiary,71,49.511
CY00,Heating Tertiary,72,57.4853
CY00,Heating Tertiary,73,141.435
CY00,Heating Tertiary,74,160.70600000000005
CY00,Heating Tertiary,75,175.701
CY00,Heating Tertiary,76,184.82
CY00,Heating Tertiary,77,189.525
CY00,Heating Tertiary,78,191.53
CY00,Heating Tertiary,79,188.58900000000003
CY00,Heating Tertiary,80,178.00400000000005
CY00,Heating Tertiary,81,160.857
CY00,Heating Tertiary,82,140.806
CY00,Heating Tertiary,83,122.62100000000001
CY00,Heating Tertiary,84,108.41799999999999
CY00,Heating Tertiary,85,98.6256
CY00,Heating Tertiary,86,91.2752
CY00,Heating Tertiary,87,86.2496
CY00,Heating Tertiary,88,83.9114
CY00,Heating Tertiary,89,83.9243
CY00,Heating Tertiary,90,84.8385
CY00,Heating Tertiary,91,85.1354
CY00,Heating Tertiary,92,85.5327
CY00,Heating Tertiary,93,87.3725
CY00,Heating Tertiary,94,93.0215
CY00,Heating Tertiary,95,104.336
CY00,Heating Tertiary,96,121.274
CY00,Heating Tertiary,97,348.148
CY00,Heating Tertiary,98,395.585
CY00,Heating Tertiary,99,432.495
CY00,Heating Tertiary,100,454.941
CY00,Heating Tertiary,101,466.523
CY00,Heating Tertiary,102,471.459
CY00,Heating Tertiary,103,464.218
CY00,Heating Tertiary,104,438.163
CY00,Heating Tertiary,105,395.955
CY00,Heating Tertiary,106,346.599
CY00,Heating Tertiary,107,301.835
CY00,Heating Tertiary,108,266.876
CY00,Heating Tertiary,109,242.771
CY00,Heating Tertiary,110,224.67700000000002
CY00,Heating Tertiary,111,212.30700000000002
CY00,Heating Tertiary,112,206.55200000000002
CY00,Heating Tertiary,113,206.582
CY00,Heating Tertiary,114,208.833
CY00,Heating Tertiary,115,209.56400000000002
CY00,Heating Tertiary,116,210.542
CY00,Heating Tertiary,117,215.071
CY00,Heating Tertiary,118,228.976
CY00,Heating Tertiary,119,256.827
CY00,Heating Tertiary,120,298.52099999999996
CY00,Heating Tertiary,121,360.37300000000016
CY00,Heating Tertiary,122,416.458
CY00,Heating Tertiary,123,462.52
CY00,Heating Tertiary,124,491.51099999999997
CY00,Heating Tertiary,125,504.58099999999996
CY00,Heating Tertiary,126,509.786
CY00,Heating Tertiary,127,501.995
CY00,Heating Tertiary,128,476.449
CY00,Heating Tertiary,129,434.615
CY00,Heating Tertiary,130,384.227
CY00,Heating Tertiary,131,336.225
CY00,Heating Tertiary,132,298.813
CY00,Heating Tertiary,133,273.161
CY00,Heating Tertiary,134,253.53900000000002
CY00,Heating Tertiary,135,238.053
CY00,Heating Tertiary,136,229.428
CY00,Heating Tertiary,137,225.49099999999999
CY00,Heating Tertiary,138,223.878
CY00,Heating Tertiary,139,220.959
CY00,Heating Tertiary,140,219.71099999999998
CY00,Heating Tertiary,141,223.00900000000001
CY00,Heating Tertiary,142,236.043
CY00,Heating Tertiary,143,264.059
CY00,Heating Tertiary,144,306.589
CY00,Heating Tertiary,145,141.435
CY00,Heating Tertiary,146,160.70600000000005
CY00,Heating Tertiary,147,175.701
CY00,Heating Tertiary,148,184.82
CY00,Heating Tertiary,149,189.525
CY00,Heating Tertiary,150,191.53
CY00,Heating Tertiary,151,188.58900000000003
CY00,Heating Tertiary,152,178.00400000000005
CY00,Heating Tertiary,153,160.857
CY00,Heating Tertiary,154,140.806
CY00,Heating Tertiary,155,122.62100000000001
CY00,Heating Tertiary,156,108.41799999999999
CY00,Heating Tertiary,157,98.6256
CY00,Heating Tertiary,158,91.2752
CY00,Heating Tertiary,159,86.2496
CY00,Heating Tertiary,160,83.9114
CY00,Heating Tertiary,161,83.9243
CY00,Heating Tertiary,162,84.8385
CY00,Heating Tertiary,163,85.1354
CY00,Heating Tertiary,164,85.5327
CY00,Heating Tertiary,165,87.3725
CY00,Heating Tertiary,166,93.0215
CY00,Heating Tertiary,167,104.336
CY00,Heating Tertiary,168,121.274
CY00,Heating Tertiary,169,223.032
CY00,Heating Tertiary,170,253.421
CY00,Heating Tertiary,171,277.068
CY00,Heating Tertiary,172,291.44599999999997
CY00,Heating Tertiary,173,298.866
CY00,Heating Tertiary,174,302.026
CY00,Heating Tertiary,175,297.39
CY00,Heating Tertiary,176,280.699
CY00,Heating Tertiary,177,253.66
CY00,Heating Tertiary,178,222.04
CY00,Heating Tertiary,179,193.364
CY00,Heating Tertiary,180,170.968
CY00,Heating Tertiary,181,155.525
CY00,Heating Tertiary,182,143.934
CY00,Heating Tertiary,183,136.009
CY00,Heating Tertiary,184,132.322
CY00,Heating Tertiary,185,132.342
