NUTS2_code,process,hour,load
CZ05,Heating Tertiary,1,283.454
CZ05,Heating Tertiary,2,290.9890000000001
CZ05,Heating Tertiary,3,293.9840000000001
CZ05,Heating Tertiary,4,289.482
CZ05,Heating Tertiary,5,274.741
CZ05,Heating Tertiary,6,250.61
CZ05,Heating Tertiary,7,221.553
CZ05,Heating Tertiary,8,193.875
CZ05,Heating Tertiary,9,172.30700000000004
CZ05,Heating Tertiary,10,157.517
CZ05,Heating Tertiary,11,146.204
CZ05,Heating Tertiary,12,137.27700000000002
CZ05,Heating Tertiary,13,132.305
CZ05,Heating Tertiary,14,130.037
CZ05,Heating Tertiary,15,129.105
CZ05,Heating Tertiary,16,127.42200000000001
CZ05,Heating Tertiary,17,126.705
CZ05,Heating Tertiary,18,128.611
CZ05,Heating Tertiary,19,136.135
CZ05,Heating Tertiary,20,152.299
CZ05,Heating Tertiary,21,176.832
CZ05,Heating Tertiary,22,207.85
CZ05,Heating Tertiary,23,240.19
CZ05,Heating Tertiary,24,266.746
CZ05,Heating Tertiary,25,275.52
CZ05,Heating Tertiary,26,283.1690000000001
CZ05,Heating Tertiary,27,287.589
CZ05,Heating Tertiary,28,284.377
CZ05,Heating Tertiary,29,269.85900000000004
CZ05,Heating Tertiary,30,245.515
CZ05,Heating Tertiary,31,216.34
CZ05,Heating Tertiary,32,187.903
CZ05,Heating Tertiary,33,164.89700000000005
CZ05,Heating Tertiary,34,148.469
CZ05,Heating Tertiary,35,136.446
CZ05,Heating Tertiary,36,127.79299999999999
CZ05,Heating Tertiary,37,123.76299999999999
CZ05,Heating Tertiary,38,124.072
CZ05,Heating Tertiary,39,125.823
CZ05,Heating Tertiary,40,126.43700000000001
CZ05,Heating Tertiary,41,126.27600000000001
CZ05,Heating Tertiary,42,127.545
CZ05,Heating Tertiary,43,134.316
CZ05,Heating Tertiary,44,151.004
CZ05,Heating Tertiary,45,177.548
CZ05,Heating Tertiary,46,210.325
CZ05,Heating Tertiary,47,240.34900000000002
CZ05,Heating Tertiary,48,262.714
CZ05,Heating Tertiary,49,339.5730000000001
CZ05,Heating Tertiary,50,348.598
CZ05,Heating Tertiary,51,352.18699999999984
CZ05,Heating Tertiary,52,346.79400000000015
CZ05,Heating Tertiary,53,329.134
CZ05,Heating Tertiary,54,300.2270000000001
CZ05,Heating Tertiary,55,265.41700000000003
CZ05,Heating Tertiary,56,232.25900000000001
CZ05,Heating Tertiary,57,206.42
CZ05,Heating Tertiary,58,188.703
CZ05,Heating Tertiary,59,175.149
CZ05,Heating Tertiary,60,164.455
CZ05,Heating Tertiary,61,158.499
CZ05,Heating Tertiary,62,155.782
CZ05,Heating Tertiary,63,154.666
CZ05,Heating Tertiary,64,152.65
CZ05,Heating Tertiary,65,151.79
CZ05,Heating Tertiary,66,154.07299999999995
CZ05,Heating Tertiary,67,163.08700000000005
CZ05,Heating Tertiary,68,182.451
CZ05,Heating Tertiary,69,211.84099999999998
CZ05,Heating Tertiary,70,249.0
CZ05,Heating Tertiary,71,287.743
CZ05,Heating Tertiary,72,319.556
CZ05,Heating Tertiary,73,336.184
CZ05,Heating Tertiary,74,353.621
CZ05,Heating Tertiary,75,362.62
CZ05,Heating Tertiary,76,366.449
