NUTS2_code,process,hour,load
DEA5,Heating Tertiary,1,329.124
DEA5,Heating Tertiary,2,349.514
DEA5,Heating Tertiary,3,358.723
DEA5,Heating Tertiary,4,362.285
DEA5,Heating Tertiary,5,356.54
DEA5,Heating Tertiary,6,338.1740000000001
DEA5,Heating Tertiary,7,308.312
DEA5,Heating Tertiary,8,272.504
DEA5,Heating Tertiary,9,238.502
DEA5,Heating Tertiary,10,212.065
DEA5,Heating Tertiary,11,193.912
DEA5,Heating Tertiary,12,180.00400000000005
DEA5,Heating Tertiary,13,169.084
DEA5,Heating Tertiary,14,163.012
DEA5,Heating Tertiary,15,160.255
DEA5,Heating Tertiary,16,159.085
DEA5,Heating Tertiary,17,157.024
DEA5,Heating Tertiary,18,156.179
DEA5,Heating Tertiary,19,158.62
DEA5,Heating Tertiary,20,168.06
DEA5,Heating Tertiary,21,188.149
DEA5,Heating Tertiary,22,218.528
DEA5,Heating Tertiary,23,256.814
DEA5,Heating Tertiary,24,296.58099999999996
DEA5,Heating Tertiary,25,324.061
DEA5,Heating Tertiary,26,339.73
DEA5,Heating Tertiary,27,349.11199999999997
DEA5,Heating Tertiary,28,354.43300000000005
DEA5,Heating Tertiary,29,350.254
DEA5,Heating Tertiary,30,332.152
DEA5,Heating Tertiary,31,302.033
DEA5,Heating Tertiary,32,266.067
DEA5,Heating Tertiary,33,231.114
DEA5,Heating Tertiary,34,202.89700000000002
DEA5,Heating Tertiary,35,182.74200000000002
DEA5,Heating Tertiary,36,167.982
DEA5,Heating Tertiary,37,157.406
DEA5,Heating Tertiary,38,152.532
DEA5,Heating Tertiary,39,152.955
DEA5,Heating Tertiary,40,155.091
DEA5,Heating Tertiary,41,155.825
DEA5,Heating Tertiary,42,155.64
DEA5,Heating Tertiary,43,157.28799999999995
DEA5,Heating Tertiary,44,165.821
DEA5,Heating Tertiary,45,186.58700000000002
DEA5,Heating Tertiary,46,219.463
DEA5,Heating Tertiary,47,259.828
DEA5,Heating Tertiary,48,296.7
DEA5,Heating Tertiary,49,350.23400000000015
DEA5,Heating Tertiary,50,371.931
DEA5,Heating Tertiary,51,381.731
DEA5,Heating Tertiary,52,385.52099999999996
DEA5,Heating Tertiary,53,379.407
DEA5,Heating Tertiary,54,359.86400000000015
DEA5,Heating Tertiary,55,328.087
DEA5,Heating Tertiary,56,289.981
DEA5,Heating Tertiary,57,253.798
DEA5,Heating Tertiary,58,225.666
DEA5,Heating Tertiary,59,206.34900000000002
DEA5,Heating Tertiary,60,191.549
DEA5,Heating Tertiary,61,179.928
DEA5,Heating Tertiary,62,173.467
DEA5,Heating Tertiary,63,170.53400000000005
DEA5,Heating Tertiary,64,169.28900000000004
DEA5,Heating Tertiary,65,167.09599999999998
DEA5,Heating Tertiary,66,166.196
DEA5,Heating Tertiary,67,168.794
DEA5,Heating Tertiary,68,178.84
DEA5,Heating Tertiary,69,200.215
DEA5,Heating Tertiary,70,232.544
DEA5,Heating Tertiary,71,273.286
DEA5,Heating Tertiary,72,315.603
DEA5,Heating Tertiary,73,347.69199999999995
DEA5,Heating Tertiary,74,365.556
DEA5,Heating Tertiary,75,374.784
DEA5,Heating Tertiary,76,378.61
