NUTS2_code,process,hour,load
DEB3,Heating Tertiary,1,309.39799999999997
DEB3,Heating Tertiary,2,328.566
DEB3,Heating Tertiary,3,337.223
DEB3,Heating Tertiary,4,340.57199999999995
DEB3,Heating Tertiary,5,335.17
DEB3,Heating Tertiary,6,317.905
DEB3,Heating Tertiary,7,289.83299999999997
DEB3,Heating Tertiary,8,256.171
DEB3,Heating Tertiary,9,224.207
DEB3,Heating Tertiary,10,199.354
DEB3,Heating Tertiary,11,182.29
DEB3,Heating Tertiary,12,169.215
DEB3,Heating Tertiary,13,158.94899999999996
DEB3,Heating Tertiary,14,153.24200000000005
DEB3,Heating Tertiary,15,150.65
DEB3,Heating Tertiary,16,149.55
DEB3,Heating Tertiary,17,147.613
DEB3,Heating Tertiary,18,146.81799999999996
DEB3,Heating Tertiary,19,149.114
DEB3,Heating Tertiary,20,157.988
DEB3,Heating Tertiary,21,176.872
DEB3,Heating Tertiary,22,205.43
DEB3,Heating Tertiary,23,241.422
DEB3,Heating Tertiary,24,278.805
DEB3,Heating Tertiary,25,304.638
DEB3,Heating Tertiary,26,319.369
DEB3,Heating Tertiary,27,328.1880000000001
DEB3,Heating Tertiary,28,333.19
DEB3,Heating Tertiary,29,329.26199999999994
DEB3,Heating Tertiary,30,312.244
DEB3,Heating Tertiary,31,283.93
DEB3,Heating Tertiary,32,250.12099999999998
DEB3,Heating Tertiary,33,217.262
DEB3,Heating Tertiary,34,190.736
DEB3,Heating Tertiary,35,171.78900000000004
DEB3,Heating Tertiary,36,157.914
DEB3,Heating Tertiary,37,147.972
DEB3,Heating Tertiary,38,143.39
DEB3,Heating Tertiary,39,143.787
DEB3,Heating Tertiary,40,145.795
DEB3,Heating Tertiary,41,146.486
DEB3,Heating Tertiary,42,146.312
DEB3,Heating Tertiary,43,147.86
DEB3,Heating Tertiary,44,155.88299999999995
DEB3,Heating Tertiary,45,175.40400000000002
DEB3,Heating Tertiary,46,206.30900000000003
DEB3,Heating Tertiary,47,244.255
DEB3,Heating Tertiary,48,278.91700000000003
DEB3,Heating Tertiary,49,371.996
DEB3,Heating Tertiary,50,395.042
DEB3,Heating Tertiary,51,405.45099999999996
DEB3,Heating Tertiary,52,409.476
DEB3,Heating Tertiary,53,402.98199999999997
DEB3,Heating Tertiary,54,382.225
DEB3,Heating Tertiary,55,348.473
DEB3,Heating Tertiary,56,308.0
DEB3,Heating Tertiary,57,269.569
DEB3,Heating Tertiary,58,239.688
DEB3,Heating Tertiary,59,219.171
DEB3,Heating Tertiary,60,203.451
DEB3,Heating Tertiary,61,191.109
DEB3,Heating Tertiary,62,184.24599999999998
DEB3,Heating Tertiary,63,181.13
DEB3,Heating Tertiary,64,179.80700000000004
DEB3,Heating Tertiary,65,177.47799999999995
DEB3,Heating Tertiary,66,176.523
DEB3,Heating Tertiary,67,179.282
DEB3,Heating Tertiary,68,189.952
DEB3,Heating Tertiary,69,212.657
DEB3,Heating Tertiary,70,246.99400000000003
DEB3,Heating Tertiary,71,290.267
DEB3,Heating Tertiary,72,335.213
DEB3,Heating Tertiary,73,327.865
DEB3,Heating Tertiary,74,344.71
DEB3,Heating Tertiary,75,353.412
DEB3,Heating Tertiary,76,357.02
DEB3,Heating Tertiary,77,351.29900000000015
DEB3,Heating Tertiary,78,331.344
DEB3,Heating Tertiary,79,299.253
DEB3,Heating Tertiary,80,261.914
DEB3,Heating Tertiary,81,228.128
DEB3,Heating Tertiary,82,201.80200000000002
DEB3,Heating Tertiary,83,183.622
DEB3,Heating Tertiary,84,169.988
DEB3,Heating Tertiary,85,160.702
DEB3,Heating Tertiary,86,156.424
DEB3,Heating Tertiary,87,156.489
DEB3,Heating Tertiary,88,158.171
DEB3,Heating Tertiary,89,158.72
DEB3,Heating Tertiary,90,159.49
DEB3,Heating Tertiary,91,163.02200000000005
DEB3,Heating Tertiary,92,173.725
DEB3,Heating Tertiary,93,195.00400000000002
DEB3,Heating Tertiary,94,226.707
DEB3,Heating Tertiary,95,264.289
DEB3,Heating Tertiary,96,300.099
DEB3,Heating Tertiary,97,464.816
