NUTS2_code,process,hour,load
DED5,Heating Tertiary,1,345.75199999999984
DED5,Heating Tertiary,2,367.171
DED5,Heating Tertiary,3,376.846
DED5,Heating Tertiary,4,380.588
DED5,Heating Tertiary,5,374.55199999999996
DED5,Heating Tertiary,6,355.25800000000015
DED5,Heating Tertiary,7,323.888
DED5,Heating Tertiary,8,286.27
DED5,Heating Tertiary,9,250.55
DED5,Heating Tertiary,10,222.778
DED5,Heating Tertiary,11,203.708
DED5,Heating Tertiary,12,189.09799999999998
DED5,Heating Tertiary,13,177.625
DED5,Heating Tertiary,14,171.247
DED5,Heating Tertiary,15,168.351
DED5,Heating Tertiary,16,167.122
DED5,Heating Tertiary,17,164.957
DED5,Heating Tertiary,18,164.06900000000005
DED5,Heating Tertiary,19,166.63400000000001
DED5,Heating Tertiary,20,176.551
DED5,Heating Tertiary,21,197.653
DED5,Heating Tertiary,22,229.56799999999998
DED5,Heating Tertiary,23,269.788
DED5,Heating Tertiary,24,311.564
DED5,Heating Tertiary,25,340.43300000000005
DED5,Heating Tertiary,26,356.89300000000014
DED5,Heating Tertiary,27,366.749
DED5,Heating Tertiary,28,372.339
DED5,Heating Tertiary,29,367.949
DED5,Heating Tertiary,30,348.93199999999996
DED5,Heating Tertiary,31,317.291
DED5,Heating Tertiary,32,279.509
DED5,Heating Tertiary,33,242.79
DED5,Heating Tertiary,34,213.14700000000002
DED5,Heating Tertiary,35,191.97400000000002
DED5,Heating Tertiary,36,176.46900000000005
DED5,Heating Tertiary,37,165.358
DED5,Heating Tertiary,38,160.238
DED5,Heating Tertiary,39,160.68200000000004
DED5,Heating Tertiary,40,162.92600000000004
DED5,Heating Tertiary,41,163.69799999999995
DED5,Heating Tertiary,42,163.503
DED5,Heating Tertiary,43,165.234
DED5,Heating Tertiary,44,174.199
DED5,Heating Tertiary,45,196.014
DED5,Heating Tertiary,46,230.55
DED5,Heating Tertiary,47,272.954
DED5,Heating Tertiary,48,311.689
DED5,Heating Tertiary,49,345.75199999999984
DED5,Heating Tertiary,50,367.171
DED5,Heating Tertiary,51,376.846
DED5,Heating Tertiary,52,380.588
DED5,Heating Tertiary,53,374.55199999999996
DED5,Heating Tertiary,54,355.25800000000015
DED5,Heating Tertiary,55,323.888
DED5,Heating Tertiary,56,286.27
DED5,Heating Tertiary,57,250.55
DED5,Heating Tertiary,58,222.778
DED5,Heating Tertiary,59,203.708
DED5,Heating Tertiary,60,189.09799999999998
DED5,Heating Tertiary,61,177.625
DED5,Heating Tertiary,62,171.247
DED5,Heating Tertiary,63,168.351
DED5,Heating Tertiary,64,167.122
DED5,Heating Tertiary,65,164.957
DED5,Heating Tertiary,66,164.06900000000005
DED5,Heating Tertiary,67,166.63400000000001
DED5,Heating Tertiary,68,176.551
DED5,Heating Tertiary,69,197.653
DED5,Heating Tertiary,70,229.56799999999998
DED5,Heating Tertiary,71,269.788
DED5,Heating Tertiary,72,311.564
DED5,Heating Tertiary,73,343.24300000000005
DED5,Heating Tertiary,74,360.87800000000004
DED5,Heating Tertiary,75,369.98800000000006
DED5,Heating Tertiary,76,373.765
DED5,Heating Tertiary,77,367.775
DED5,Heating Tertiary,78,346.88300000000015
DED5,Heating Tertiary,79,313.288
DED5,Heating Tertiary,80,274.198
DED5,Heating Tertiary,81,238.827
DED5,Heating Tertiary,82,211.266
DED5,Heating Tertiary,83,192.235
DED5,Heating Tertiary,84,177.96099999999996
DED5,Heating Tertiary,85,168.239
DED5,Heating Tertiary,86,163.761
DED5,Heating Tertiary,87,163.829
DED5,Heating Tertiary,88,165.58900000000003
DED5,Heating Tertiary,89,166.16400000000004
DED5,Heating Tertiary,90,166.97
DED5,Heating Tertiary,91,170.668
DED5,Heating Tertiary,92,181.873
DED5,Heating Tertiary,93,204.15
DED5,Heating Tertiary,94,237.34
DED5,Heating Tertiary,95,276.684
DED5,Heating Tertiary,96,314.1740000000001
DED5,Heating Tertiary,97,473.43800000000016
DED5,Heating Tertiary,98,497.76300000000003
DED5,Heating Tertiary,99,510.32800000000003
DED5,Heating Tertiary,100,515.538
DED5,Heating Tertiary,101,507.276
DED5,Heating Tertiary,102,478.46
DED5,Heating Tertiary,103,432.12199999999996
DED5,Heating Tertiary,104,378.205
DED5,Heating Tertiary,105,329.417
DED5,Heating Tertiary,106,291.402
DED5,Heating Tertiary,107,265.151
DED5,Heating Tertiary,108,245.463
DED5,Heating Tertiary,109,232.054
DED5,Heating Tertiary,110,225.877
DED5,Heating Tertiary,111,225.97
DED5,Heating Tertiary,112,228.398
DED5,Heating Tertiary,113,229.192
DED5,Heating Tertiary,114,230.303
DED5,Heating Tertiary,115,235.405
DED5,Heating Tertiary,116,250.859
DED5,Heating Tertiary,117,281.586
DED5,Heating Tertiary,118,327.365
