NUTS2_code,process,hour,load
DEE0,Heating Tertiary,1,342.941
DEE0,Heating Tertiary,2,364.18699999999995
DEE0,Heating Tertiary,3,373.782
DEE0,Heating Tertiary,4,377.494
DEE0,Heating Tertiary,5,371.50699999999995
DEE0,Heating Tertiary,6,352.371
DEE0,Heating Tertiary,7,321.255
DEE0,Heating Tertiary,8,283.943
DEE0,Heating Tertiary,9,248.514
DEE0,Heating Tertiary,10,220.967
DEE0,Heating Tertiary,11,202.05200000000002
DEE0,Heating Tertiary,12,187.56
DEE0,Heating Tertiary,13,176.18099999999995
DEE0,Heating Tertiary,14,169.855
DEE0,Heating Tertiary,15,166.983
DEE0,Heating Tertiary,16,165.763
DEE0,Heating Tertiary,17,163.616
DEE0,Heating Tertiary,18,162.735
DEE0,Heating Tertiary,19,165.28
DEE0,Heating Tertiary,20,175.11599999999999
DEE0,Heating Tertiary,21,196.046
DEE0,Heating Tertiary,22,227.702
DEE0,Heating Tertiary,23,267.595
DEE0,Heating Tertiary,24,309.031
DEE0,Heating Tertiary,25,337.665
DEE0,Heating Tertiary,26,353.99199999999996
DEE0,Heating Tertiary,27,363.76800000000003
DEE0,Heating Tertiary,28,369.31199999999995
DEE0,Heating Tertiary,29,364.958
DEE0,Heating Tertiary,30,346.096
DEE0,Heating Tertiary,31,314.712
DEE0,Heating Tertiary,32,277.237
DEE0,Heating Tertiary,33,240.817
DEE0,Heating Tertiary,34,211.41400000000002
DEE0,Heating Tertiary,35,190.41299999999998
DEE0,Heating Tertiary,36,175.03400000000005
DEE0,Heating Tertiary,37,164.013
DEE0,Heating Tertiary,38,158.935
DEE0,Heating Tertiary,39,159.376
DEE0,Heating Tertiary,40,161.602
DEE0,Heating Tertiary,41,162.36700000000005
DEE0,Heating Tertiary,42,162.174
DEE0,Heating Tertiary,43,163.891
DEE0,Heating Tertiary,44,172.783
DEE0,Heating Tertiary,45,194.42
DEE0,Heating Tertiary,46,228.676
DEE0,Heating Tertiary,47,270.735
DEE0,Heating Tertiary,48,309.155
DEE0,Heating Tertiary,49,364.166
DEE0,Heating Tertiary,50,386.727
DEE0,Heating Tertiary,51,396.917
DEE0,Heating Tertiary,52,400.858
DEE0,Heating Tertiary,53,394.5
DEE0,Heating Tertiary,54,374.18
DEE0,Heating Tertiary,55,341.1380000000001
DEE0,Heating Tertiary,56,301.517
DEE0,Heating Tertiary,57,263.895
DEE0,Heating Tertiary,58,234.643
DEE0,Heating Tertiary,59,214.558
DEE0,Heating Tertiary,60,199.169
DEE0,Heating Tertiary,61,187.08599999999998
DEE0,Heating Tertiary,62,180.368
DEE0,Heating Tertiary,63,177.317
DEE0,Heating Tertiary,64,176.023
DEE0,Heating Tertiary,65,173.743
DEE0,Heating Tertiary,66,172.80700000000004
DEE0,Heating Tertiary,67,175.50900000000001
DEE0,Heating Tertiary,68,185.954
DEE0,Heating Tertiary,69,208.18
DEE0,Heating Tertiary,70,241.795
DEE0,Heating Tertiary,71,284.157
DEE0,Heating Tertiary,72,328.158
DEE0,Heating Tertiary,73,340.452
DEE0,Heating Tertiary,74,357.944
DEE0,Heating Tertiary,75,366.98
DEE0,Heating Tertiary,76,370.727
DEE0,Heating Tertiary,77,364.785
DEE0,Heating Tertiary,78,344.064
DEE0,Heating Tertiary,79,310.741
DEE0,Heating Tertiary,80,271.969
DEE0,Heating Tertiary,81,236.885
DEE0,Heating Tertiary,82,209.549
DEE0,Heating Tertiary,83,190.672
DEE0,Heating Tertiary,84,176.514
DEE0,Heating Tertiary,85,166.872
DEE0,Heating Tertiary,86,162.429
DEE0,Heating Tertiary,87,162.497
DEE0,Heating Tertiary,88,164.24200000000005
DEE0,Heating Tertiary,89,164.813
DEE0,Heating Tertiary,90,165.613
DEE0,Heating Tertiary,91,169.28099999999995
DEE0,Heating Tertiary,92,180.394
DEE0,Heating Tertiary,93,202.49
DEE0,Heating Tertiary,94,235.41
DEE0,Heating Tertiary,95,274.435
DEE0,Heating Tertiary,96,311.62
DEE0,Heating Tertiary,97,446.733
DEE0,Heating Tertiary,98,469.686
DEE0,Heating Tertiary,99,481.542
DEE0,Heating Tertiary,100,486.458
DEE0,Heating Tertiary,101,478.662
DEE0,Heating Tertiary,102,451.472
DEE0,Heating Tertiary,103,407.74699999999996
DEE0,Heating Tertiary,104,356.87199999999996
DEE0,Heating Tertiary,105,310.836
DEE0,Heating Tertiary,106,274.966
DEE0,Heating Tertiary,107,250.195
DEE0,Heating Tertiary,108,231.61700000000002
DEE0,Heating Tertiary,109,218.965
DEE0,Heating Tertiary,110,213.136
DEE0,Heating Tertiary,111,213.22400000000002
DEE0,Heating Tertiary,112,215.515
DEE0,Heating Tertiary,113,216.264
DEE0,Heating Tertiary,114,217.313
DEE0,Heating Tertiary,115,222.12599999999998
DEE0,Heating Tertiary,116,236.709
DEE0,Heating Tertiary,117,265.703
DEE0,Heating Tertiary,118,308.9
DEE0,Heating Tertiary,119,360.108
DEE0,Heating Tertiary,120,408.9
