NUTS2_code,process,hour,load
DK05,Heating Tertiary,1,353.281
DK05,Heating Tertiary,2,377.00800000000004
DK05,Heating Tertiary,3,387.594
DK05,Heating Tertiary,4,392.509
DK05,Heating Tertiary,5,387.894
DK05,Heating Tertiary,6,369.616
DK05,Heating Tertiary,7,338.281
DK05,Heating Tertiary,8,299.488
DK05,Heating Tertiary,9,261.786
DK05,Heating Tertiary,10,231.988
DK05,Heating Tertiary,11,211.72799999999998
DK05,Heating Tertiary,12,196.378
DK05,Heating Tertiary,13,183.893
DK05,Heating Tertiary,14,176.868
DK05,Heating Tertiary,15,173.571
DK05,Heating Tertiary,16,172.482
DK05,Heating Tertiary,17,170.145
DK05,Heating Tertiary,18,168.91099999999997
DK05,Heating Tertiary,19,170.801
DK05,Heating Tertiary,20,179.665
DK05,Heating Tertiary,21,200.05700000000002
DK05,Heating Tertiary,22,231.77599999999998
DK05,Heating Tertiary,23,272.756
DK05,Heating Tertiary,24,316.5440000000001
DK05,Heating Tertiary,25,348.566
DK05,Heating Tertiary,26,366.454
DK05,Heating Tertiary,27,376.973
DK05,Heating Tertiary,28,383.769
DK05,Heating Tertiary,29,381.035
DK05,Heating Tertiary,30,363.14099999999996
DK05,Heating Tertiary,31,331.48199999999997
DK05,Heating Tertiary,32,292.616
DK05,Heating Tertiary,33,253.99900000000002
DK05,Heating Tertiary,34,222.35
DK05,Heating Tertiary,35,199.78799999999998
DK05,Heating Tertiary,36,183.332
DK05,Heating Tertiary,37,171.173
DK05,Heating Tertiary,38,165.125
DK05,Heating Tertiary,39,165.24900000000005
DK05,Heating Tertiary,40,167.738
DK05,Heating Tertiary,41,168.71400000000003
DK05,Heating Tertiary,42,168.412
DK05,Heating Tertiary,43,169.515
DK05,Heating Tertiary,44,177.213
DK05,Heating Tertiary,45,198.083
DK05,Heating Tertiary,46,232.361
DK05,Heating Tertiary,47,276.31
DK05,Heating Tertiary,48,317.3
DK05,Heating Tertiary,49,373.53
DK05,Heating Tertiary,50,398.616
DK05,Heating Tertiary,51,409.809
DK05,Heating Tertiary,52,415.005
DK05,Heating Tertiary,53,410.12699999999995
DK05,Heating Tertiary,54,390.8
DK05,Heating Tertiary,55,357.67
DK05,Heating Tertiary,56,316.653
DK05,Heating Tertiary,57,276.791
DK05,Heating Tertiary,58,245.285
DK05,Heating Tertiary,59,223.863
DK05,Heating Tertiary,60,207.63299999999998
DK05,Heating Tertiary,61,194.433
DK05,Heating Tertiary,62,187.00599999999997
DK05,Heating Tertiary,63,183.519
DK05,Heating Tertiary,64,182.368
DK05,Heating Tertiary,65,179.89700000000005
DK05,Heating Tertiary,66,178.592
DK05,Heating Tertiary,67,180.59099999999998
DK05,Heating Tertiary,68,189.96200000000002
DK05,Heating Tertiary,69,211.524
DK05,Heating Tertiary,70,245.06099999999998
DK05,Heating Tertiary,71,288.389
