NUTS2_code,process,hour,load
EE00,Heating Tertiary,1,379.528
EE00,Heating Tertiary,2,421.496
EE00,Heating Tertiary,3,447.903
EE00,Heating Tertiary,4,459.81
EE00,Heating Tertiary,5,464.54699999999997
EE00,Heating Tertiary,6,457.436
EE00,Heating Tertiary,7,434.148
EE00,Heating Tertiary,8,396.02099999999996
EE00,Heating Tertiary,9,350.106
EE00,Heating Tertiary,10,306.367
EE00,Heating Tertiary,11,272.282
EE00,Heating Tertiary,12,248.91
EE00,Heating Tertiary,13,231.03099999999998
EE00,Heating Tertiary,14,216.923
EE00,Heating Tertiary,15,209.06599999999997
EE00,Heating Tertiary,16,205.481
EE00,Heating Tertiary,17,204.00900000000001
EE00,Heating Tertiary,18,201.35
EE00,Heating Tertiary,19,200.215
EE00,Heating Tertiary,20,203.225
EE00,Heating Tertiary,21,215.11
EE00,Heating Tertiary,22,240.648
EE00,Heating Tertiary,23,279.41
EE00,Heating Tertiary,24,328.423
EE00,Heating Tertiary,25,379.781
EE00,Heating Tertiary,26,415.126
EE00,Heating Tertiary,27,435.365
EE00,Heating Tertiary,28,447.45
EE00,Heating Tertiary,29,454.439
EE00,Heating Tertiary,30,449.371
EE00,Heating Tertiary,31,426.435
EE00,Heating Tertiary,32,387.97
EE00,Heating Tertiary,33,341.86800000000005
EE00,Heating Tertiary,34,296.9290000000001
EE00,Heating Tertiary,35,260.574
EE00,Heating Tertiary,36,234.613
EE00,Heating Tertiary,37,215.613
EE00,Heating Tertiary,38,201.938
EE00,Heating Tertiary,39,195.56599999999997
EE00,Heating Tertiary,40,196.054
EE00,Heating Tertiary,41,198.821
EE00,Heating Tertiary,42,199.792
EE00,Heating Tertiary,43,199.53799999999998
EE00,Heating Tertiary,44,201.541
EE00,Heating Tertiary,45,212.235
EE00,Heating Tertiary,46,238.601
EE00,Heating Tertiary,47,280.54
EE00,Heating Tertiary,48,332.334
EE00,Heating Tertiary,49,415.421
EE00,Heating Tertiary,50,461.355
EE00,Heating Tertiary,51,490.26199999999994
EE00,Heating Tertiary,52,503.29400000000004
EE00,Heating Tertiary,53,508.47900000000004
EE00,Heating Tertiary,54,500.69699999999995
EE00,Heating Tertiary,55,475.208
EE00,Heating Tertiary,56,433.472
EE00,Heating Tertiary,57,383.216
EE00,Heating Tertiary,58,335.341
EE00,Heating Tertiary,59,298.032
EE00,Heating Tertiary,60,272.45
EE00,Heating Tertiary,61,252.88
EE00,Heating Tertiary,62,237.438
EE00,Heating Tertiary,63,228.838
EE00,Heating Tertiary,64,224.91400000000002
EE00,Heating Tertiary,65,223.303
EE00,Heating Tertiary,66,220.392
EE00,Heating Tertiary,67,219.15
EE00,Heating Tertiary,68,222.44400000000002
EE00,Heating Tertiary,69,235.454
EE00,Heating Tertiary,70,263.406
EE00,Heating Tertiary,71,305.835
EE00,Heating Tertiary,72,359.483
EE00,Heating Tertiary,73,360.50300000000004
EE00,Heating Tertiary,74,394.13
EE00,Heating Tertiary,75,414.57599999999996
EE00,Heating Tertiary,76,425.12800000000004
EE00,Heating Tertiary,77,429.62199999999996
EE00,Heating Tertiary,78,423.01300000000003
EE00,Heating Tertiary,79,399.26099999999997
EE00,Heating Tertiary,80,360.793
EE00,Heating Tertiary,81,315.818
EE00,Heating Tertiary,82,275.032
EE00,Heating Tertiary,83,243.18099999999998
EE00,Heating Tertiary,84,221.217
