NUTS2_code,process,hour,load
EL52,Heating Tertiary,1,138.589
EL52,Heating Tertiary,2,159.678
EL52,Heating Tertiary,3,176.72
EL52,Heating Tertiary,4,187.229
EL52,Heating Tertiary,5,192.00599999999997
EL52,Heating Tertiary,6,193.658
EL52,Heating Tertiary,7,190.202
EL52,Heating Tertiary,8,179.997
EL52,Heating Tertiary,9,163.792
EL52,Heating Tertiary,10,144.65
EL52,Heating Tertiary,11,126.68
EL52,Heating Tertiary,12,112.825
EL52,Heating Tertiary,13,103.26299999999999
EL52,Heating Tertiary,14,95.8959
EL52,Heating Tertiary,15,90.2146
EL52,Heating Tertiary,16,87.0758
EL52,Heating Tertiary,17,85.6764
EL52,Heating Tertiary,18,85.0082
EL52,Heating Tertiary,19,83.9314
EL52,Heating Tertiary,20,83.5558
EL52,Heating Tertiary,21,85.0414
EL52,Heating Tertiary,22,90.4134
EL52,Heating Tertiary,23,101.479
EL52,Heating Tertiary,24,118.00399999999999
EL52,Heating Tertiary,25,140.131
EL52,Heating Tertiary,26,159.592
EL52,Heating Tertiary,27,173.83
EL52,Heating Tertiary,28,181.987
EL52,Heating Tertiary,29,186.919
EL52,Heating Tertiary,30,189.516
EL52,Heating Tertiary,31,186.85299999999998
EL52,Heating Tertiary,32,176.766
EL52,Heating Tertiary,33,160.434
EL52,Heating Tertiary,34,141.185
EL52,Heating Tertiary,35,122.68
EL52,Heating Tertiary,36,107.854
EL52,Heating Tertiary,37,97.2537
EL52,Heating Tertiary,38,89.4747
EL52,Heating Tertiary,39,83.9886
EL52,Heating Tertiary,40,81.5669
EL52,Heating Tertiary,41,81.8728
EL52,Heating Tertiary,42,82.9726
EL52,Heating Tertiary,43,83.3222
EL52,Heating Tertiary,44,83.2473
EL52,Heating Tertiary,45,84.2911
EL52,Heating Tertiary,46,89.2227
EL52,Heating Tertiary,47,100.712
EL52,Heating Tertiary,48,118.60600000000001
EL52,Heating Tertiary,49,188.93599999999998
EL52,Heating Tertiary,50,217.687
EL52,Heating Tertiary,51,240.92
EL52,Heating Tertiary,52,255.24599999999998
EL52,Heating Tertiary,53,261.758
EL52,Heating Tertiary,54,264.01
EL52,Heating Tertiary,55,259.298
EL52,Heating Tertiary,56,245.388
EL52,Heating Tertiary,57,223.294
EL52,Heating Tertiary,58,197.19799999999998
EL52,Heating Tertiary,59,172.7
EL52,Heating Tertiary,60,153.812
EL52,Heating Tertiary,61,140.776
EL52,Heating Tertiary,62,130.734
EL52,Heating Tertiary,63,122.988
EL52,Heating Tertiary,64,118.709
EL52,Heating Tertiary,65,116.801
EL52,Heating Tertiary,66,115.89
