NUTS2_code,process,hour,load
ES52,Heating Tertiary,1,217.516
ES52,Heating Tertiary,2,250.574
ES52,Heating Tertiary,3,277.26599999999996
ES52,Heating Tertiary,4,293.70599999999996
ES52,Heating Tertiary,5,301.182
ES52,Heating Tertiary,6,303.746
ES52,Heating Tertiary,7,298.284
ES52,Heating Tertiary,8,282.236
ES52,Heating Tertiary,9,256.791
ES52,Heating Tertiary,10,226.767
ES52,Heating Tertiary,11,198.605
ES52,Heating Tertiary,12,176.903
ES52,Heating Tertiary,13,161.921
ES52,Heating Tertiary,14,150.374
ES52,Heating Tertiary,15,141.48
ES52,Heating Tertiary,16,136.569
ES52,Heating Tertiary,17,134.382
ES52,Heating Tertiary,18,133.329
ES52,Heating Tertiary,19,131.643
ES52,Heating Tertiary,20,131.062
ES52,Heating Tertiary,21,133.412
ES52,Heating Tertiary,22,141.873
ES52,Heating Tertiary,23,159.265
ES52,Heating Tertiary,24,185.21400000000003
ES52,Heating Tertiary,25,219.926
ES52,Heating Tertiary,26,250.423
ES52,Heating Tertiary,27,272.712
ES52,Heating Tertiary,28,285.485
ES52,Heating Tertiary,29,293.209
ES52,Heating Tertiary,30,297.256
ES52,Heating Tertiary,31,293.034
ES52,Heating Tertiary,32,277.16700000000003
ES52,Heating Tertiary,33,251.524
ES52,Heating Tertiary,34,221.331
ES52,Heating Tertiary,35,192.325
ES52,Heating Tertiary,36,169.09900000000005
ES52,Heating Tertiary,37,152.49200000000005
ES52,Heating Tertiary,38,140.303
ES52,Heating Tertiary,39,131.717
ES52,Heating Tertiary,40,127.93799999999999
ES52,Heating Tertiary,41,128.42700000000002
ES52,Heating Tertiary,42,130.14700000000002
ES52,Heating Tertiary,43,130.691
ES52,Heating Tertiary,44,130.576
ES52,Heating Tertiary,45,132.231
ES52,Heating Tertiary,46,140.006
ES52,Heating Tertiary,47,158.07
ES52,Heating Tertiary,48,186.17
ES52,Heating Tertiary,49,285.938
ES52,Heating Tertiary,50,329.398
ES52,Heating Tertiary,51,364.486
ES52,Heating Tertiary,52,386.097
ES52,Heating Tertiary,53,395.926
ES52,Heating Tertiary,54,399.296
ES52,Heating Tertiary,55,392.11400000000003
ES52,Heating Tertiary,56,371.019
ES52,Heating Tertiary,57,337.57
ES52,Heating Tertiary,58,298.1020000000001
ES52,Heating Tertiary,59,261.08099999999996
ES52,Heating Tertiary,60,232.55200000000002
ES52,Heating Tertiary,61,212.857
ES52,Heating Tertiary,62,197.67700000000002
ES52,Heating Tertiary,63,185.986
ES52,Heating Tertiary,64,179.52900000000002
ES52,Heating Tertiary,65,176.65400000000002
ES52,Heating Tertiary,66,175.27
ES52,Heating Tertiary,67,173.054
ES52,Heating Tertiary,68,172.29
ES52,Heating Tertiary,69,175.37900000000005
ES52,Heating Tertiary,70,186.502
ES52,Heating Tertiary,71,209.364
ES52,Heating Tertiary,72,243.47799999999998
ES52,Heating Tertiary,73,275.85
ES52,Heating Tertiary,74,312.46299999999997
ES52,Heating Tertiary,75,340.481
ES52,Heating Tertiary,76,357.329
ES52,Heating Tertiary,77,366.065
ES52,Heating Tertiary,78,369.306
ES52,Heating Tertiary,79,362.477
ES52,Heating Tertiary,80,340.978
ES52,Heating Tertiary,81,307.295
ES52,Heating Tertiary,82,268.817
ES52,Heating Tertiary,83,234.29
ES52,Heating Tertiary,84,207.62400000000002
ES52,Heating Tertiary,85,189.104
ES52,Heating Tertiary,86,175.255
ES52,Heating Tertiary,87,165.963
ES52,Heating Tertiary,88,161.842
ES52,Heating Tertiary,89,162.067
ES52,Heating Tertiary,90,163.718
ES52,Heating Tertiary,91,164.273
ES52,Heating Tertiary,92,165.179
ES52,Heating Tertiary,93,169.227
ES52,Heating Tertiary,94,180.956
ES52,Heating Tertiary,95,203.68200000000002
ES52,Heating Tertiary,96,236.97099999999998
ES52,Heating Tertiary,97,177.878
ES52,Heating Tertiary,98,201.488
ES52,Heating Tertiary,99,219.554
ES52,Heating Tertiary,100,230.419
ES52,Heating Tertiary,101,236.051
ES52,Heating Tertiary,102,238.143
ES52,Heating Tertiary,103,233.738
ES52,Heating Tertiary,104,219.875
ES52,Heating Tertiary,105,198.15599999999998
ES52,Heating Tertiary,106,173.343
ES52,Heating Tertiary,107,151.079
ES52,Heating Tertiary,108,133.88299999999998
ES52,Heating Tertiary,109,121.941
ES52,Heating Tertiary,110,113.01100000000001
ES52,Heating Tertiary,111,107.01899999999999
ES52,Heating Tertiary,112,104.36200000000001
ES52,Heating Tertiary,113,104.507
ES52,Heating Tertiary,114,105.572
ES52,Heating Tertiary,115,105.93
ES52,Heating Tertiary,116,106.514
ES52,Heating Tertiary,117,109.124
ES52,Heating Tertiary,118,116.68700000000001
ES52,Heating Tertiary,119,131.341
ES52,Heating Tertiary,120,152.808
ES52,Heating Tertiary,121,285.938
ES52,Heating Tertiary,122,329.398
ES52,Heating Tertiary,123,364.486
ES52,Heating Tertiary,124,386.097
ES52,Heating Tertiary,125,395.926
ES52,Heating Tertiary,126,399.296
ES52,Heating Tertiary,127,392.11400000000003
ES52,Heating Tertiary,128,371.019
ES52,Heating Tertiary,129,337.57
ES52,Heating Tertiary,130,298.1020000000001
ES52,Heating Tertiary,131,261.08099999999996
ES52,Heating Tertiary,132,232.55200000000002
ES52,Heating Tertiary,133,212.857
ES52,Heating Tertiary,134,197.67700000000002
ES52,Heating Tertiary,135,185.986
ES52,Heating Tertiary,136,179.52900000000002
ES52,Heating Tertiary,137,176.65400000000002
ES52,Heating Tertiary,138,175.27
ES52,Heating Tertiary,139,173.054
ES52,Heating Tertiary,140,172.29
ES52,Heating Tertiary,141,175.37900000000005
ES52,Heating Tertiary,142,186.502
ES52,Heating Tertiary,143,209.364
ES52,Heating Tertiary,144,243.47799999999998
ES52,Heating Tertiary,145,478.51
ES52,Heating Tertiary,146,542.023
ES52,Heating Tertiary,147,590.623
ES52,Heating Tertiary,148,619.851
ES52,Heating Tertiary,149,635.003
ES52,Heating Tertiary,150,640.626
ES52,Heating Tertiary,151,628.78
ES52,Heating Tertiary,152,591.487
ES52,Heating Tertiary,153,533.058
ES52,Heating Tertiary,154,466.31
ES52,Heating Tertiary,155,406.41900000000004
ES52,Heating Tertiary,156,360.16
ES52,Heating Tertiary,157,328.035
ES52,Heating Tertiary,158,304.01099999999997
ES52,Heating Tertiary,159,287.892
ES52,Heating Tertiary,160,280.746
ES52,Heating Tertiary,161,281.135
ES52,Heating Tertiary,162,284.0
ES52,Heating Tertiary,163,284.962
ES52,Heating Tertiary,164,286.533
ES52,Heating Tertiary,165,293.5540000000001
ES52,Heating Tertiary,166,313.899
ES52,Heating Tertiary,167,353.32199999999995
ES52,Heating Tertiary,168,411.069
ES52,Heating Tertiary,169,373.358
ES52,Heating Tertiary,170,422.914
ES52,Heating Tertiary,171,460.836
ES52,Heating Tertiary,172,483.639
ES52,Heating Tertiary,173,495.462
ES52,Heating Tertiary,174,499.851
ES52,Heating Tertiary,175,490.60699999999997
ES52,Heating Tertiary,176,461.509
ES52,Heating Tertiary,177,415.92
ES52,Heating Tertiary,178,363.839
ES52,Heating Tertiary,179,317.1090000000001
ES52,Heating Tertiary,180,281.015
ES52,Heating Tertiary,181,255.95
ES52,Heating Tertiary,182,237.205
ES52,Heating Tertiary,183,224.628
ES52,Heating Tertiary,184,219.051
ES52,Heating Tertiary,185,219.356
ES52,Heating Tertiary,186,221.592
ES52,Heating Tertiary,187,222.34099999999998
ES52,Heating Tertiary,188,223.56799999999998
ES52,Heating Tertiary,189,229.046
ES52,Heating Tertiary,190,244.92
ES52,Heating Tertiary,191,275.68
ES52,Heating Tertiary,192,320.738
ES52,Heating Tertiary,193,501.51
ES52,Heating Tertiary,194,571.053
ES52,Heating Tertiary,195,621.88
ES52,Heating Tertiary,196,651.006
ES52,Heating Tertiary,197,668.6189999999998
ES52,Heating Tertiary,198,677.8489999999998
ES52,Heating Tertiary,199,668.2180000000002
ES52,Heating Tertiary,200,632.039
ES52,Heating Tertiary,201,573.565
ES52,Heating Tertiary,202,504.712
ES52,Heating Tertiary,203,438.57
ES52,Heating Tertiary,204,385.606
ES52,Heating Tertiary,205,347.73699999999997
ES52,Heating Tertiary,206,319.941
ES52,Heating Tertiary,207,300.361
ES52,Heating Tertiary,208,291.745
ES52,Heating Tertiary,209,292.858
ES52,Heating Tertiary,210,296.782
ES52,Heating Tertiary,211,298.022
ES52,Heating Tertiary,212,297.76
ES52,Heating Tertiary,213,301.534
ES52,Heating Tertiary,214,319.264
ES52,Heating Tertiary,215,360.455
ES52,Heating Tertiary,216,424.534
ES52,Heating Tertiary,217,496.01199999999994
ES52,Heating Tertiary,218,571.398
ES52,Heating Tertiary,219,632.266
ES52,Heating Tertiary,220,669.752
ES52,Heating Tertiary,221,686.803
ES52,Heating Tertiary,222,692.648
ES52,Heating Tertiary,223,680.19
ES52,Heating Tertiary,224,643.5980000000002
ES52,Heating Tertiary,225,585.5740000000002
ES52,Heating Tertiary,226,517.111
ES52,Heating Tertiary,227,452.89
ES52,Heating Tertiary,228,403.402
ES52,Heating Tertiary,229,369.23900000000003
ES52,Heating Tertiary,230,342.907
ES52,Heating Tertiary,231,322.625
ES52,Heating Tertiary,232,311.425
ES52,Heating Tertiary,233,306.438
ES52,Heating Tertiary,234,304.039
ES52,Heating Tertiary,235,300.192
