NUTS2_code,process,hour,load
FI1B,Heating Tertiary,1,417.395
FI1B,Heating Tertiary,2,445.07
FI1B,Heating Tertiary,3,457.444
FI1B,Heating Tertiary,4,463.04
FI1B,Heating Tertiary,5,457.29
FI1B,Heating Tertiary,6,435.418
FI1B,Heating Tertiary,7,398.25699999999995
FI1B,Heating Tertiary,8,352.49199999999996
FI1B,Heating Tertiary,9,308.181
FI1B,Heating Tertiary,10,273.249
FI1B,Heating Tertiary,11,249.46200000000002
FI1B,Heating Tertiary,12,231.40599999999998
FI1B,Heating Tertiary,13,216.803
FI1B,Heating Tertiary,14,208.601
FI1B,Heating Tertiary,15,204.771
FI1B,Heating Tertiary,16,203.452
FI1B,Heating Tertiary,17,200.715
FI1B,Heating Tertiary,18,199.32
FI1B,Heating Tertiary,19,201.69400000000002
FI1B,Heating Tertiary,20,212.41
FI1B,Heating Tertiary,21,236.729
FI1B,Heating Tertiary,22,274.376
FI1B,Heating Tertiary,23,322.815
FI1B,Heating Tertiary,24,374.337
FI1B,Heating Tertiary,25,411.685
FI1B,Heating Tertiary,26,432.611
FI1B,Heating Tertiary,27,444.95300000000003
FI1B,Heating Tertiary,28,452.773
FI1B,Heating Tertiary,29,449.207
FI1B,Heating Tertiary,30,427.767
FI1B,Heating Tertiary,31,390.235
FI1B,Heating Tertiary,32,344.366
FI1B,Heating Tertiary,33,298.953
FI1B,Heating Tertiary,34,261.822
FI1B,Heating Tertiary,35,235.34400000000002
FI1B,Heating Tertiary,36,216.021
FI1B,Heating Tertiary,37,201.81
FI1B,Heating Tertiary,38,194.822
FI1B,Heating Tertiary,39,195.032
FI1B,Heating Tertiary,40,197.935
FI1B,Heating Tertiary,41,199.05200000000002
FI1B,Heating Tertiary,42,198.715
FI1B,Heating Tertiary,43,200.14700000000002
FI1B,Heating Tertiary,44,209.524
FI1B,Heating Tertiary,45,234.454
FI1B,Heating Tertiary,46,275.147
FI1B,Heating Tertiary,47,326.952
FI1B,Heating Tertiary,48,375.10900000000004
FI1B,Heating Tertiary,49,436.598
FI1B,Heating Tertiary,50,465.551
FI1B,Heating Tertiary,51,478.491
FI1B,Heating Tertiary,52,484.346
FI1B,Heating Tertiary,53,478.329
FI1B,Heating Tertiary,54,455.45
FI1B,Heating Tertiary,55,416.582
FI1B,Heating Tertiary,56,368.711
FI1B,Heating Tertiary,57,322.361
FI1B,Heating Tertiary,58,285.822
FI1B,Heating Tertiary,59,260.94
FI1B,Heating Tertiary,60,242.054
FI1B,Heating Tertiary,61,226.77900000000002
FI1B,Heating Tertiary,62,218.199
FI1B,Heating Tertiary,63,214.192
FI1B,Heating Tertiary,64,212.813
FI1B,Heating Tertiary,65,209.951
FI1B,Heating Tertiary,66,208.49099999999999
FI1B,Heating Tertiary,67,210.97400000000002
FI1B,Heating Tertiary,68,222.18400000000003
FI1B,Heating Tertiary,69,247.622
FI1B,Heating Tertiary,70,287.001
FI1B,Heating Tertiary,71,337.668
FI1B,Heating Tertiary,72,391.561
FI1B,Heating Tertiary,73,408.70099999999996
FI1B,Heating Tertiary,74,430.961
FI1B,Heating Tertiary,75,442.401
