NUTS2_code,process,hour,load
FI1C,Heating Tertiary,1,422.131
FI1C,Heating Tertiary,2,450.125
FI1C,Heating Tertiary,3,462.63599999999997
FI1C,Heating Tertiary,4,468.29699999999997
FI1C,Heating Tertiary,5,462.48
FI1C,Heating Tertiary,6,440.35900000000004
FI1C,Heating Tertiary,7,402.778
FI1C,Heating Tertiary,8,356.494
FI1C,Heating Tertiary,9,311.68
FI1C,Heating Tertiary,10,276.351
FI1C,Heating Tertiary,11,252.293
FI1C,Heating Tertiary,12,234.033
FI1C,Heating Tertiary,13,219.264
FI1C,Heating Tertiary,14,210.96900000000002
FI1C,Heating Tertiary,15,207.095
FI1C,Heating Tertiary,16,205.761
FI1C,Heating Tertiary,17,202.99400000000003
FI1C,Heating Tertiary,18,201.582
FI1C,Heating Tertiary,19,203.983
FI1C,Heating Tertiary,20,214.822
FI1C,Heating Tertiary,21,239.417
FI1C,Heating Tertiary,22,277.491
FI1C,Heating Tertiary,23,326.48
FI1C,Heating Tertiary,24,378.586
FI1C,Heating Tertiary,25,416.35699999999997
FI1C,Heating Tertiary,26,437.524
FI1C,Heating Tertiary,27,450.004
FI1C,Heating Tertiary,28,457.913
FI1C,Heating Tertiary,29,454.30400000000003
FI1C,Heating Tertiary,30,432.625
FI1C,Heating Tertiary,31,394.666
FI1C,Heating Tertiary,32,348.275
FI1C,Heating Tertiary,33,302.347
FI1C,Heating Tertiary,34,264.795
FI1C,Heating Tertiary,35,238.016
FI1C,Heating Tertiary,36,218.47299999999998
FI1C,Heating Tertiary,37,204.101
FI1C,Heating Tertiary,38,197.03400000000002
FI1C,Heating Tertiary,39,197.24599999999998
FI1C,Heating Tertiary,40,200.18200000000002
FI1C,Heating Tertiary,41,201.312
FI1C,Heating Tertiary,42,200.97099999999998
FI1C,Heating Tertiary,43,202.419
FI1C,Heating Tertiary,44,211.90200000000002
FI1C,Heating Tertiary,45,237.11599999999999
FI1C,Heating Tertiary,46,278.27099999999996
FI1C,Heating Tertiary,47,330.664
FI1C,Heating Tertiary,48,379.36699999999996
FI1C,Heating Tertiary,49,422.131
FI1C,Heating Tertiary,50,450.125
FI1C,Heating Tertiary,51,462.63599999999997
FI1C,Heating Tertiary,52,468.29699999999997
FI1C,Heating Tertiary,53,462.48
FI1C,Heating Tertiary,54,440.35900000000004
FI1C,Heating Tertiary,55,402.778
FI1C,Heating Tertiary,56,356.494
FI1C,Heating Tertiary,57,311.68
FI1C,Heating Tertiary,58,276.351
FI1C,Heating Tertiary,59,252.293
FI1C,Heating Tertiary,60,234.033
FI1C,Heating Tertiary,61,219.264
FI1C,Heating Tertiary,62,210.96900000000002
FI1C,Heating Tertiary,63,207.095
FI1C,Heating Tertiary,64,205.761
FI1C,Heating Tertiary,65,202.99400000000003
FI1C,Heating Tertiary,66,201.582
FI1C,Heating Tertiary,67,203.983
FI1C,Heating Tertiary,68,214.822
FI1C,Heating Tertiary,69,239.417
FI1C,Heating Tertiary,70,277.491
FI1C,Heating Tertiary,71,326.48
FI1C,Heating Tertiary,72,378.586
FI1C,Heating Tertiary,73,395.158
FI1C,Heating Tertiary,74,416.681
FI1C,Heating Tertiary,75,427.74199999999996
FI1C,Heating Tertiary,76,433.04699999999997
FI1C,Heating Tertiary,77,427.836
FI1C,Heating Tertiary,78,405.25699999999995
FI1C,Heating Tertiary,79,367.259
FI1C,Heating Tertiary,80,321.695
FI1C,Heating Tertiary,81,279.911
FI1C,Heating Tertiary,82,246.90599999999998
FI1C,Heating Tertiary,83,224.315
FI1C,Heating Tertiary,84,207.293
FI1C,Heating Tertiary,85,195.43599999999998
FI1C,Heating Tertiary,86,189.668
FI1C,Heating Tertiary,87,189.44799999999998
FI1C,Heating Tertiary,88,191.65200000000002
FI1C,Heating Tertiary,89,192.34599999999998
FI1C,Heating Tertiary,90,193.071
FI1C,Heating Tertiary,91,196.61
FI1C,Heating Tertiary,92,208.345
FI1C,Heating Tertiary,93,232.797
FI1C,Heating Tertiary,94,270.311
FI1C,Heating Tertiary,95,315.892
FI1C,Heating Tertiary,96,360.139
FI1C,Heating Tertiary,97,344.602
FI1C,Heating Tertiary,98,363.374
FI1C,Heating Tertiary,99,373.01800000000003
FI1C,Heating Tertiary,100,377.64599999999996
FI1C,Heating Tertiary,101,373.102
FI1C,Heating Tertiary,102,353.41
FI1C,Heating Tertiary,103,320.27299999999997
FI1C,Heating Tertiary,104,280.539
FI1C,Heating Tertiary,105,244.1
FI1C,Heating Tertiary,106,215.31799999999998
FI1C,Heating Tertiary,107,195.61700000000002
FI1C,Heating Tertiary,108,180.773
FI1C,Heating Tertiary,109,170.433
FI1C,Heating Tertiary,110,165.403
FI1C,Heating Tertiary,111,165.21099999999996
FI1C,Heating Tertiary,112,167.13299999999995
FI1C,Heating Tertiary,113,167.738
FI1C,Heating Tertiary,114,168.37
FI1C,Heating Tertiary,115,171.457
FI1C,Heating Tertiary,116,181.69
FI1C,Heating Tertiary,117,203.014
FI1C,Heating Tertiary,118,235.729
FI1C,Heating Tertiary,119,275.478
FI1C,Heating Tertiary,120,314.065
FI1C,Heating Tertiary,121,422.131
FI1C,Heating Tertiary,122,450.125
FI1C,Heating Tertiary,123,462.63599999999997
FI1C,Heating Tertiary,124,468.29699999999997
FI1C,Heating Tertiary,125,462.48
FI1C,Heating Tertiary,126,440.35900000000004
FI1C,Heating Tertiary,127,402.778
FI1C,Heating Tertiary,128,356.494
FI1C,Heating Tertiary,129,311.68
FI1C,Heating Tertiary,130,276.351
FI1C,Heating Tertiary,131,252.293
FI1C,Heating Tertiary,132,234.033
FI1C,Heating Tertiary,133,219.264
FI1C,Heating Tertiary,134,210.96900000000002
FI1C,Heating Tertiary,135,207.095
FI1C,Heating Tertiary,136,205.761
FI1C,Heating Tertiary,137,202.99400000000003
FI1C,Heating Tertiary,138,201.582
FI1C,Heating Tertiary,139,203.983
FI1C,Heating Tertiary,140,214.822
FI1C,Heating Tertiary,141,239.417
FI1C,Heating Tertiary,142,277.491
FI1C,Heating Tertiary,143,326.48
FI1C,Heating Tertiary,144,378.586
FI1C,Heating Tertiary,145,395.158
FI1C,Heating Tertiary,146,416.681
FI1C,Heating Tertiary,147,427.74199999999996
FI1C,Heating Tertiary,148,433.04699999999997
FI1C,Heating Tertiary,149,427.836
FI1C,Heating Tertiary,150,405.25699999999995
FI1C,Heating Tertiary,151,367.259
FI1C,Heating Tertiary,152,321.695
FI1C,Heating Tertiary,153,279.911
FI1C,Heating Tertiary,154,246.90599999999998
FI1C,Heating Tertiary,155,224.315
FI1C,Heating Tertiary,156,207.293
FI1C,Heating Tertiary,157,195.43599999999998
FI1C,Heating Tertiary,158,189.668
FI1C,Heating Tertiary,159,189.44799999999998
FI1C,Heating Tertiary,160,191.65200000000002
FI1C,Heating Tertiary,161,192.34599999999998
FI1C,Heating Tertiary,162,193.071
FI1C,Heating Tertiary,163,196.61
FI1C,Heating Tertiary,164,208.345
FI1C,Heating Tertiary,165,232.797
FI1C,Heating Tertiary,166,270.311
FI1C,Heating Tertiary,167,315.892
FI1C,Heating Tertiary,168,360.139
FI1C,Heating Tertiary,169,361.015
FI1C,Heating Tertiary,170,380.681
FI1C,Heating Tertiary,171,390.785
FI1C,Heating Tertiary,172,395.631
FI1C,Heating Tertiary,173,390.87199999999996
FI1C,Heating Tertiary,174,370.24300000000005
FI1C,Heating Tertiary,175,335.527
FI1C,Heating Tertiary,176,293.9
FI1C,Heating Tertiary,177,255.727
FI1C,Heating Tertiary,178,225.574
FI1C,Heating Tertiary,179,204.93400000000003
FI1C,Heating Tertiary,180,189.38299999999998
FI1C,Heating Tertiary,181,178.55
FI1C,Heating Tertiary,182,173.28
FI1C,Heating Tertiary,183,173.079
FI1C,Heating Tertiary,184,175.09400000000005
FI1C,Heating Tertiary,185,175.727
FI1C,Heating Tertiary,186,176.389
FI1C,Heating Tertiary,187,179.623
FI1C,Heating Tertiary,188,190.343
FI1C,Heating Tertiary,189,212.68400000000003
FI1C,Heating Tertiary,190,246.956
FI1C,Heating Tertiary,191,288.599
FI1C,Heating Tertiary,192,329.023
FI1C,Heating Tertiary,193,416.35699999999997
FI1C,Heating Tertiary,194,437.524
FI1C,Heating Tertiary,195,450.004
FI1C,Heating Tertiary,196,457.913
FI1C,Heating Tertiary,197,454.30400000000003
FI1C,Heating Tertiary,198,432.625
FI1C,Heating Tertiary,199,394.666
FI1C,Heating Tertiary,200,348.275
FI1C,Heating Tertiary,201,302.347
FI1C,Heating Tertiary,202,264.795
FI1C,Heating Tertiary,203,238.016
FI1C,Heating Tertiary,204,218.47299999999998
FI1C,Heating Tertiary,205,204.101
FI1C,Heating Tertiary,206,197.03400000000002
FI1C,Heating Tertiary,207,197.24599999999998
FI1C,Heating Tertiary,208,200.18200000000002
FI1C,Heating Tertiary,209,201.312
FI1C,Heating Tertiary,210,200.97099999999998
FI1C,Heating Tertiary,211,202.419
FI1C,Heating Tertiary,212,211.90200000000002
FI1C,Heating Tertiary,213,237.11599999999999
FI1C,Heating Tertiary,214,278.27099999999996
FI1C,Heating Tertiary,215,330.664
FI1C,Heating Tertiary,216,379.36699999999996
FI1C,Heating Tertiary,217,422.131
FI1C,Heating Tertiary,218,450.125
FI1C,Heating Tertiary,219,462.63599999999997
FI1C,Heating Tertiary,220,468.29699999999997
FI1C,Heating Tertiary,221,462.48
FI1C,Heating Tertiary,222,440.35900000000004
FI1C,Heating Tertiary,223,402.778
FI1C,Heating Tertiary,224,356.494
FI1C,Heating Tertiary,225,311.68
FI1C,Heating Tertiary,226,276.351
FI1C,Heating Tertiary,227,252.293
FI1C,Heating Tertiary,228,234.033
FI1C,Heating Tertiary,229,219.264
FI1C,Heating Tertiary,230,210.96900000000002
FI1C,Heating Tertiary,231,207.095
FI1C,Heating Tertiary,232,205.761
FI1C,Heating Tertiary,233,202.99400000000003
FI1C,Heating Tertiary,234,201.582
FI1C,Heating Tertiary,235,203.983
FI1C,Heating Tertiary,236,214.822
FI1C,Heating Tertiary,237,239.417
FI1C,Heating Tertiary,238,277.491
FI1C,Heating Tertiary,239,326.48
FI1C,Heating Tertiary,240,378.586
FI1C,Heating Tertiary,241,377.775
FI1C,Heating Tertiary,242,398.353
FI1C,Heating Tertiary,243,408.92400000000004
FI1C,Heating Tertiary,244,413.999
FI1C,Heating Tertiary,245,409.01800000000003
FI1C,Heating Tertiary,246,387.431
FI1C,Heating Tertiary,247,351.10400000000016
FI1C,Heating Tertiary,248,307.5440000000001
FI1C,Heating Tertiary,249,267.598
FI1C,Heating Tertiary,250,236.046
FI1C,Heating Tertiary,251,214.447
FI1C,Heating Tertiary,252,198.175
FI1C,Heating Tertiary,253,186.83900000000003
