NUTS2_code,process,hour,load
FI20,Heating Tertiary,1,357.44800000000015
FI20,Heating Tertiary,2,381.152
FI20,Heating Tertiary,3,391.74699999999996
FI20,Heating Tertiary,4,396.539
FI20,Heating Tertiary,5,391.61400000000003
FI20,Heating Tertiary,6,372.88300000000004
FI20,Heating Tertiary,7,341.06
FI20,Heating Tertiary,8,301.868
FI20,Heating Tertiary,9,263.921
FI20,Heating Tertiary,10,234.005
FI20,Heating Tertiary,11,213.63400000000001
FI20,Heating Tertiary,12,198.172
FI20,Heating Tertiary,13,185.666
FI20,Heating Tertiary,14,178.642
FI20,Heating Tertiary,15,175.362
FI20,Heating Tertiary,16,174.232
FI20,Heating Tertiary,17,171.889
FI20,Heating Tertiary,18,170.69400000000005
FI20,Heating Tertiary,19,172.727
FI20,Heating Tertiary,20,181.905
FI20,Heating Tertiary,21,202.731
FI20,Heating Tertiary,22,234.97099999999998
FI20,Heating Tertiary,23,276.453
FI20,Heating Tertiary,24,320.575
FI20,Heating Tertiary,25,352.559
FI20,Heating Tertiary,26,370.48199999999997
FI20,Heating Tertiary,27,381.05
FI20,Heating Tertiary,28,387.74800000000016
FI20,Heating Tertiary,29,384.69199999999995
FI20,Heating Tertiary,30,366.334
FI20,Heating Tertiary,31,334.19
FI20,Heating Tertiary,32,294.909
FI20,Heating Tertiary,33,256.018
FI20,Heating Tertiary,34,224.22
FI20,Heating Tertiary,35,201.545
FI20,Heating Tertiary,36,184.99599999999998
FI20,Heating Tertiary,37,172.827
FI20,Heating Tertiary,38,166.842
FI20,Heating Tertiary,39,167.02200000000005
FI20,Heating Tertiary,40,169.50799999999995
FI20,Heating Tertiary,41,170.46400000000003
FI20,Heating Tertiary,42,170.176
FI20,Heating Tertiary,43,171.40200000000004
FI20,Heating Tertiary,44,179.43200000000004
FI20,Heating Tertiary,45,200.782
FI20,Heating Tertiary,46,235.63099999999997
FI20,Heating Tertiary,47,279.996
FI20,Heating Tertiary,48,321.237
FI20,Heating Tertiary,49,413.64300000000003
FI20,Heating Tertiary,50,441.074
FI20,Heating Tertiary,51,453.335
FI20,Heating Tertiary,52,458.879
FI20,Heating Tertiary,53,453.181
FI20,Heating Tertiary,54,431.504
FI20,Heating Tertiary,55,394.67800000000005
FI20,Heating Tertiary,56,349.325
FI20,Heating Tertiary,57,305.4120000000001
FI20,Heating Tertiary,58,270.793
FI20,Heating Tertiary,59,247.22
FI20,Heating Tertiary,60,229.327
FI20,Heating Tertiary,61,214.855
FI20,Heating Tertiary,62,206.727
FI20,Heating Tertiary,63,202.93099999999998
FI20,Heating Tertiary,64,201.62400000000002
FI20,Heating Tertiary,65,198.91099999999997
FI20,Heating Tertiary,66,197.52900000000002
FI20,Heating Tertiary,67,199.88099999999997
FI20,Heating Tertiary,68,210.502
FI20,Heating Tertiary,69,234.602
FI20,Heating Tertiary,70,271.91
FI20,Heating Tertiary,71,319.914
FI20,Heating Tertiary,72,370.973
FI20,Heating Tertiary,73,301.613
FI20,Heating Tertiary,74,318.043
FI20,Heating Tertiary,75,326.4840000000001
FI20,Heating Tertiary,76,330.535
FI20,Heating Tertiary,77,326.557
FI20,Heating Tertiary,78,309.323
FI20,Heating Tertiary,79,280.319
FI20,Heating Tertiary,80,245.542
FI20,Heating Tertiary,81,213.649
FI20,Heating Tertiary,82,188.457
FI20,Heating Tertiary,83,171.21400000000003
FI20,Heating Tertiary,84,158.221
FI20,Heating Tertiary,85,149.171
FI20,Heating Tertiary,86,144.768
FI20,Heating Tertiary,87,144.6
FI20,Heating Tertiary,88,146.283
FI20,Heating Tertiary,89,146.813
FI20,Heating Tertiary,90,147.366
FI20,Heating Tertiary,91,150.067
FI20,Heating Tertiary,92,159.024
FI20,Heating Tertiary,93,177.688
FI20,Heating Tertiary,94,206.321
