NUTS2_code,process,hour,load
FR51,Heating Tertiary,1,311.96
FR51,Heating Tertiary,2,346.949
FR51,Heating Tertiary,3,369.13699999999994
FR51,Heating Tertiary,4,379.11
FR51,Heating Tertiary,5,383.277
FR51,Heating Tertiary,6,377.806
FR51,Heating Tertiary,7,358.98699999999997
FR51,Heating Tertiary,8,327.779
FR51,Heating Tertiary,9,289.897
FR51,Heating Tertiary,10,253.59900000000002
FR51,Heating Tertiary,11,225.19400000000002
FR51,Heating Tertiary,12,205.766
FR51,Heating Tertiary,13,190.946
FR51,Heating Tertiary,14,179.146
FR51,Heating Tertiary,15,172.554
FR51,Heating Tertiary,16,169.52
FR51,Heating Tertiary,17,168.34900000000005
FR51,Heating Tertiary,18,166.13
FR51,Heating Tertiary,19,165.11599999999999
FR51,Heating Tertiary,20,167.41400000000004
FR51,Heating Tertiary,21,176.886
FR51,Heating Tertiary,22,197.62
FR51,Heating Tertiary,23,229.30900000000003
FR51,Heating Tertiary,24,269.625
FR51,Heating Tertiary,25,312.324
FR51,Heating Tertiary,26,341.8830000000001
FR51,Heating Tertiary,27,358.80400000000014
FR51,Heating Tertiary,28,368.86300000000006
FR51,Heating Tertiary,29,374.88199999999995
FR51,Heating Tertiary,30,371.13699999999994
FR51,Heating Tertiary,31,352.635
FR51,Heating Tertiary,32,321.137
FR51,Heating Tertiary,33,283.126
FR51,Heating Tertiary,34,245.86599999999999
FR51,Heating Tertiary,35,215.606
FR51,Heating Tertiary,36,194.01
FR51,Heating Tertiary,37,178.21900000000005
FR51,Heating Tertiary,38,166.766
FR51,Heating Tertiary,39,161.32
FR51,Heating Tertiary,40,161.641
FR51,Heating Tertiary,41,163.967
FR51,Heating Tertiary,42,164.812
FR51,Heating Tertiary,43,164.578
FR51,Heating Tertiary,44,166.06400000000005
FR51,Heating Tertiary,45,174.507
FR51,Heating Tertiary,46,195.862
FR51,Heating Tertiary,47,230.136
FR51,Heating Tertiary,48,272.921
FR51,Heating Tertiary,49,364.20599999999996
FR51,Heating Tertiary,50,405.05300000000005
FR51,Heating Tertiary,51,430.957
FR51,Heating Tertiary,52,442.601
FR51,Heating Tertiary,53,447.465
FR51,Heating Tertiary,54,441.07800000000003
FR51,Heating Tertiary,55,419.108
FR51,Heating Tertiary,56,382.67400000000004
FR51,Heating Tertiary,57,338.44699999999995
FR51,Heating Tertiary,58,296.07099999999997
FR51,Heating Tertiary,59,262.909
FR51,Heating Tertiary,60,240.226
FR51,Heating Tertiary,61,222.924
FR51,Heating Tertiary,62,209.148
FR51,Heating Tertiary,63,201.452
FR51,Heating Tertiary,64,197.91
FR51,Heating Tertiary,65,196.544
FR51,Heating Tertiary,66,193.953
FR51,Heating Tertiary,67,192.769
FR51,Heating Tertiary,68,195.452
FR51,Heating Tertiary,69,206.50900000000001
FR51,Heating Tertiary,70,230.71599999999998
FR51,Heating Tertiary,71,267.712
FR51,Heating Tertiary,72,314.779
FR51,Heating Tertiary,73,321.017
FR51,Heating Tertiary,74,351.412
FR51,Heating Tertiary,75,369.967
FR51,Heating Tertiary,76,379.527
FR51,Heating Tertiary,77,383.786
FR51,Heating Tertiary,78,378.342
FR51,Heating Tertiary,79,357.55400000000014
FR51,Heating Tertiary,80,323.437
FR51,Heating Tertiary,81,283.187
FR51,Heating Tertiary,82,246.53900000000002
FR51,Heating Tertiary,83,217.80200000000002
FR51,Heating Tertiary,84,198.03799999999998
FR51,Heating Tertiary,85,183.18400000000003
FR51,Heating Tertiary,86,172.959
FR51,Heating Tertiary,87,168.12400000000005
FR51,Heating Tertiary,88,168.072
FR51,Heating Tertiary,89,169.946
FR51,Heating Tertiary,90,170.548
FR51,Heating Tertiary,91,171.29
FR51,Heating Tertiary,92,174.783
FR51,Heating Tertiary,93,185.778
FR51,Heating Tertiary,94,208.097
FR51,Heating Tertiary,95,241.793
FR51,Heating Tertiary,96,282.191
FR51,Heating Tertiary,97,416.16
FR51,Heating Tertiary,98,455.564
FR51,Heating Tertiary,99,479.61699999999996
FR51,Heating Tertiary,100,492.01
FR51,Heating Tertiary,101,497.532
FR51,Heating Tertiary,102,490.474
FR51,Heating Tertiary,103,463.526
FR51,Heating Tertiary,104,419.29699999999997
FR51,Heating Tertiary,105,367.11699999999996
FR51,Heating Tertiary,106,319.6090000000001
FR51,Heating Tertiary,107,282.353
FR51,Heating Tertiary,108,256.732
FR51,Heating Tertiary,109,237.475
FR51,Heating Tertiary,110,224.22099999999998
FR51,Heating Tertiary,111,217.952
FR51,Heating Tertiary,112,217.88400000000001
FR51,Heating Tertiary,113,220.31400000000002
FR51,Heating Tertiary,114,221.095
FR51,Heating Tertiary,115,222.05700000000002
FR51,Heating Tertiary,116,226.585
FR51,Heating Tertiary,117,240.83900000000003
FR51,Heating Tertiary,118,269.774
FR51,Heating Tertiary,119,313.455
FR51,Heating Tertiary,120,365.827
FR51,Heating Tertiary,121,392.338
FR51,Heating Tertiary,122,429.486
FR51,Heating Tertiary,123,452.163
FR51,Heating Tertiary,124,463.847
FR51,Heating Tertiary,125,469.05300000000005
FR51,Heating Tertiary,126,462.399
FR51,Heating Tertiary,127,436.994
FR51,Heating Tertiary,128,395.295
FR51,Heating Tertiary,129,346.103
FR51,Heating Tertiary,130,301.314
FR51,Heating Tertiary,131,266.191
FR51,Heating Tertiary,132,242.037
FR51,Heating Tertiary,133,223.882
FR51,Heating Tertiary,134,211.386
FR51,Heating Tertiary,135,205.476
FR51,Heating Tertiary,136,205.41299999999998
FR51,Heating Tertiary,137,207.704
FR51,Heating Tertiary,138,208.43900000000002
FR51,Heating Tertiary,139,209.34599999999998
FR51,Heating Tertiary,140,213.615
FR51,Heating Tertiary,141,227.053
FR51,Heating Tertiary,142,254.331
FR51,Heating Tertiary,143,295.513
FR51,Heating Tertiary,144,344.88599999999997
FR51,Heating Tertiary,145,442.851
FR51,Heating Tertiary,146,484.782
FR51,Heating Tertiary,147,510.37800000000004
FR51,Heating Tertiary,148,523.567
FR51,Heating Tertiary,149,529.443
FR51,Heating Tertiary,150,521.932
FR51,Heating Tertiary,151,493.256
FR51,Heating Tertiary,152,446.189
FR51,Heating Tertiary,153,390.664
FR51,Heating Tertiary,154,340.108
FR51,Heating Tertiary,155,300.46299999999997
FR51,Heating Tertiary,156,273.198
FR51,Heating Tertiary,157,252.707
FR51,Heating Tertiary,158,238.601
FR51,Heating Tertiary,159,231.93099999999998
FR51,Heating Tertiary,160,231.859
FR51,Heating Tertiary,161,234.445
FR51,Heating Tertiary,162,235.27599999999998
FR51,Heating Tertiary,163,236.299
FR51,Heating Tertiary,164,241.118
FR51,Heating Tertiary,165,256.286
FR51,Heating Tertiary,166,287.07599999999996
FR51,Heating Tertiary,167,333.56
FR51,Heating Tertiary,168,389.29
FR51,Heating Tertiary,169,392.338
FR51,Heating Tertiary,170,429.486
FR51,Heating Tertiary,171,452.163
FR51,Heating Tertiary,172,463.847
FR51,Heating Tertiary,173,469.05300000000005
FR51,Heating Tertiary,174,462.399
FR51,Heating Tertiary,175,436.994
FR51,Heating Tertiary,176,395.295
FR51,Heating Tertiary,177,346.103
FR51,Heating Tertiary,178,301.314
FR51,Heating Tertiary,179,266.191
FR51,Heating Tertiary,180,242.037
FR51,Heating Tertiary,181,223.882
FR51,Heating Tertiary,182,211.386
FR51,Heating Tertiary,183,205.476
FR51,Heating Tertiary,184,205.41299999999998
FR51,Heating Tertiary,185,207.704
FR51,Heating Tertiary,186,208.43900000000002
FR51,Heating Tertiary,187,209.34599999999998
FR51,Heating Tertiary,188,213.615
FR51,Heating Tertiary,189,227.053
FR51,Heating Tertiary,190,254.331
FR51,Heating Tertiary,191,295.513
FR51,Heating Tertiary,192,344.88599999999997
FR51,Heating Tertiary,193,466.52099999999996
FR51,Heating Tertiary,194,510.673
FR51,Heating Tertiary,195,535.948
FR51,Heating Tertiary,196,550.974
FR51,Heating Tertiary,197,559.964
FR51,Heating Tertiary,198,554.37
FR51,Heating Tertiary,199,526.7330000000002
FR51,Heating Tertiary,200,479.686
FR51,Heating Tertiary,201,422.907
FR51,Heating Tertiary,202,367.251
FR51,Heating Tertiary,203,322.053
FR51,Heating Tertiary,204,289.7940000000001
FR51,Heating Tertiary,205,266.20799999999997
FR51,Heating Tertiary,206,249.09900000000002
FR51,Heating Tertiary,207,240.965
FR51,Heating Tertiary,208,241.445
FR51,Heating Tertiary,209,244.919
FR51,Heating Tertiary,210,246.18099999999998
FR51,Heating Tertiary,211,245.831
FR51,Heating Tertiary,212,248.051
FR51,Heating Tertiary,213,260.664
FR51,Heating Tertiary,214,292.56
FR51,Heating Tertiary,215,343.756
FR51,Heating Tertiary,216,407.666
FR51,Heating Tertiary,217,465.978
FR51,Heating Tertiary,218,518.24
FR51,Heating Tertiary,219,551.383
FR51,Heating Tertiary,220,566.279
FR51,Heating Tertiary,221,572.503
FR51,Heating Tertiary,222,564.332
FR51,Heating Tertiary,223,536.222
FR51,Heating Tertiary,224,489.60699999999997
FR51,Heating Tertiary,225,433.022
FR51,Heating Tertiary,226,378.80400000000003
FR51,Heating Tertiary,227,336.374
FR51,Heating Tertiary,228,307.3540000000001
FR51,Heating Tertiary,229,285.217
FR51,Heating Tertiary,230,267.591
FR51,Heating Tertiary,231,257.745
FR51,Heating Tertiary,232,253.213
FR51,Heating Tertiary,233,251.46599999999998
FR51,Heating Tertiary,234,248.15
FR51,Heating Tertiary,235,246.635
FR51,Heating Tertiary,236,250.067
