NUTS2_code,process,hour,load
HR03,Heating Tertiary,1,240.688
HR03,Heating Tertiary,2,246.94
HR03,Heating Tertiary,3,249.24599999999998
HR03,Heating Tertiary,4,245.072
HR03,Heating Tertiary,5,232.215
HR03,Heating Tertiary,6,211.53099999999998
HR03,Heating Tertiary,7,186.895
HR03,Heating Tertiary,8,163.62
HR03,Heating Tertiary,9,145.591
HR03,Heating Tertiary,10,133.183
HR03,Heating Tertiary,11,123.65299999999999
HR03,Heating Tertiary,12,116.23
HR03,Heating Tertiary,13,112.11399999999999
HR03,Heating Tertiary,14,110.26
HR03,Heating Tertiary,15,109.431
HR03,Heating Tertiary,16,108.027
HR03,Heating Tertiary,17,107.49
HR03,Heating Tertiary,18,109.273
HR03,Heating Tertiary,19,115.955
HR03,Heating Tertiary,20,129.963
HR03,Heating Tertiary,21,151.028
HR03,Heating Tertiary,22,177.437
HR03,Heating Tertiary,23,204.699
HR03,Heating Tertiary,24,226.886
HR03,Heating Tertiary,25,233.951
HR03,Heating Tertiary,26,240.357
HR03,Heating Tertiary,27,243.877
HR03,Heating Tertiary,28,240.755
HR03,Heating Tertiary,29,228.065
HR03,Heating Tertiary,30,207.21
HR03,Heating Tertiary,31,182.452
HR03,Heating Tertiary,32,158.50799999999995
HR03,Heating Tertiary,33,139.243
HR03,Heating Tertiary,34,125.476
HR03,Heating Tertiary,35,115.385
HR03,Heating Tertiary,36,108.205
HR03,Heating Tertiary,37,104.958
HR03,Heating Tertiary,38,105.294
HR03,Heating Tertiary,39,106.74
HR03,Heating Tertiary,40,107.221
HR03,Heating Tertiary,41,107.10700000000001
HR03,Heating Tertiary,42,108.334
HR03,Heating Tertiary,43,114.41799999999999
HR03,Heating Tertiary,44,128.928
HR03,Heating Tertiary,45,151.73
HR03,Heating Tertiary,46,179.47099999999998
HR03,Heating Tertiary,47,204.695
HR03,Heating Tertiary,48,223.297
HR03,Heating Tertiary,49,342.608
HR03,Heating Tertiary,50,351.50800000000015
HR03,Heating Tertiary,51,354.79
HR03,Heating Tertiary,52,348.848
HR03,Heating Tertiary,53,330.546
HR03,Heating Tertiary,54,301.103
HR03,Heating Tertiary,55,266.035
HR03,Heating Tertiary,56,232.905
HR03,Heating Tertiary,57,207.24099999999999
HR03,Heating Tertiary,58,189.579
HR03,Heating Tertiary,59,176.015
HR03,Heating Tertiary,60,165.44799999999995
HR03,Heating Tertiary,61,159.589
HR03,Heating Tertiary,62,156.95
HR03,Heating Tertiary,63,155.769
HR03,Heating Tertiary,64,153.77100000000004
HR03,Heating Tertiary,65,153.005
HR03,Heating Tertiary,66,155.54399999999995
HR03,Heating Tertiary,67,165.05599999999995
HR03,Heating Tertiary,68,184.99599999999998
HR03,Heating Tertiary,69,214.981
HR03,Heating Tertiary,70,252.572
HR03,Heating Tertiary,71,291.379
HR03,Heating Tertiary,72,322.96
HR03,Heating Tertiary,73,459.236
HR03,Heating Tertiary,74,482.467
HR03,Heating Tertiary,75,494.485
HR03,Heating Tertiary,76,499.255
HR03,Heating Tertiary,77,490.73900000000003
HR03,Heating Tertiary,78,462.35
HR03,Heating Tertiary,79,417.2
HR03,Heating Tertiary,80,365.06800000000004
HR03,Heating Tertiary,81,318.06
HR03,Heating Tertiary,82,281.565
HR03,Heating Tertiary,83,256.30400000000003
HR03,Heating Tertiary,84,237.38099999999997
HR03,Heating Tertiary,85,224.572
HR03,Heating Tertiary,86,218.763
HR03,Heating Tertiary,87,218.942
HR03,Heating Tertiary,88,221.24400000000003
HR03,Heating Tertiary,89,222.005
HR03,Heating Tertiary,90,223.143
HR03,Heating Tertiary,91,228.305
HR03,Heating Tertiary,92,243.642
HR03,Heating Tertiary,93,273.802
HR03,Heating Tertiary,94,318.415
HR03,Heating Tertiary,95,370.971
HR03,Heating Tertiary,96,420.805
HR03,Heating Tertiary,97,301.829
HR03,Heating Tertiary,98,317.098
HR03,Heating Tertiary,99,324.996
