NUTS2_code,process,hour,load
HU23,Heating Tertiary,1,244.78400000000002
HU23,Heating Tertiary,2,251.23
HU23,Heating Tertiary,3,253.71900000000002
HU23,Heating Tertiary,4,249.685
HU23,Heating Tertiary,5,236.813
HU23,Heating Tertiary,6,215.894
HU23,Heating Tertiary,7,190.81599999999997
HU23,Heating Tertiary,8,167.00900000000001
HU23,Heating Tertiary,9,148.501
HU23,Heating Tertiary,10,135.792
HU23,Heating Tertiary,11,126.054
HU23,Heating Tertiary,12,118.40899999999999
HU23,Heating Tertiary,13,114.16
HU23,Heating Tertiary,14,112.23100000000001
HU23,Heating Tertiary,15,111.411
HU23,Heating Tertiary,16,109.96799999999999
HU23,Heating Tertiary,17,109.37799999999999
HU23,Heating Tertiary,18,111.09299999999999
HU23,Heating Tertiary,19,117.712
HU23,Heating Tertiary,20,131.78799999999998
HU23,Heating Tertiary,21,153.071
HU23,Heating Tertiary,22,179.887
HU23,Heating Tertiary,23,207.732
HU23,Heating Tertiary,24,230.515
HU23,Heating Tertiary,25,237.93200000000002
HU23,Heating Tertiary,26,244.50099999999998
HU23,Heating Tertiary,27,248.22099999999998
HU23,Heating Tertiary,28,245.283
HU23,Heating Tertiary,29,232.595
HU23,Heating Tertiary,30,211.497
HU23,Heating Tertiary,31,186.308
HU23,Heating Tertiary,32,161.835
HU23,Heating Tertiary,33,142.079
HU23,Heating Tertiary,34,127.969
HU23,Heating Tertiary,35,117.635
HU23,Heating Tertiary,36,110.23200000000001
HU23,Heating Tertiary,37,106.823
HU23,Heating Tertiary,38,107.12100000000001
HU23,Heating Tertiary,39,108.616
HU23,Heating Tertiary,40,109.12899999999999
HU23,Heating Tertiary,41,109.0
HU23,Heating Tertiary,42,110.15799999999999
HU23,Heating Tertiary,43,116.14399999999999
HU23,Heating Tertiary,44,130.697
HU23,Heating Tertiary,45,153.72799999999995
HU23,Heating Tertiary,46,181.99599999999998
HU23,Heating Tertiary,47,207.812
HU23,Heating Tertiary,48,226.96400000000003
HU23,Heating Tertiary,49,313.725
HU23,Heating Tertiary,50,321.986
HU23,Heating Tertiary,51,325.175
HU23,Heating Tertiary,52,320.006
HU23,Heating Tertiary,53,303.509
HU23,Heating Tertiary,54,276.698
HU23,Heating Tertiary,55,244.558
HU23,Heating Tertiary,56,214.045
HU23,Heating Tertiary,57,190.325
HU23,Heating Tertiary,58,174.03599999999997
HU23,Heating Tertiary,59,161.555
HU23,Heating Tertiary,60,151.75799999999995
HU23,Heating Tertiary,61,146.312
HU23,Heating Tertiary,62,143.84
HU23,Heating Tertiary,63,142.789
HU23,Heating Tertiary,64,140.939
HU23,Heating Tertiary,65,140.183
HU23,Heating Tertiary,66,142.381
HU23,Heating Tertiary,67,150.864
HU23,Heating Tertiary,68,168.905
HU23,Heating Tertiary,69,196.18099999999998
HU23,Heating Tertiary,70,230.55
HU23,Heating Tertiary,71,266.238
HU23,Heating Tertiary,72,295.437
HU23,Heating Tertiary,73,365.495
HU23,Heating Tertiary,74,384.26199999999994
HU23,Heating Tertiary,75,393.95599999999996
HU23,Heating Tertiary,76,397.969
HU23,Heating Tertiary,77,391.574
HU23,Heating Tertiary,78,369.31300000000016
HU23,Heating Tertiary,79,333.533
HU23,Heating Tertiary,80,291.914
HU23,Heating Tertiary,81,254.26
HU23,Heating Tertiary,82,224.926
HU23,Heating Tertiary,83,204.667
HU23,Heating Tertiary,84,189.47299999999998
HU23,Heating Tertiary,85,179.12900000000005
HU23,Heating Tertiary,86,174.36599999999999
HU23,Heating Tertiary,87,174.44099999999997
HU23,Heating Tertiary,88,176.31400000000005
HU23,Heating Tertiary,89,176.926
HU23,Heating Tertiary,90,177.78599999999997
HU23,Heating Tertiary,91,181.732
HU23,Heating Tertiary,92,193.675
HU23,Heating Tertiary,93,217.408
HU23,Heating Tertiary,94,252.757
HU23,Heating Tertiary,95,294.65
HU23,Heating Tertiary,96,334.55800000000005
HU23,Heating Tertiary,97,387.68800000000016
HU23,Heating Tertiary,98,407.593
HU23,Heating Tertiary,99,417.876
HU23,Heating Tertiary,100,422.13300000000004
HU23,Heating Tertiary,101,415.349
HU23,Heating Tertiary,102,391.736
HU23,Heating Tertiary,103,353.784
HU23,Heating Tertiary,104,309.639
HU23,Heating Tertiary,105,269.698
HU23,Heating Tertiary,106,238.583
HU23,Heating Tertiary,107,217.09400000000002
HU23,Heating Tertiary,108,200.97799999999998
HU23,Heating Tertiary,109,190.005
HU23,Heating Tertiary,110,184.953
HU23,Heating Tertiary,111,185.033
HU23,Heating Tertiary,112,187.019
HU23,Heating Tertiary,113,187.669
HU23,Heating Tertiary,114,188.581
HU23,Heating Tertiary,115,192.766
HU23,Heating Tertiary,116,205.43400000000003
HU23,Heating Tertiary,117,230.608
HU23,Heating Tertiary,118,268.10400000000004
HU23,Heating Tertiary,119,312.54
HU23,Heating Tertiary,120,354.87199999999996
HU23,Heating Tertiary,121,365.495
HU23,Heating Tertiary,122,384.26199999999994
HU23,Heating Tertiary,123,393.95599999999996
HU23,Heating Tertiary,124,397.969
HU23,Heating Tertiary,125,391.574
HU23,Heating Tertiary,126,369.31300000000016
HU23,Heating Tertiary,127,333.533
HU23,Heating Tertiary,128,291.914
HU23,Heating Tertiary,129,254.26
HU23,Heating Tertiary,130,224.926
HU23,Heating Tertiary,131,204.667
HU23,Heating Tertiary,132,189.47299999999998
HU23,Heating Tertiary,133,179.12900000000005
HU23,Heating Tertiary,134,174.36599999999999
HU23,Heating Tertiary,135,174.44099999999997
HU23,Heating Tertiary,136,176.31400000000005
HU23,Heating Tertiary,137,176.926
HU23,Heating Tertiary,138,177.78599999999997
HU23,Heating Tertiary,139,181.732
HU23,Heating Tertiary,140,193.675
HU23,Heating Tertiary,141,217.408
HU23,Heating Tertiary,142,252.757
HU23,Heating Tertiary,143,294.65
HU23,Heating Tertiary,144,334.55800000000005
HU23,Heating Tertiary,145,322.449
HU23,Heating Tertiary,146,339.005
HU23,Heating Tertiary,147,347.55699999999996
HU23,Heating Tertiary,148,351.098
HU23,Heating Tertiary,149,345.45599999999996
HU23,Heating Tertiary,150,325.817
HU23,Heating Tertiary,151,294.25
HU23,Heating Tertiary,152,257.534
HU23,Heating Tertiary,153,224.315
HU23,Heating Tertiary,154,198.435
HU23,Heating Tertiary,155,180.562
HU23,Heating Tertiary,156,167.158
HU23,Heating Tertiary,157,158.032
HU23,Heating Tertiary,158,153.83
HU23,Heating Tertiary,159,153.89600000000004
HU23,Heating Tertiary,160,155.548
HU23,Heating Tertiary,161,156.088
HU23,Heating Tertiary,162,156.847
HU23,Heating Tertiary,163,160.328
HU23,Heating Tertiary,164,170.864
HU23,Heating Tertiary,165,191.80200000000002
HU23,Heating Tertiary,166,222.988
HU23,Heating Tertiary,167,259.947
HU23,Heating Tertiary,168,295.155
HU23,Heating Tertiary,169,365.495
HU23,Heating Tertiary,170,384.26199999999994
HU23,Heating Tertiary,171,393.95599999999996
HU23,Heating Tertiary,172,397.969
HU23,Heating Tertiary,173,391.574
HU23,Heating Tertiary,174,369.31300000000016
HU23,Heating Tertiary,175,333.533
HU23,Heating Tertiary,176,291.914
HU23,Heating Tertiary,177,254.26
HU23,Heating Tertiary,178,224.926
HU23,Heating Tertiary,179,204.667
HU23,Heating Tertiary,180,189.47299999999998
HU23,Heating Tertiary,181,179.12900000000005
HU23,Heating Tertiary,182,174.36599999999999
HU23,Heating Tertiary,183,174.44099999999997
HU23,Heating Tertiary,184,176.31400000000005
HU23,Heating Tertiary,185,176.926
HU23,Heating Tertiary,186,177.78599999999997
HU23,Heating Tertiary,187,181.732
HU23,Heating Tertiary,188,193.675
HU23,Heating Tertiary,189,217.408
HU23,Heating Tertiary,190,252.757
HU23,Heating Tertiary,191,294.65
HU23,Heating Tertiary,192,334.55800000000005
HU23,Heating Tertiary,193,356.01300000000015
HU23,Heating Tertiary,194,365.841
HU23,Heating Tertiary,195,371.408
HU23,Heating Tertiary,196,367.01199999999994
HU23,Heating Tertiary,197,348.028
HU23,Heating Tertiary,198,316.457
HU23,Heating Tertiary,199,278.769
HU23,Heating Tertiary,200,242.149
HU23,Heating Tertiary,201,212.59
HU23,Heating Tertiary,202,191.476
HU23,Heating Tertiary,203,176.014
HU23,Heating Tertiary,204,164.937
HU23,Heating Tertiary,205,159.83700000000005
HU23,Heating Tertiary,206,160.283
HU23,Heating Tertiary,207,162.52
HU23,Heating Tertiary,208,163.28799999999995
HU23,Heating Tertiary,209,163.095
HU23,Heating Tertiary,210,164.828
HU23,Heating Tertiary,211,173.78400000000005
HU23,Heating Tertiary,212,195.55900000000003
HU23,Heating Tertiary,213,230.02
HU23,Heating Tertiary,214,272.317
HU23,Heating Tertiary,215,310.945
HU23,Heating Tertiary,216,339.601
HU23,Heating Tertiary,217,313.725
HU23,Heating Tertiary,218,321.986
HU23,Heating Tertiary,219,325.175
HU23,Heating Tertiary,220,320.006
HU23,Heating Tertiary,221,303.509
HU23,Heating Tertiary,222,276.698
HU23,Heating Tertiary,223,244.558
HU23,Heating Tertiary,224,214.045
HU23,Heating Tertiary,225,190.325
HU23,Heating Tertiary,226,174.03599999999997
HU23,Heating Tertiary,227,161.555
HU23,Heating Tertiary,228,151.75799999999995
HU23,Heating Tertiary,229,146.312
HU23,Heating Tertiary,230,143.84
HU23,Heating Tertiary,231,142.789
HU23,Heating Tertiary,232,140.939
HU23,Heating Tertiary,233,140.183
HU23,Heating Tertiary,234,142.381
HU23,Heating Tertiary,235,150.864
HU23,Heating Tertiary,236,168.905
HU23,Heating Tertiary,237,196.18099999999998
HU23,Heating Tertiary,238,230.55
HU23,Heating Tertiary,239,266.238
HU23,Heating Tertiary,240,295.437
HU23,Heating Tertiary,241,299.0540000000001
HU23,Heating Tertiary,242,314.409
HU23,Heating Tertiary,243,322.341
HU23,Heating Tertiary,244,325.625
HU23,Heating Tertiary,245,320.39099999999996
HU23,Heating Tertiary,246,302.178
HU23,Heating Tertiary,247,272.901
HU23,Heating Tertiary,248,238.84799999999998
HU23,Heating Tertiary,249,208.04
HU23,Heating Tertiary,250,184.03799999999998
HU23,Heating Tertiary,251,167.46200000000005
HU23,Heating Tertiary,252,155.03
HU23,Heating Tertiary,253,146.566
HU23,Heating Tertiary,254,142.66899999999995
HU23,Heating Tertiary,255,142.731
HU23,Heating Tertiary,256,144.263
HU23,Heating Tertiary,257,144.764
HU23,Heating Tertiary,258,145.467
HU23,Heating Tertiary,259,148.695
HU23,Heating Tertiary,260,158.467
HU23,Heating Tertiary,261,177.886
HU23,Heating Tertiary,262,206.81
HU23,Heating Tertiary,263,241.08700000000002
