NUTS2_code,process,hour,load
IE01,Heating Tertiary,1,336.288
IE01,Heating Tertiary,2,372.55300000000005
IE01,Heating Tertiary,3,395.048
IE01,Heating Tertiary,4,405.25
IE01,Heating Tertiary,5,408.936
IE01,Heating Tertiary,6,401.939
IE01,Heating Tertiary,7,380.695
IE01,Heating Tertiary,8,346.664
IE01,Heating Tertiary,9,306.244
IE01,Heating Tertiary,10,268.137
IE01,Heating Tertiary,11,238.66299999999998
IE01,Heating Tertiary,12,218.361
IE01,Heating Tertiary,13,202.752
IE01,Heating Tertiary,14,190.632
IE01,Heating Tertiary,15,183.921
IE01,Heating Tertiary,16,180.908
IE01,Heating Tertiary,17,179.53
IE01,Heating Tertiary,18,177.237
IE01,Heating Tertiary,19,176.38400000000001
IE01,Heating Tertiary,20,179.38
IE01,Heating Tertiary,21,190.46900000000002
IE01,Heating Tertiary,22,213.578
IE01,Heating Tertiary,23,248.24900000000002
IE01,Heating Tertiary,24,291.624
IE01,Heating Tertiary,25,336.224
IE01,Heating Tertiary,26,366.593
IE01,Heating Tertiary,27,383.991
IE01,Heating Tertiary,28,394.468
IE01,Heating Tertiary,29,400.147
IE01,Heating Tertiary,30,394.86
IE01,Heating Tertiary,31,373.88199999999995
IE01,Heating Tertiary,32,339.575
IE01,Heating Tertiary,33,298.94599999999997
IE01,Heating Tertiary,34,259.73
IE01,Heating Tertiary,35,228.22099999999998
IE01,Heating Tertiary,36,205.702
IE01,Heating Tertiary,37,189.18900000000002
IE01,Heating Tertiary,38,177.47299999999996
IE01,Heating Tertiary,39,172.21599999999995
IE01,Heating Tertiary,40,172.799
IE01,Heating Tertiary,41,175.15400000000002
IE01,Heating Tertiary,42,175.926
IE01,Heating Tertiary,43,175.74900000000005
IE01,Heating Tertiary,44,177.825
IE01,Heating Tertiary,45,187.949
IE01,Heating Tertiary,46,211.90599999999998
IE01,Heating Tertiary,47,249.44
IE01,Heating Tertiary,48,294.934
IE01,Heating Tertiary,49,317.039
IE01,Heating Tertiary,50,351.228
IE01,Heating Tertiary,51,372.436
IE01,Heating Tertiary,52,382.05300000000005
IE01,Heating Tertiary,53,385.528
IE01,Heating Tertiary,54,378.93199999999996
IE01,Heating Tertiary,55,358.903
IE01,Heating Tertiary,56,326.82099999999997
IE01,Heating Tertiary,57,288.714
IE01,Heating Tertiary,58,252.78900000000002
IE01,Heating Tertiary,59,225.002
IE01,Heating Tertiary,60,205.862
