NUTS2_code,process,hour,load
ITF4,Heating Tertiary,1,155.148
ITF4,Heating Tertiary,2,172.07299999999995
ITF4,Heating Tertiary,3,182.642
ITF4,Heating Tertiary,4,187.422
ITF4,Heating Tertiary,5,189.23
ITF4,Heating Tertiary,6,186.15
ITF4,Heating Tertiary,7,176.476
ITF4,Heating Tertiary,8,160.829
ITF4,Heating Tertiary,9,142.125
ITF4,Heating Tertiary,10,124.40700000000001
ITF4,Heating Tertiary,11,110.656
ITF4,Heating Tertiary,12,101.204
ITF4,Heating Tertiary,13,93.9533
ITF4,Heating Tertiary,14,88.2815
ITF4,Heating Tertiary,15,85.1324
ITF4,Heating Tertiary,16,83.7077
ITF4,Heating Tertiary,17,83.0878
ITF4,Heating Tertiary,18,82.0165
ITF4,Heating Tertiary,19,81.5907
ITF4,Heating Tertiary,20,82.9034
ITF4,Heating Tertiary,21,87.9016
ITF4,Heating Tertiary,22,98.4619
ITF4,Heating Tertiary,23,114.389
ITF4,Heating Tertiary,24,134.412
ITF4,Heating Tertiary,25,155.179
ITF4,Heating Tertiary,26,169.39
ITF4,Heating Tertiary,27,177.52900000000002
ITF4,Heating Tertiary,28,182.412
ITF4,Heating Tertiary,29,185.141
ITF4,Heating Tertiary,30,182.868
ITF4,Heating Tertiary,31,173.329
ITF4,Heating Tertiary,32,157.548
ITF4,Heating Tertiary,33,138.75799999999998
ITF4,Heating Tertiary,34,120.538
ITF4,Heating Tertiary,35,105.853
ITF4,Heating Tertiary,36,95.3615
ITF4,Heating Tertiary,37,87.6749
ITF4,Heating Tertiary,38,82.1852
ITF4,Heating Tertiary,39,79.6779
ITF4,Heating Tertiary,40,79.9151
ITF4,Heating Tertiary,41,81.0221
ITF4,Heating Tertiary,42,81.3967
ITF4,Heating Tertiary,43,81.3051
ITF4,Heating Tertiary,44,82.1994
ITF4,Heating Tertiary,45,86.7335
ITF4,Heating Tertiary,46,97.6605
ITF4,Heating Tertiary,47,114.899
ITF4,Heating Tertiary,48,135.972
ITF4,Heating Tertiary,49,242.18200000000002
ITF4,Heating Tertiary,50,268.601
ITF4,Heating Tertiary,51,285.1
ITF4,Heating Tertiary,52,292.562
ITF4,Heating Tertiary,53,295.383
ITF4,Heating Tertiary,54,290.575
ITF4,Heating Tertiary,55,275.475
ITF4,Heating Tertiary,56,251.05
ITF4,Heating Tertiary,57,221.854
ITF4,Heating Tertiary,58,194.19799999999998
ITF4,Heating Tertiary,59,172.731
ITF4,Heating Tertiary,60,157.977
ITF4,Heating Tertiary,61,146.659
ITF4,Heating Tertiary,62,137.805
ITF4,Heating Tertiary,63,132.889
ITF4,Heating Tertiary,64,130.666
ITF4,Heating Tertiary,65,129.69799999999998
ITF4,Heating Tertiary,66,128.026
ITF4,Heating Tertiary,67,127.361
ITF4,Heating Tertiary,68,129.41
ITF4,Heating Tertiary,69,137.21200000000002
