NUTS2_code,process,hour,load
ITG2,Heating Tertiary,1,249.34
ITG2,Heating Tertiary,2,276.541
ITG2,Heating Tertiary,3,293.526
ITG2,Heating Tertiary,4,301.20799999999997
ITG2,Heating Tertiary,5,304.115
ITG2,Heating Tertiary,6,299.164
ITG2,Heating Tertiary,7,283.618
ITG2,Heating Tertiary,8,258.469
ITG2,Heating Tertiary,9,228.41
ITG2,Heating Tertiary,10,199.937
ITG2,Heating Tertiary,11,177.83700000000005
ITG2,Heating Tertiary,12,162.64600000000004
ITG2,Heating Tertiary,13,150.993
ITG2,Heating Tertiary,14,141.879
ITG2,Heating Tertiary,15,136.817
ITG2,Heating Tertiary,16,134.528
ITG2,Heating Tertiary,17,133.532
ITG2,Heating Tertiary,18,131.81
ITG2,Heating Tertiary,19,131.125
ITG2,Heating Tertiary,20,133.235
ITG2,Heating Tertiary,21,141.268
ITG2,Heating Tertiary,22,158.239
ITG2,Heating Tertiary,23,183.83599999999998
ITG2,Heating Tertiary,24,216.015
ITG2,Heating Tertiary,25,249.391
ITG2,Heating Tertiary,26,272.22900000000004
ITG2,Heating Tertiary,27,285.309
ITG2,Heating Tertiary,28,293.157
ITG2,Heating Tertiary,29,297.543
ITG2,Heating Tertiary,30,293.89099999999996
ITG2,Heating Tertiary,31,278.56
ITG2,Heating Tertiary,32,253.19799999999998
ITG2,Heating Tertiary,33,223.0
ITG2,Heating Tertiary,34,193.718
ITG2,Heating Tertiary,35,170.118
ITG2,Heating Tertiary,36,153.257
ITG2,Heating Tertiary,37,140.904
ITG2,Heating Tertiary,38,132.08100000000002
ITG2,Heating Tertiary,39,128.05100000000002
ITG2,Heating Tertiary,40,128.433
ITG2,Heating Tertiary,41,130.21200000000002
ITG2,Heating Tertiary,42,130.814
ITG2,Heating Tertiary,43,130.666
ITG2,Heating Tertiary,44,132.10399999999998
ITG2,Heating Tertiary,45,139.391
ITG2,Heating Tertiary,46,156.952
ITG2,Heating Tertiary,47,184.65400000000002
ITG2,Heating Tertiary,48,218.521
ITG2,Heating Tertiary,49,249.34
ITG2,Heating Tertiary,50,276.541
ITG2,Heating Tertiary,51,293.526
ITG2,Heating Tertiary,52,301.20799999999997
ITG2,Heating Tertiary,53,304.115
ITG2,Heating Tertiary,54,299.164
ITG2,Heating Tertiary,55,283.618
ITG2,Heating Tertiary,56,258.469
ITG2,Heating Tertiary,57,228.41
ITG2,Heating Tertiary,58,199.937
ITG2,Heating Tertiary,59,177.83700000000005
ITG2,Heating Tertiary,60,162.64600000000004
ITG2,Heating Tertiary,61,150.993
ITG2,Heating Tertiary,62,141.879
ITG2,Heating Tertiary,63,136.817
ITG2,Heating Tertiary,64,134.528
ITG2,Heating Tertiary,65,133.532
ITG2,Heating Tertiary,66,131.81
ITG2,Heating Tertiary,67,131.125
ITG2,Heating Tertiary,68,133.235
ITG2,Heating Tertiary,69,141.268
ITG2,Heating Tertiary,70,158.239
ITG2,Heating Tertiary,71,183.83599999999998
ITG2,Heating Tertiary,72,216.015
ITG2,Heating Tertiary,73,311.191
ITG2,Heating Tertiary,74,339.806
ITG2,Heating Tertiary,75,357.13599999999997
ITG2,Heating Tertiary,76,366.094
ITG2,Heating Tertiary,77,369.73400000000004
ITG2,Heating Tertiary,78,363.62800000000004
ITG2,Heating Tertiary,79,342.793
ITG2,Heating Tertiary,80,309.46299999999997
ITG2,Heating Tertiary,81,270.822
ITG2,Heating Tertiary,82,235.917
ITG2,Heating Tertiary,83,208.766
ITG2,Heating Tertiary,84,189.99599999999998
ITG2,Heating Tertiary,85,175.926
ITG2,Heating Tertiary,86,166.372
ITG2,Heating Tertiary,87,162.003
ITG2,Heating Tertiary,88,162.101
ITG2,Heating Tertiary,89,163.82399999999996
ITG2,Heating Tertiary,90,164.391
ITG2,Heating Tertiary,91,165.209
ITG2,Heating Tertiary,92,168.947
ITG2,Heating Tertiary,93,180.16
ITG2,Heating Tertiary,94,202.33900000000003
ITG2,Heating Tertiary,95,235.27
ITG2,Heating Tertiary,96,274.191
ITG2,Heating Tertiary,97,236.72400000000002
ITG2,Heating Tertiary,98,258.492
ITG2,Heating Tertiary,99,271.675
ITG2,Heating Tertiary,100,278.491
ITG2,Heating Tertiary,101,281.259
ITG2,Heating Tertiary,102,276.615
ITG2,Heating Tertiary,103,260.765
ITG2,Heating Tertiary,104,235.40900000000002
ITG2,Heating Tertiary,105,206.017
ITG2,Heating Tertiary,106,179.463
ITG2,Heating Tertiary,107,158.81
ITG2,Heating Tertiary,108,144.531
ITG2,Heating Tertiary,109,133.828
