NUTS2_code,process,hour,load
ITH4,Heating Tertiary,1,212.987
ITH4,Heating Tertiary,2,236.22099999999998
ITH4,Heating Tertiary,3,250.73
ITH4,Heating Tertiary,4,257.29200000000003
ITH4,Heating Tertiary,5,259.774
ITH4,Heating Tertiary,6,255.545
ITH4,Heating Tertiary,7,242.266
ITH4,Heating Tertiary,8,220.785
ITH4,Heating Tertiary,9,195.108
ITH4,Heating Tertiary,10,170.78599999999997
ITH4,Heating Tertiary,11,151.908
ITH4,Heating Tertiary,12,138.93200000000002
ITH4,Heating Tertiary,13,128.97899999999998
ITH4,Heating Tertiary,14,121.19200000000001
ITH4,Heating Tertiary,15,116.869
ITH4,Heating Tertiary,16,114.913
ITH4,Heating Tertiary,17,114.06299999999999
ITH4,Heating Tertiary,18,112.59200000000001
ITH4,Heating Tertiary,19,112.008
ITH4,Heating Tertiary,20,113.809
ITH4,Heating Tertiary,21,120.671
ITH4,Heating Tertiary,22,135.168
ITH4,Heating Tertiary,23,157.033
ITH4,Heating Tertiary,24,184.52
ITH4,Heating Tertiary,25,213.02900000000002
ITH4,Heating Tertiary,26,232.53799999999998
ITH4,Heating Tertiary,27,243.71200000000002
ITH4,Heating Tertiary,28,250.415
ITH4,Heating Tertiary,29,254.16
ITH4,Heating Tertiary,30,251.042
ITH4,Heating Tertiary,31,237.945
ITH4,Heating Tertiary,32,216.282
ITH4,Heating Tertiary,33,190.486
ITH4,Heating Tertiary,34,165.47400000000005
ITH4,Heating Tertiary,35,145.314
ITH4,Heating Tertiary,36,130.911
ITH4,Heating Tertiary,37,120.36
ITH4,Heating Tertiary,38,112.824
ITH4,Heating Tertiary,39,109.381
ITH4,Heating Tertiary,40,109.70700000000001
ITH4,Heating Tertiary,41,111.227
ITH4,Heating Tertiary,42,111.741
ITH4,Heating Tertiary,43,111.615
ITH4,Heating Tertiary,44,112.84299999999999
ITH4,Heating Tertiary,45,119.06700000000001
ITH4,Heating Tertiary,46,134.06799999999998
ITH4,Heating Tertiary,47,157.733
ITH4,Heating Tertiary,48,186.66099999999997
ITH4,Heating Tertiary,49,298.933
ITH4,Heating Tertiary,50,331.5440000000001
ITH4,Heating Tertiary,51,351.908
ITH4,Heating Tertiary,52,361.11800000000005
ITH4,Heating Tertiary,53,364.602
ITH4,Heating Tertiary,54,358.666
ITH4,Heating Tertiary,55,340.029
ITH4,Heating Tertiary,56,309.878
ITH4,Heating Tertiary,57,273.841
ITH4,Heating Tertiary,58,239.704
ITH4,Heating Tertiary,59,213.208
ITH4,Heating Tertiary,60,194.99599999999998
ITH4,Heating Tertiary,61,181.02599999999998
ITH4,Heating Tertiary,62,170.09799999999996
ITH4,Heating Tertiary,63,164.03
ITH4,Heating Tertiary,64,161.285
ITH4,Heating Tertiary,65,160.091
ITH4,Heating Tertiary,66,158.026
ITH4,Heating Tertiary,67,157.20600000000005
ITH4,Heating Tertiary,68,159.735
ITH4,Heating Tertiary,69,169.36599999999999
ITH4,Heating Tertiary,70,189.713
ITH4,Heating Tertiary,71,220.40099999999998
ITH4,Heating Tertiary,72,258.97900000000004
ITH4,Heating Tertiary,73,398.375
ITH4,Heating Tertiary,74,435.00800000000004
ITH4,Heating Tertiary,75,457.194
ITH4,Heating Tertiary,76,468.662
ITH4,Heating Tertiary,77,473.32099999999997
ITH4,Heating Tertiary,78,465.504
ITH4,Heating Tertiary,79,438.83
ITH4,Heating Tertiary,80,396.162
ITH4,Heating Tertiary,81,346.69699999999995
ITH4,Heating Tertiary,82,302.012
ITH4,Heating Tertiary,83,267.254
ITH4,Heating Tertiary,84,243.225
ITH4,Heating Tertiary,85,225.21400000000003
ITH4,Heating Tertiary,86,212.983
ITH4,Heating Tertiary,87,207.389
ITH4,Heating Tertiary,88,207.515
ITH4,Heating Tertiary,89,209.722
ITH4,Heating Tertiary,90,210.447
ITH4,Heating Tertiary,91,211.495
ITH4,Heating Tertiary,92,216.27900000000002
ITH4,Heating Tertiary,93,230.635
ITH4,Heating Tertiary,94,259.027
ITH4,Heating Tertiary,95,301.184
ITH4,Heating Tertiary,96,351.009
ITH4,Heating Tertiary,97,353.866
ITH4,Heating Tertiary,98,386.406
ITH4,Heating Tertiary,99,406.11400000000003
ITH4,Heating Tertiary,100,416.301
ITH4,Heating Tertiary,101,420.44
ITH4,Heating Tertiary,102,413.496
