NUTS2_code,process,hour,load
ITI4,Heating Tertiary,1,255.079
ITI4,Heating Tertiary,2,282.905
ITI4,Heating Tertiary,3,300.283
ITI4,Heating Tertiary,4,308.14099999999996
ITI4,Heating Tertiary,5,311.1140000000001
ITI4,Heating Tertiary,6,306.048
ITI4,Heating Tertiary,7,290.145
ITI4,Heating Tertiary,8,264.41900000000004
ITI4,Heating Tertiary,9,233.667
ITI4,Heating Tertiary,10,204.53900000000002
ITI4,Heating Tertiary,11,181.93
ITI4,Heating Tertiary,12,166.39
ITI4,Heating Tertiary,13,154.469
ITI4,Heating Tertiary,14,145.144
ITI4,Heating Tertiary,15,139.966
ITI4,Heating Tertiary,16,137.624
ITI4,Heating Tertiary,17,136.60399999999998
ITI4,Heating Tertiary,18,134.844
ITI4,Heating Tertiary,19,134.144
ITI4,Heating Tertiary,20,136.303
ITI4,Heating Tertiary,21,144.52
ITI4,Heating Tertiary,22,161.882
ITI4,Heating Tertiary,23,188.06799999999998
ITI4,Heating Tertiary,24,220.987
ITI4,Heating Tertiary,25,255.13
ITI4,Heating Tertiary,26,278.495
ITI4,Heating Tertiary,27,291.876
ITI4,Heating Tertiary,28,299.905
ITI4,Heating Tertiary,29,304.39
ITI4,Heating Tertiary,30,300.655
ITI4,Heating Tertiary,31,284.97
ITI4,Heating Tertiary,32,259.026
ITI4,Heating Tertiary,33,228.132
ITI4,Heating Tertiary,34,198.17700000000002
ITI4,Heating Tertiary,35,174.033
ITI4,Heating Tertiary,36,156.784
ITI4,Heating Tertiary,37,144.14700000000005
ITI4,Heating Tertiary,38,135.121
ITI4,Heating Tertiary,39,130.999
ITI4,Heating Tertiary,40,131.389
ITI4,Heating Tertiary,41,133.209
ITI4,Heating Tertiary,42,133.825
ITI4,Heating Tertiary,43,133.674
ITI4,Heating Tertiary,44,135.144
ITI4,Heating Tertiary,45,142.599
ITI4,Heating Tertiary,46,160.564
ITI4,Heating Tertiary,47,188.905
ITI4,Heating Tertiary,48,223.551
ITI4,Heating Tertiary,49,290.161
ITI4,Heating Tertiary,50,321.816
ITI4,Heating Tertiary,51,341.582
ITI4,Heating Tertiary,52,350.52099999999996
ITI4,Heating Tertiary,53,353.904
ITI4,Heating Tertiary,54,348.142
ITI4,Heating Tertiary,55,330.051
ITI4,Heating Tertiary,56,300.786
ITI4,Heating Tertiary,57,265.806
ITI4,Heating Tertiary,58,232.67
ITI4,Heating Tertiary,59,206.952
ITI4,Heating Tertiary,60,189.274
ITI4,Heating Tertiary,61,175.71400000000003
ITI4,Heating Tertiary,62,165.107
ITI4,Heating Tertiary,63,159.217
ITI4,Heating Tertiary,64,156.553
ITI4,Heating Tertiary,65,155.392
ITI4,Heating Tertiary,66,153.389
ITI4,Heating Tertiary,67,152.593
ITI4,Heating Tertiary,68,155.049
ITI4,Heating Tertiary,69,164.396
ITI4,Heating Tertiary,70,184.146
ITI4,Heating Tertiary,71,213.933
ITI4,Heating Tertiary,72,251.38099999999997
ITI4,Heating Tertiary,73,405.702
ITI4,Heating Tertiary,74,443.009
ITI4,Heating Tertiary,75,465.603
ITI4,Heating Tertiary,76,477.283
ITI4,Heating Tertiary,77,482.028
ITI4,Heating Tertiary,78,474.06699999999995
ITI4,Heating Tertiary,79,446.903
ITI4,Heating Tertiary,80,403.45
ITI4,Heating Tertiary,81,353.074
ITI4,Heating Tertiary,82,307.567
ITI4,Heating Tertiary,83,272.171
ITI4,Heating Tertiary,84,247.7
ITI4,Heating Tertiary,85,229.357
ITI4,Heating Tertiary,86,216.9
ITI4,Heating Tertiary,87,211.204
ITI4,Heating Tertiary,88,211.333
ITI4,Heating Tertiary,89,213.58
ITI4,Heating Tertiary,90,214.31799999999998
ITI4,Heating Tertiary,91,215.386
ITI4,Heating Tertiary,92,220.25799999999998
ITI4,Heating Tertiary,93,234.878
ITI4,Heating Tertiary,94,263.791
ITI4,Heating Tertiary,95,306.724
ITI4,Heating Tertiary,96,357.466
ITI4,Heating Tertiary,97,242.173
ITI4,Heating Tertiary,98,264.441
ITI4,Heating Tertiary,99,277.928
ITI4,Heating Tertiary,100,284.901
ITI4,Heating Tertiary,101,287.733
ITI4,Heating Tertiary,102,282.98
ITI4,Heating Tertiary,103,266.765
ITI4,Heating Tertiary,104,240.827
ITI4,Heating Tertiary,105,210.757
ITI4,Heating Tertiary,106,183.59400000000002
ITI4,Heating Tertiary,107,162.464
ITI4,Heating Tertiary,108,147.858
ITI4,Heating Tertiary,109,136.908
ITI4,Heating Tertiary,110,129.47299999999998
ITI4,Heating Tertiary,111,126.072
ITI4,Heating Tertiary,112,126.149
ITI4,Heating Tertiary,113,127.49
ITI4,Heating Tertiary,114,127.931
ITI4,Heating Tertiary,115,128.56799999999998
ITI4,Heating Tertiary,116,131.476
ITI4,Heating Tertiary,117,140.203
ITI4,Heating Tertiary,118,157.46200000000005
ITI4,Heating Tertiary,119,183.09
ITI4,Heating Tertiary,120,213.38
ITI4,Heating Tertiary,121,220.727
ITI4,Heating Tertiary,122,244.80700000000002
ITI4,Heating Tertiary,123,259.843
ITI4,Heating Tertiary,124,266.644
ITI4,Heating Tertiary,125,269.217
ITI4,Heating Tertiary,126,264.834
ITI4,Heating Tertiary,127,251.072
ITI4,Heating Tertiary,128,228.80900000000003
ITI4,Heating Tertiary,129,202.199
ITI4,Heating Tertiary,130,176.993
ITI4,Heating Tertiary,131,157.43
ITI4,Heating Tertiary,132,143.982
ITI4,Heating Tertiary,133,133.666
ITI4,Heating Tertiary,134,125.59700000000001
ITI4,Heating Tertiary,135,121.117
ITI4,Heating Tertiary,136,119.09
ITI4,Heating Tertiary,137,118.208
ITI4,Heating Tertiary,138,116.684
ITI4,Heating Tertiary,139,116.07799999999999
ITI4,Heating Tertiary,140,117.946
ITI4,Heating Tertiary,141,125.057
ITI4,Heating Tertiary,142,140.08100000000002
ITI4,Heating Tertiary,143,162.74
ITI4,Heating Tertiary,144,191.226
ITI4,Heating Tertiary,145,209.55900000000003
ITI4,Heating Tertiary,146,228.829
ITI4,Heating Tertiary,147,240.5
ITI4,Heating Tertiary,148,246.533
ITI4,Heating Tertiary,149,248.983
ITI4,Heating Tertiary,150,244.872
ITI4,Heating Tertiary,151,230.84099999999998
ITI4,Heating Tertiary,152,208.395
ITI4,Heating Tertiary,153,182.37599999999998
ITI4,Heating Tertiary,154,158.869
ITI4,Heating Tertiary,155,140.586
ITI4,Heating Tertiary,156,127.945
ITI4,Heating Tertiary,157,118.47
ITI4,Heating Tertiary,158,112.037
ITI4,Heating Tertiary,159,109.094
ITI4,Heating Tertiary,160,109.16
ITI4,Heating Tertiary,161,110.321
ITI4,Heating Tertiary,162,110.70299999999999
ITI4,Heating Tertiary,163,111.25399999999999
ITI4,Heating Tertiary,164,113.77
ITI4,Heating Tertiary,165,121.322
ITI4,Heating Tertiary,166,136.25799999999998
ITI4,Heating Tertiary,167,158.433
ITI4,Heating Tertiary,168,184.643
ITI4,Heating Tertiary,169,242.173
ITI4,Heating Tertiary,170,264.441
ITI4,Heating Tertiary,171,277.928
ITI4,Heating Tertiary,172,284.901
ITI4,Heating Tertiary,173,287.733
ITI4,Heating Tertiary,174,282.98
ITI4,Heating Tertiary,175,266.765
ITI4,Heating Tertiary,176,240.827
ITI4,Heating Tertiary,177,210.757
ITI4,Heating Tertiary,178,183.59400000000002
ITI4,Heating Tertiary,179,162.464
ITI4,Heating Tertiary,180,147.858
ITI4,Heating Tertiary,181,136.908
ITI4,Heating Tertiary,182,129.47299999999998
ITI4,Heating Tertiary,183,126.072
ITI4,Heating Tertiary,184,126.149
ITI4,Heating Tertiary,185,127.49
ITI4,Heating Tertiary,186,127.931
ITI4,Heating Tertiary,187,128.56799999999998
ITI4,Heating Tertiary,188,131.476
ITI4,Heating Tertiary,189,140.203
ITI4,Heating Tertiary,190,157.46200000000005
ITI4,Heating Tertiary,191,183.09
ITI4,Heating Tertiary,192,213.38
ITI4,Heating Tertiary,193,220.77200000000002
ITI4,Heating Tertiary,194,240.99
ITI4,Heating Tertiary,195,252.56900000000002
ITI4,Heating Tertiary,196,259.51599999999996
ITI4,Heating Tertiary,197,263.399
ITI4,Heating Tertiary,198,260.166
ITI4,Heating Tertiary,199,246.59400000000002
ITI4,Heating Tertiary,200,224.143
ITI4,Heating Tertiary,201,197.41
ITI4,Heating Tertiary,202,171.488
ITI4,Heating Tertiary,203,150.596
ITI4,Heating Tertiary,204,135.67
ITI4,Heating Tertiary,205,124.734
ITI4,Heating Tertiary,206,116.92399999999999
ITI4,Heating Tertiary,207,113.35700000000001
ITI4,Heating Tertiary,208,113.695
ITI4,Heating Tertiary,209,115.26899999999999
ITI4,Heating Tertiary,210,115.802
ITI4,Heating Tertiary,211,115.67200000000001
ITI4,Heating Tertiary,212,116.944
ITI4,Heating Tertiary,213,123.395
ITI4,Heating Tertiary,214,138.941
ITI4,Heating Tertiary,215,163.465
ITI4,Heating Tertiary,216,193.445
ITI4,Heating Tertiary,217,326.218
ITI4,Heating Tertiary,218,361.806
ITI4,Heating Tertiary,219,384.028
ITI4,Heating Tertiary,220,394.079
ITI4,Heating Tertiary,221,397.88199999999995
ITI4,Heating Tertiary,222,391.403
ITI4,Heating Tertiary,223,371.065
ITI4,Heating Tertiary,224,338.163
ITI4,Heating Tertiary,225,298.836
ITI4,Heating Tertiary,226,261.58299999999997
ITI4,Heating Tertiary,227,232.668
ITI4,Heating Tertiary,228,212.795
ITI4,Heating Tertiary,229,197.549
ITI4,Heating Tertiary,230,185.623
ITI4,Heating Tertiary,231,179.002
ITI4,Heating Tertiary,232,176.007
ITI4,Heating Tertiary,233,174.703
ITI4,Heating Tertiary,234,172.45
ITI4,Heating Tertiary,235,171.55599999999995
ITI4,Heating Tertiary,236,174.31599999999997
ITI4,Heating Tertiary,237,184.825
ITI4,Heating Tertiary,238,207.02900000000002
ITI4,Heating Tertiary,239,240.518
ITI4,Heating Tertiary,240,282.619
ITI4,Heating Tertiary,241,372.85699999999997
ITI4,Heating Tertiary,242,407.144
ITI4,Heating Tertiary,243,427.91
ITI4,Heating Tertiary,244,438.64300000000003
ITI4,Heating Tertiary,245,443.00300000000004
ITI4,Heating Tertiary,246,435.68800000000016
ITI4,Heating Tertiary,247,410.723
ITI4,Heating Tertiary,248,370.788
ITI4,Heating Tertiary,249,324.491
ITI4,Heating Tertiary,250,282.6670000000001
ITI4,Heating Tertiary,251,250.136
ITI4,Heating Tertiary,252,227.646
