NUTS2_code,process,hour,load
LU00,Heating Tertiary,1,327.124
LU00,Heating Tertiary,2,348.77
LU00,Heating Tertiary,3,358.44800000000015
LU00,Heating Tertiary,4,362.806
LU00,Heating Tertiary,5,358.26
LU00,Heating Tertiary,6,341.08099999999996
LU00,Heating Tertiary,7,311.938
LU00,Heating Tertiary,8,276.08099999999996
LU00,Heating Tertiary,9,241.38299999999998
LU00,Heating Tertiary,10,214.043
LU00,Heating Tertiary,11,195.419
LU00,Heating Tertiary,12,181.28
LU00,Heating Tertiary,13,169.854
LU00,Heating Tertiary,14,163.439
LU00,Heating Tertiary,15,160.445
LU00,Heating Tertiary,16,159.408
LU00,Heating Tertiary,17,157.266
LU00,Heating Tertiary,18,156.181
LU00,Heating Tertiary,19,158.06
LU00,Heating Tertiary,20,166.49200000000005
LU00,Heating Tertiary,21,185.581
LU00,Heating Tertiary,22,215.109
LU00,Heating Tertiary,23,253.075
LU00,Heating Tertiary,24,293.426
LU00,Heating Tertiary,25,322.632
LU00,Heating Tertiary,26,339.00699999999995
LU00,Heating Tertiary,27,348.667
LU00,Heating Tertiary,28,354.769
LU00,Heating Tertiary,29,351.92699999999996
LU00,Heating Tertiary,30,335.087
LU00,Heating Tertiary,31,305.653
LU00,Heating Tertiary,32,269.711
LU00,Heating Tertiary,33,234.148
LU00,Heating Tertiary,34,205.082
LU00,Heating Tertiary,35,184.354
LU00,Heating Tertiary,36,169.225
LU00,Heating Tertiary,37,158.109
LU00,Heating Tertiary,38,152.653
LU00,Heating Tertiary,39,152.826
LU00,Heating Tertiary,40,155.096
LU00,Heating Tertiary,41,155.966
LU00,Heating Tertiary,42,155.705
LU00,Heating Tertiary,43,156.844
LU00,Heating Tertiary,44,164.23
LU00,Heating Tertiary,45,183.805
LU00,Heating Tertiary,46,215.72400000000002
LU00,Heating Tertiary,47,256.309
LU00,Heating Tertiary,48,294.015
LU00,Heating Tertiary,49,369.24199999999996
LU00,Heating Tertiary,50,393.67400000000004
LU00,Heating Tertiary,51,404.598
LU00,Heating Tertiary,52,409.517
LU00,Heating Tertiary,53,404.385
LU00,Heating Tertiary,54,384.994
LU00,Heating Tertiary,55,352.1
LU00,Heating Tertiary,56,311.626
LU00,Heating Tertiary,57,272.461
LU00,Heating Tertiary,58,241.6
LU00,Heating Tertiary,59,220.579
LU00,Heating Tertiary,60,204.62
LU00,Heating Tertiary,61,191.722
LU00,Heating Tertiary,62,184.481
LU00,Heating Tertiary,63,181.10299999999998
LU00,Heating Tertiary,64,179.93099999999995
LU00,Heating Tertiary,65,177.514
LU00,Heating Tertiary,66,176.28900000000004
LU00,Heating Tertiary,67,178.41
LU00,Heating Tertiary,68,187.92700000000002
LU00,Heating Tertiary,69,209.47400000000002
LU00,Heating Tertiary,70,242.804
LU00,Heating Tertiary,71,285.658
LU00,Heating Tertiary,72,331.204
LU00,Heating Tertiary,73,324.8
