NUTS2_code,process,hour,load
NL23,Heating Tertiary,1,367.26199999999994
NL23,Heating Tertiary,2,390.48800000000006
NL23,Heating Tertiary,3,400.94599999999997
NL23,Heating Tertiary,4,405.20099999999996
NL23,Heating Tertiary,5,399.189
NL23,Heating Tertiary,6,379.064
NL23,Heating Tertiary,7,345.92800000000005
NL23,Heating Tertiary,8,305.878
NL23,Heating Tertiary,9,267.626
NL23,Heating Tertiary,10,237.76
NL23,Heating Tertiary,11,217.304
NL23,Heating Tertiary,12,201.676
NL23,Heating Tertiary,13,189.294
NL23,Heating Tertiary,14,182.388
NL23,Heating Tertiary,15,179.225
NL23,Heating Tertiary,16,177.96200000000005
NL23,Heating Tertiary,17,175.63099999999997
NL23,Heating Tertiary,18,174.60299999999995
NL23,Heating Tertiary,19,177.139
NL23,Heating Tertiary,20,187.347
NL23,Heating Tertiary,21,209.46099999999998
NL23,Heating Tertiary,22,243.132
NL23,Heating Tertiary,23,285.824
NL23,Heating Tertiary,24,330.483
NL23,Heating Tertiary,25,361.798
NL23,Heating Tertiary,26,379.55699999999996
NL23,Heating Tertiary,27,390.142
NL23,Heating Tertiary,28,396.35900000000004
NL23,Heating Tertiary,29,392.14599999999996
NL23,Heating Tertiary,30,372.342
NL23,Heating Tertiary,31,338.905
NL23,Heating Tertiary,32,298.70599999999996
NL23,Heating Tertiary,33,259.42
NL23,Heating Tertiary,34,227.582
NL23,Heating Tertiary,35,204.85299999999998
NL23,Heating Tertiary,36,188.225
NL23,Heating Tertiary,37,176.21599999999995
NL23,Heating Tertiary,38,170.567
NL23,Heating Tertiary,39,170.954
NL23,Heating Tertiary,40,173.388
NL23,Heating Tertiary,41,174.255
NL23,Heating Tertiary,42,174.02200000000005
NL23,Heating Tertiary,43,175.68900000000005
NL23,Heating Tertiary,44,184.83599999999998
NL23,Heating Tertiary,45,207.642
NL23,Heating Tertiary,46,244.067
NL23,Heating Tertiary,47,289.269
NL23,Heating Tertiary,48,330.777
NL23,Heating Tertiary,49,367.26199999999994
NL23,Heating Tertiary,50,390.48800000000006
NL23,Heating Tertiary,51,400.94599999999997
NL23,Heating Tertiary,52,405.20099999999996
NL23,Heating Tertiary,53,399.189
NL23,Heating Tertiary,54,379.064
NL23,Heating Tertiary,55,345.92800000000005
NL23,Heating Tertiary,56,305.878
NL23,Heating Tertiary,57,267.626
NL23,Heating Tertiary,58,237.76
NL23,Heating Tertiary,59,217.304
NL23,Heating Tertiary,60,201.676
NL23,Heating Tertiary,61,189.294
NL23,Heating Tertiary,62,182.388
NL23,Heating Tertiary,63,179.225
NL23,Heating Tertiary,64,177.96200000000005
NL23,Heating Tertiary,65,175.63099999999997
NL23,Heating Tertiary,66,174.60299999999995
NL23,Heating Tertiary,67,177.139
NL23,Heating Tertiary,68,187.347
NL23,Heating Tertiary,69,209.46099999999998
NL23,Heating Tertiary,70,243.132
NL23,Heating Tertiary,71,285.824
NL23,Heating Tertiary,72,330.483
NL23,Heating Tertiary,73,434.79699999999997
NL23,Heating Tertiary,74,457.535
NL23,Heating Tertiary,75,469.26
NL23,Heating Tertiary,76,474.35699999999997
NL23,Heating Tertiary,77,467.319
NL23,Heating Tertiary,78,441.335
