NUTS2_code,process,hour,load
SE33,Heating Tertiary,1,318.145
SE33,Heating Tertiary,2,339.8540000000001
SE33,Heating Tertiary,3,349.51599999999996
SE33,Heating Tertiary,4,354.144
SE33,Heating Tertiary,5,350.277
SE33,Heating Tertiary,6,334.08099999999996
SE33,Heating Tertiary,7,305.997
SE33,Heating Tertiary,8,270.996
SE33,Heating Tertiary,9,236.821
SE33,Heating Tertiary,10,209.72299999999998
SE33,Heating Tertiary,11,191.335
SE33,Heating Tertiary,12,177.433
SE33,Heating Tertiary,13,166.049
SE33,Heating Tertiary,14,159.628
SE33,Heating Tertiary,15,156.597
SE33,Heating Tertiary,16,155.64700000000005
SE33,Heating Tertiary,17,153.519
SE33,Heating Tertiary,18,152.347
SE33,Heating Tertiary,19,153.914
SE33,Heating Tertiary,20,161.661
SE33,Heating Tertiary,21,179.81
SE33,Heating Tertiary,22,208.209
SE33,Heating Tertiary,23,245.09099999999998
SE33,Heating Tertiary,24,284.728
SE33,Heating Tertiary,25,314.034
SE33,Heating Tertiary,26,330.341
SE33,Heating Tertiary,27,339.89599999999996
SE33,Heating Tertiary,28,346.217
SE33,Heating Tertiary,29,344.079
SE33,Heating Tertiary,30,328.2480000000001
SE33,Heating Tertiary,31,299.863
SE33,Heating Tertiary,32,264.814
SE33,Heating Tertiary,33,229.835
SE33,Heating Tertiary,34,201.081
SE33,Heating Tertiary,35,180.59099999999998
SE33,Heating Tertiary,36,165.65900000000005
SE33,Heating Tertiary,37,154.559
SE33,Heating Tertiary,38,148.96200000000005
SE33,Heating Tertiary,39,149.012
SE33,Heating Tertiary,40,151.29
SE33,Heating Tertiary,41,152.204
SE33,Heating Tertiary,42,151.91299999999995
SE33,Heating Tertiary,43,152.783
SE33,Heating Tertiary,44,159.445
SE33,Heating Tertiary,45,177.976
SE33,Heating Tertiary,46,208.658
SE33,Heating Tertiary,47,248.351
SE33,Heating Tertiary,48,285.526
SE33,Heating Tertiary,49,348.235
SE33,Heating Tertiary,50,371.996
SE33,Heating Tertiary,51,382.57199999999995
SE33,Heating Tertiary,52,387.63699999999994
SE33,Heating Tertiary,53,383.403
SE33,Heating Tertiary,54,365.67800000000005
SE33,Heating Tertiary,55,334.935
SE33,Heating Tertiary,56,296.624
SE33,Heating Tertiary,57,259.218
SE33,Heating Tertiary,58,229.55700000000002
SE33,Heating Tertiary,59,209.43
SE33,Heating Tertiary,60,194.213
SE33,Heating Tertiary,61,181.752
SE33,Heating Tertiary,62,174.725
SE33,Heating Tertiary,63,171.40599999999995
SE33,Heating Tertiary,64,170.36599999999999
SE33,Heating Tertiary,65,168.03799999999995
SE33,Heating Tertiary,66,166.755
SE33,Heating Tertiary,67,168.47
SE33,Heating Tertiary,68,176.95
SE33,Heating Tertiary,69,196.81400000000002
SE33,Heating Tertiary,70,227.9
SE33,Heating Tertiary,71,268.27
SE33,Heating Tertiary,72,311.656
SE33,Heating Tertiary,73,311.82
SE33,Heating Tertiary,74,329.231
SE33,Heating Tertiary,75,338.154
SE33,Heating Tertiary,76,342.67699999999996
SE33,Heating Tertiary,77,339.147
SE33,Heating Tertiary,78,321.841
SE33,Heating Tertiary,79,292.091
SE33,Heating Tertiary,80,255.942
SE33,Heating Tertiary,81,222.601
SE33,Heating Tertiary,82,196.114
SE33,Heating Tertiary,83,178.05
SE33,Heating Tertiary,84,164.415
SE33,Heating Tertiary,85,154.827
SE33,Heating Tertiary,86,150.063
SE33,Heating Tertiary,87,149.786
SE33,Heating Tertiary,88,151.588
SE33,Heating Tertiary,89,152.14600000000004
SE33,Heating Tertiary,90,152.64700000000005
SE33,Heating Tertiary,91,155.191
SE33,Heating Tertiary,92,164.047
SE33,Heating Tertiary,93,182.928
SE33,Heating Tertiary,94,212.28900000000002
SE33,Heating Tertiary,95,248.356
SE33,Heating Tertiary,96,283.65
SE33,Heating Tertiary,97,326.1670000000001
SE33,Heating Tertiary,98,344.381
SE33,Heating Tertiary,99,353.716
