NUTS2_code,process,hour,load
SI03,Heating Tertiary,1,257.611
SI03,Heating Tertiary,2,264.612
SI03,Heating Tertiary,3,267.585
SI03,Heating Tertiary,4,263.867
SI03,Heating Tertiary,5,250.83
SI03,Heating Tertiary,6,229.105
SI03,Heating Tertiary,7,202.658
SI03,Heating Tertiary,8,177.263
SI03,Heating Tertiary,9,157.359
SI03,Heating Tertiary,10,143.759
SI03,Heating Tertiary,11,133.394
SI03,Heating Tertiary,12,125.115
SI03,Heating Tertiary,13,120.485
SI03,Heating Tertiary,14,118.348
SI03,Heating Tertiary,15,117.542
SI03,Heating Tertiary,16,115.986
SI03,Heating Tertiary,17,115.258
SI03,Heating Tertiary,18,116.815
SI03,Heating Tertiary,19,123.34299999999999
SI03,Heating Tertiary,20,137.733
SI03,Heating Tertiary,21,159.782
SI03,Heating Tertiary,22,187.89700000000002
SI03,Heating Tertiary,23,217.498
SI03,Heating Tertiary,24,242.017
SI03,Heating Tertiary,25,250.399
SI03,Heating Tertiary,26,257.444
SI03,Heating Tertiary,27,261.71
SI03,Heating Tertiary,28,259.20799999999997
SI03,Heating Tertiary,29,246.398
SI03,Heating Tertiary,30,224.468
SI03,Heating Tertiary,31,197.93599999999998
SI03,Heating Tertiary,32,171.877
SI03,Heating Tertiary,33,150.683
SI03,Heating Tertiary,34,135.561
SI03,Heating Tertiary,35,124.508
SI03,Heating Tertiary,36,116.46799999999999
SI03,Heating Tertiary,37,112.618
SI03,Heating Tertiary,38,112.821
SI03,Heating Tertiary,39,114.456
SI03,Heating Tertiary,40,115.057
SI03,Heating Tertiary,41,114.887
SI03,Heating Tertiary,42,115.882
SI03,Heating Tertiary,43,121.681
SI03,Heating Tertiary,44,136.487
SI03,Heating Tertiary,45,160.333
SI03,Heating Tertiary,46,190.218
SI03,Heating Tertiary,47,217.791
SI03,Heating Tertiary,48,238.52900000000002
SI03,Heating Tertiary,49,326.001
SI03,Heating Tertiary,50,334.8590000000001
SI03,Heating Tertiary,51,338.624
SI03,Heating Tertiary,52,333.917
SI03,Heating Tertiary,53,317.4190000000001
SI03,Heating Tertiary,54,289.927
SI03,Heating Tertiary,55,256.459
SI03,Heating Tertiary,56,224.322
SI03,Heating Tertiary,57,199.13400000000001
SI03,Heating Tertiary,58,181.923
SI03,Heating Tertiary,59,168.808
SI03,Heating Tertiary,60,158.33
SI03,Heating Tertiary,61,152.471
SI03,Heating Tertiary,62,149.766
SI03,Heating Tertiary,63,148.747
SI03,Heating Tertiary,64,146.778
SI03,Heating Tertiary,65,145.856
SI03,Heating Tertiary,66,147.827
SI03,Heating Tertiary,67,156.088
