NUTS2_code,process,hour,load
SK04,Heating Tertiary,1,244.713
SK04,Heating Tertiary,2,251.236
SK04,Heating Tertiary,3,253.854
SK04,Heating Tertiary,4,250.014
SK04,Heating Tertiary,5,237.332
SK04,Heating Tertiary,6,216.52599999999998
SK04,Heating Tertiary,7,191.435
SK04,Heating Tertiary,8,167.51
SK04,Heating Tertiary,9,148.852
SK04,Heating Tertiary,10,136.064
SK04,Heating Tertiary,11,126.286
SK04,Heating Tertiary,12,118.559
SK04,Heating Tertiary,13,114.25299999999999
SK04,Heating Tertiary,14,112.285
SK04,Heating Tertiary,15,111.486
SK04,Heating Tertiary,16,110.03
SK04,Heating Tertiary,17,109.40100000000001
SK04,Heating Tertiary,18,111.024
SK04,Heating Tertiary,19,117.48100000000001
SK04,Heating Tertiary,20,131.398
SK04,Heating Tertiary,21,152.547
SK04,Heating Tertiary,22,179.317
SK04,Heating Tertiary,23,207.263
SK04,Heating Tertiary,24,230.237
SK04,Heating Tertiary,25,237.863
SK04,Heating Tertiary,26,244.47799999999998
SK04,Heating Tertiary,27,248.325
SK04,Heating Tertiary,28,245.604
SK04,Heating Tertiary,29,233.11900000000003
SK04,Heating Tertiary,30,212.12599999999998
SK04,Heating Tertiary,31,186.937
SK04,Heating Tertiary,32,162.359
SK04,Heating Tertiary,33,142.46200000000005
SK04,Heating Tertiary,34,128.256
SK04,Heating Tertiary,35,117.86
SK04,Heating Tertiary,36,110.368
SK04,Heating Tertiary,37,106.86399999999999
SK04,Heating Tertiary,38,107.12200000000001
SK04,Heating Tertiary,39,108.639
SK04,Heating Tertiary,40,109.17399999999999
SK04,Heating Tertiary,41,109.03299999999999
SK04,Heating Tertiary,42,110.109
SK04,Heating Tertiary,43,115.90899999999999
SK04,Heating Tertiary,44,130.27200000000002
SK04,Heating Tertiary,45,153.153
SK04,Heating Tertiary,46,181.46200000000002
SK04,Heating Tertiary,47,207.419
SK04,Heating Tertiary,48,226.778
SK04,Heating Tertiary,49,305.121
SK04,Heating Tertiary,50,313.254
SK04,Heating Tertiary,51,316.519
SK04,Heating Tertiary,52,311.732
SK04,Heating Tertiary,53,295.92
SK04,Heating Tertiary,54,269.976
SK04,Heating Tertiary,55,238.692
SK04,Heating Tertiary,56,208.861
SK04,Heating Tertiary,57,185.597
SK04,Heating Tertiary,58,169.65200000000004
SK04,Heating Tertiary,59,157.46
SK04,Heating Tertiary,60,147.825
SK04,Heating Tertiary,61,142.45600000000005
SK04,Heating Tertiary,62,140.003
SK04,Heating Tertiary,63,139.006
SK04,Heating Tertiary,64,137.191
SK04,Heating Tertiary,65,136.407
SK04,Heating Tertiary,66,138.431
SK04,Heating Tertiary,67,146.482
SK04,Heating Tertiary,68,163.834
SK04,Heating Tertiary,69,190.204
SK04,Heating Tertiary,70,223.582
SK04,Heating Tertiary,71,258.426
SK04,Heating Tertiary,72,287.072
SK04,Heating Tertiary,73,361.82599999999996
SK04,Heating Tertiary,74,380.653
SK04,Heating Tertiary,75,390.369
SK04,Heating Tertiary,76,394.535
SK04,Heating Tertiary,77,388.55
SK04,Heating Tertiary,78,366.81300000000016
SK04,Heating Tertiary,79,331.531
SK04,Heating Tertiary,80,290.215
SK04,Heating Tertiary,81,252.72099999999998
SK04,Heating Tertiary,82,223.421
SK04,Heating Tertiary,83,203.226
SK04,Heating Tertiary,84,188.065
SK04,Heating Tertiary,85,177.688
SK04,Heating Tertiary,86,172.84799999999996
SK04,Heating Tertiary,87,172.862
SK04,Heating Tertiary,88,174.752
SK04,Heating Tertiary,89,175.365
SK04,Heating Tertiary,90,176.175
SK04,Heating Tertiary,91,179.93400000000003
SK04,Heating Tertiary,92,191.519
SK04,Heating Tertiary,93,214.77
SK04,Heating Tertiary,94,249.622
SK04,Heating Tertiary,95,291.153
SK04,Heating Tertiary,96,330.8830000000001
SK04,Heating Tertiary,97,361.82599999999996
SK04,Heating Tertiary,98,380.653
SK04,Heating Tertiary,99,390.369
SK04,Heating Tertiary,100,394.535
SK04,Heating Tertiary,101,388.55
SK04,Heating Tertiary,102,366.81300000000016
SK04,Heating Tertiary,103,331.531
SK04,Heating Tertiary,104,290.215
SK04,Heating Tertiary,105,252.72099999999998
SK04,Heating Tertiary,106,223.421
SK04,Heating Tertiary,107,203.226
SK04,Heating Tertiary,108,188.065
SK04,Heating Tertiary,109,177.688
SK04,Heating Tertiary,110,172.84799999999996
SK04,Heating Tertiary,111,172.862
SK04,Heating Tertiary,112,174.752
SK04,Heating Tertiary,113,175.365
SK04,Heating Tertiary,114,176.175
SK04,Heating Tertiary,115,179.93400000000003
SK04,Heating Tertiary,116,191.519
SK04,Heating Tertiary,117,214.77
SK04,Heating Tertiary,118,249.622
SK04,Heating Tertiary,119,291.153
SK04,Heating Tertiary,120,330.8830000000001
SK04,Heating Tertiary,121,343.499
SK04,Heating Tertiary,122,352.655
SK04,Heating Tertiary,123,356.33
SK04,Heating Tertiary,124,350.939
SK04,Heating Tertiary,125,333.1380000000001
SK04,Heating Tertiary,126,303.933
SK04,Heating Tertiary,127,268.71299999999997
SK04,Heating Tertiary,128,235.13
SK04,Heating Tertiary,129,208.94099999999997
SK04,Heating Tertiary,130,190.99
SK04,Heating Tertiary,131,177.265
SK04,Heating Tertiary,132,166.418
SK04,Heating Tertiary,133,160.374
SK04,Heating Tertiary,134,157.612
SK04,Heating Tertiary,135,156.49
SK04,Heating Tertiary,136,154.446
SK04,Heating Tertiary,137,153.563
SK04,Heating Tertiary,138,155.842
SK04,Heating Tertiary,139,164.90599999999995
SK04,Heating Tertiary,140,184.44099999999997
SK04,Heating Tertiary,141,214.127
SK04,Heating Tertiary,142,251.703
SK04,Heating Tertiary,143,290.93
SK04,Heating Tertiary,144,323.178
SK04,Heating Tertiary,145,268.452
SK04,Heating Tertiary,146,282.422
SK04,Heating Tertiary,147,289.629
SK04,Heating Tertiary,148,292.722
SK04,Heating Tertiary,149,288.28
SK04,Heating Tertiary,150,272.151
SK04,Heating Tertiary,151,245.97299999999998
SK04,Heating Tertiary,152,215.32
SK04,Heating Tertiary,153,187.503
SK04,Heating Tertiary,154,165.764
SK04,Heating Tertiary,155,150.781
SK04,Heating Tertiary,156,139.532
SK04,Heating Tertiary,157,131.833
SK04,Heating Tertiary,158,128.24200000000002
SK04,Heating Tertiary,159,128.252
SK04,Heating Tertiary,160,129.655
SK04,Heating Tertiary,161,130.109
SK04,Heating Tertiary,162,130.71
SK04,Heating Tertiary,163,133.499
SK04,Heating Tertiary,164,142.095
SK04,Heating Tertiary,165,159.346
SK04,Heating Tertiary,166,185.203
SK04,Heating Tertiary,167,216.016
SK04,Heating Tertiary,168,245.493
SK04,Heating Tertiary,169,302.217
SK04,Heating Tertiary,170,317.943
SK04,Heating Tertiary,171,326.057
SK04,Heating Tertiary,172,329.536
SK04,Heating Tertiary,173,324.538
SK04,Heating Tertiary,174,306.381
SK04,Heating Tertiary,175,276.911
SK04,Heating Tertiary,176,242.40200000000002
SK04,Heating Tertiary,177,211.08599999999998
SK04,Heating Tertiary,178,186.613
SK04,Heating Tertiary,179,169.745
SK04,Heating Tertiary,180,157.082
SK04,Heating Tertiary,181,148.415
SK04,Heating Tertiary,182,144.372
SK04,Heating Tertiary,183,144.38299999999995
SK04,Heating Tertiary,184,145.96200000000005
SK04,Heating Tertiary,185,146.474
SK04,Heating Tertiary,186,147.151
SK04,Heating Tertiary,187,150.29
SK04,Heating Tertiary,188,159.967
SK04,Heating Tertiary,189,179.387
SK04,Heating Tertiary,190,208.498
SK04,Heating Tertiary,191,243.18599999999998
SK04,Heating Tertiary,192,276.371
SK04,Heating Tertiary,193,296.579
SK04,Heating Tertiary,194,304.829
SK04,Heating Tertiary,195,309.627
SK04,Heating Tertiary,196,306.2340000000001
SK04,Heating Tertiary,197,290.666
SK04,Heating Tertiary,198,264.49
SK04,Heating Tertiary,199,233.083
SK04,Heating Tertiary,200,202.438
SK04,Heating Tertiary,201,177.62900000000005
SK04,Heating Tertiary,202,159.916
SK04,Heating Tertiary,203,146.954
SK04,Heating Tertiary,204,137.613
SK04,Heating Tertiary,205,133.244
SK04,Heating Tertiary,206,133.565
SK04,Heating Tertiary,207,135.457
SK04,Heating Tertiary,208,136.124
SK04,Heating Tertiary,209,135.94799999999998
SK04,Heating Tertiary,210,137.289
SK04,Heating Tertiary,211,144.52200000000005
SK04,Heating Tertiary,212,162.43
SK04,Heating Tertiary,213,190.959
SK04,Heating Tertiary,214,226.25599999999997
SK04,Heating Tertiary,215,258.621
SK04,Heating Tertiary,216,282.759
SK04,Heating Tertiary,217,225.761
SK04,Heating Tertiary,218,231.78
SK04,Heating Tertiary,219,234.19400000000002
SK04,Heating Tertiary,220,230.65200000000002
SK04,Heating Tertiary,221,218.952
SK04,Heating Tertiary,222,199.757
SK04,Heating Tertiary,223,176.61
SK04,Heating Tertiary,224,154.53799999999995
SK04,Heating Tertiary,225,137.325
SK04,Heating Tertiary,226,125.527
SK04,Heating Tertiary,227,116.506
SK04,Heating Tertiary,228,109.37700000000001
SK04,Heating Tertiary,229,105.404
SK04,Heating Tertiary,230,103.589
SK04,Heating Tertiary,231,102.852
SK04,Heating Tertiary,232,101.509
SK04,Heating Tertiary,233,100.928
SK04,Heating Tertiary,234,102.426
SK04,Heating Tertiary,235,108.383
