NUTS2_code,process,hour,load
UKC1,Heating Tertiary,1,287.1090000000001
UKC1,Heating Tertiary,2,313.714
UKC1,Heating Tertiary,3,329.86199999999997
UKC1,Heating Tertiary,4,338.20099999999996
UKC1,Heating Tertiary,5,341.67699999999996
UKC1,Heating Tertiary,6,336.24199999999996
UKC1,Heating Tertiary,7,317.184
UKC1,Heating Tertiary,8,286.494
UKC1,Heating Tertiary,9,250.75400000000002
UKC1,Heating Tertiary,10,218.40099999999998
UKC1,Heating Tertiary,11,193.18
UKC1,Heating Tertiary,12,175.769
UKC1,Heating Tertiary,13,162.709
UKC1,Heating Tertiary,14,153.808
UKC1,Heating Tertiary,15,149.7
UKC1,Heating Tertiary,16,149.755
UKC1,Heating Tertiary,17,151.368
UKC1,Heating Tertiary,18,151.895
UKC1,Heating Tertiary,19,152.626
UKC1,Heating Tertiary,20,155.99
UKC1,Heating Tertiary,21,166.203
UKC1,Heating Tertiary,22,186.53400000000002
UKC1,Heating Tertiary,23,216.852
UKC1,Heating Tertiary,24,252.81900000000002
UKC1,Heating Tertiary,25,302.468
UKC1,Heating Tertiary,26,330.408
UKC1,Heating Tertiary,27,346.409
UKC1,Heating Tertiary,28,355.985
UKC1,Heating Tertiary,29,361.436
UKC1,Heating Tertiary,30,357.216
UKC1,Heating Tertiary,31,338.798
UKC1,Heating Tertiary,32,308.107
UKC1,Heating Tertiary,33,271.432
UKC1,Heating Tertiary,34,235.77
UKC1,Heating Tertiary,35,206.96900000000002
UKC1,Heating Tertiary,36,186.398
UKC1,Heating Tertiary,37,171.33599999999996
UKC1,Heating Tertiary,38,160.533
UKC1,Heating Tertiary,39,155.545
UKC1,Heating Tertiary,40,155.969
UKC1,Heating Tertiary,41,158.151
UKC1,Heating Tertiary,42,158.904
UKC1,Heating Tertiary,43,158.713
UKC1,Heating Tertiary,44,160.377
UKC1,Heating Tertiary,45,169.042
UKC1,Heating Tertiary,46,190.18
UKC1,Heating Tertiary,47,223.673
UKC1,Heating Tertiary,48,264.841
UKC1,Heating Tertiary,49,320.687
UKC1,Heating Tertiary,50,355.92699999999996
UKC1,Heating Tertiary,51,378.024
UKC1,Heating Tertiary,52,388.0
UKC1,Heating Tertiary,53,391.881
UKC1,Heating Tertiary,54,385.70599999999996
UKC1,Heating Tertiary,55,365.881
UKC1,Heating Tertiary,56,333.606
UKC1,Heating Tertiary,57,294.872
UKC1,Heating Tertiary,58,258.07099999999997
UKC1,Heating Tertiary,59,229.445
UKC1,Heating Tertiary,60,209.794
UKC1,Heating Tertiary,61,194.743
UKC1,Heating Tertiary,62,182.91400000000002
UKC1,Heating Tertiary,63,176.335
UKC1,Heating Tertiary,64,173.345
UKC1,Heating Tertiary,65,172.084
UKC1,Heating Tertiary,66,169.852
UKC1,Heating Tertiary,67,168.929
UKC1,Heating Tertiary,68,171.551
UKC1,Heating Tertiary,69,181.72799999999998
UKC1,Heating Tertiary,70,203.422
UKC1,Heating Tertiary,71,236.253
UKC1,Heating Tertiary,72,277.655
UKC1,Heating Tertiary,73,304.5420000000001
UKC1,Heating Tertiary,74,332.7630000000001
UKC1,Heating Tertiary,75,349.89
UKC1,Heating Tertiary,76,358.736
UKC1,Heating Tertiary,77,362.423
UKC1,Heating Tertiary,78,356.658
UKC1,Heating Tertiary,79,336.44199999999995
UKC1,Heating Tertiary,80,303.889
UKC1,Heating Tertiary,81,265.97900000000004
UKC1,Heating Tertiary,82,231.66099999999997
UKC1,Heating Tertiary,83,204.91
UKC1,Heating Tertiary,84,186.44099999999997
UKC1,Heating Tertiary,85,172.588
UKC1,Heating Tertiary,86,163.14700000000005
UKC1,Heating Tertiary,87,158.789
UKC1,Heating Tertiary,88,158.84799999999996
UKC1,Heating Tertiary,89,160.559
UKC1,Heating Tertiary,90,161.11700000000005
UKC1,Heating Tertiary,91,161.894
UKC1,Heating Tertiary,92,165.46099999999996
UKC1,Heating Tertiary,93,176.294
UKC1,Heating Tertiary,94,197.86
UKC1,Heating Tertiary,95,230.019
UKC1,Heating Tertiary,96,268.17
UKC1,Heating Tertiary,97,304.5420000000001
UKC1,Heating Tertiary,98,332.7630000000001
UKC1,Heating Tertiary,99,349.89
UKC1,Heating Tertiary,100,358.736
UKC1,Heating Tertiary,101,362.423
UKC1,Heating Tertiary,102,356.658
UKC1,Heating Tertiary,103,336.44199999999995
UKC1,Heating Tertiary,104,303.889
UKC1,Heating Tertiary,105,265.97900000000004
UKC1,Heating Tertiary,106,231.66099999999997
UKC1,Heating Tertiary,107,204.91
UKC1,Heating Tertiary,108,186.44099999999997
UKC1,Heating Tertiary,109,172.588
UKC1,Heating Tertiary,110,163.14700000000005
UKC1,Heating Tertiary,111,158.789
UKC1,Heating Tertiary,112,158.84799999999996
UKC1,Heating Tertiary,113,160.559
UKC1,Heating Tertiary,114,161.11700000000005
UKC1,Heating Tertiary,115,161.894
UKC1,Heating Tertiary,116,165.46099999999996
UKC1,Heating Tertiary,117,176.294
UKC1,Heating Tertiary,118,197.86
UKC1,Heating Tertiary,119,230.019
UKC1,Heating Tertiary,120,268.17
UKC1,Heating Tertiary,121,287.1090000000001
UKC1,Heating Tertiary,122,313.714
UKC1,Heating Tertiary,123,329.86199999999997
UKC1,Heating Tertiary,124,338.20099999999996
UKC1,Heating Tertiary,125,341.67699999999996
UKC1,Heating Tertiary,126,336.24199999999996
UKC1,Heating Tertiary,127,317.184
UKC1,Heating Tertiary,128,286.494
UKC1,Heating Tertiary,129,250.75400000000002
UKC1,Heating Tertiary,130,218.40099999999998
UKC1,Heating Tertiary,131,193.18
UKC1,Heating Tertiary,132,175.769
UKC1,Heating Tertiary,133,162.709
UKC1,Heating Tertiary,134,153.808
UKC1,Heating Tertiary,135,149.7
UKC1,Heating Tertiary,136,149.755
UKC1,Heating Tertiary,137,151.368
UKC1,Heating Tertiary,138,151.895
UKC1,Heating Tertiary,139,152.626
UKC1,Heating Tertiary,140,155.99
UKC1,Heating Tertiary,141,166.203
UKC1,Heating Tertiary,142,186.53400000000002
UKC1,Heating Tertiary,143,216.852
UKC1,Heating Tertiary,144,252.81900000000002
UKC1,Heating Tertiary,145,324.074
UKC1,Heating Tertiary,146,354.105
UKC1,Heating Tertiary,147,372.33099999999996
UKC1,Heating Tertiary,148,381.745
UKC1,Heating Tertiary,149,385.668
UKC1,Heating Tertiary,150,379.534
UKC1,Heating Tertiary,151,358.02099999999996
UKC1,Heating Tertiary,152,323.38
UKC1,Heating Tertiary,153,283.039
UKC1,Heating Tertiary,154,246.519
UKC1,Heating Tertiary,155,218.05200000000002
UKC1,Heating Tertiary,156,198.399
UKC1,Heating Tertiary,157,183.658
UKC1,Heating Tertiary,158,173.611
UKC1,Heating Tertiary,159,168.97400000000005
UKC1,Heating Tertiary,160,169.03599999999997
UKC1,Heating Tertiary,161,170.857
UKC1,Heating Tertiary,162,171.451
UKC1,Heating Tertiary,163,172.27700000000004
UKC1,Heating Tertiary,164,176.07299999999995
UKC1,Heating Tertiary,165,187.601
UKC1,Heating Tertiary,166,210.551
UKC1,Heating Tertiary,167,244.77200000000002
UKC1,Heating Tertiary,168,285.37
UKC1,Heating Tertiary,169,324.074
UKC1,Heating Tertiary,170,354.105
UKC1,Heating Tertiary,171,372.33099999999996
UKC1,Heating Tertiary,172,381.745
UKC1,Heating Tertiary,173,385.668
UKC1,Heating Tertiary,174,379.534
UKC1,Heating Tertiary,175,358.02099999999996
UKC1,Heating Tertiary,176,323.38
UKC1,Heating Tertiary,177,283.039
UKC1,Heating Tertiary,178,246.519
UKC1,Heating Tertiary,179,218.05200000000002
UKC1,Heating Tertiary,180,198.399
UKC1,Heating Tertiary,181,183.658
UKC1,Heating Tertiary,182,173.611
UKC1,Heating Tertiary,183,168.97400000000005
UKC1,Heating Tertiary,184,169.03599999999997
UKC1,Heating Tertiary,185,170.857
UKC1,Heating Tertiary,186,171.451
UKC1,Heating Tertiary,187,172.27700000000004
UKC1,Heating Tertiary,188,176.07299999999995
UKC1,Heating Tertiary,189,187.601
UKC1,Heating Tertiary,190,210.551
UKC1,Heating Tertiary,191,244.77200000000002
UKC1,Heating Tertiary,192,285.37
UKC1,Heating Tertiary,193,341.41
UKC1,Heating Tertiary,194,372.94800000000004
UKC1,Heating Tertiary,195,391.009
UKC1,Heating Tertiary,196,401.81800000000004
UKC1,Heating Tertiary,197,407.971
UKC1,Heating Tertiary,198,403.208
UKC1,Heating Tertiary,199,382.418
UKC1,Heating Tertiary,200,347.775
UKC1,Heating Tertiary,201,306.379
UKC1,Heating Tertiary,202,266.125
UKC1,Heating Tertiary,203,233.61599999999999
UKC1,Heating Tertiary,204,210.39700000000002
UKC1,Heating Tertiary,205,193.395
UKC1,Heating Tertiary,206,181.202
UKC1,Heating Tertiary,207,175.572
UKC1,Heating Tertiary,208,176.049
UKC1,Heating Tertiary,209,178.512
UKC1,Heating Tertiary,210,179.362
UKC1,Heating Tertiary,211,179.14700000000005
UKC1,Heating Tertiary,212,181.024
UKC1,Heating Tertiary,213,190.80599999999998
UKC1,Heating Tertiary,214,214.665
UKC1,Heating Tertiary,215,252.47
UKC1,Heating Tertiary,216,298.94
UKC1,Heating Tertiary,217,320.687
UKC1,Heating Tertiary,218,355.92699999999996
UKC1,Heating Tertiary,219,378.024
UKC1,Heating Tertiary,220,388.0
UKC1,Heating Tertiary,221,391.881
UKC1,Heating Tertiary,222,385.70599999999996
UKC1,Heating Tertiary,223,365.881
UKC1,Heating Tertiary,224,333.606
UKC1,Heating Tertiary,225,294.872
UKC1,Heating Tertiary,226,258.07099999999997
UKC1,Heating Tertiary,227,229.445
UKC1,Heating Tertiary,228,209.794
UKC1,Heating Tertiary,229,194.743
UKC1,Heating Tertiary,230,182.91400000000002
UKC1,Heating Tertiary,231,176.335
UKC1,Heating Tertiary,232,173.345
UKC1,Heating Tertiary,233,172.084
UKC1,Heating Tertiary,234,169.852
UKC1,Heating Tertiary,235,168.929
UKC1,Heating Tertiary,236,171.551
UKC1,Heating Tertiary,237,181.72799999999998
UKC1,Heating Tertiary,238,203.422
UKC1,Heating Tertiary,239,236.253
UKC1,Heating Tertiary,240,277.655
UKC1,Heating Tertiary,241,270.517
UKC1,Heating Tertiary,242,295.585
UKC1,Heating Tertiary,243,310.7990000000001
UKC1,Heating Tertiary,244,318.657
UKC1,Heating Tertiary,245,321.931
UKC1,Heating Tertiary,246,316.811
UKC1,Heating Tertiary,247,298.853
UKC1,Heating Tertiary,248,269.938
UKC1,Heating Tertiary,249,236.263
UKC1,Heating Tertiary,250,205.77900000000002
UKC1,Heating Tertiary,251,182.016
UKC1,Heating Tertiary,252,165.611
UKC1,Heating Tertiary,253,153.306
UKC1,Heating Tertiary,254,144.91899999999995
UKC1,Heating Tertiary,255,141.049
UKC1,Heating Tertiary,256,141.101
UKC1,Heating Tertiary,257,142.62
UKC1,Heating Tertiary,258,143.11700000000005
UKC1,Heating Tertiary,259,143.806
UKC1,Heating Tertiary,260,146.974
UKC1,Heating Tertiary,261,156.59799999999996
UKC1,Heating Tertiary,262,175.75400000000005
UKC1,Heating Tertiary,263,204.32
