NUTS2_code,process,hour,load
UKD7,Heating Tertiary,1,295.445
UKD7,Heating Tertiary,2,322.823
UKD7,Heating Tertiary,3,339.439
UKD7,Heating Tertiary,4,348.02099999999996
UKD7,Heating Tertiary,5,351.597
UKD7,Heating Tertiary,6,346.005
UKD7,Heating Tertiary,7,326.393
UKD7,Heating Tertiary,8,294.812
UKD7,Heating Tertiary,9,258.034
UKD7,Heating Tertiary,10,224.74099999999999
UKD7,Heating Tertiary,11,198.78900000000002
UKD7,Heating Tertiary,12,180.872
UKD7,Heating Tertiary,13,167.433
UKD7,Heating Tertiary,14,158.274
UKD7,Heating Tertiary,15,154.046
UKD7,Heating Tertiary,16,154.10299999999995
UKD7,Heating Tertiary,17,155.763
UKD7,Heating Tertiary,18,156.305
UKD7,Heating Tertiary,19,157.05700000000004
UKD7,Heating Tertiary,20,160.518
UKD7,Heating Tertiary,21,171.028
UKD7,Heating Tertiary,22,191.95
UKD7,Heating Tertiary,23,223.148
UKD7,Heating Tertiary,24,260.159
UKD7,Heating Tertiary,25,311.249
UKD7,Heating Tertiary,26,340.001
UKD7,Heating Tertiary,27,356.466
UKD7,Heating Tertiary,28,366.32099999999997
UKD7,Heating Tertiary,29,371.93
UKD7,Heating Tertiary,30,367.588
UKD7,Heating Tertiary,31,348.635
UKD7,Heating Tertiary,32,317.052
UKD7,Heating Tertiary,33,279.312
UKD7,Heating Tertiary,34,242.615
UKD7,Heating Tertiary,35,212.97799999999998
UKD7,Heating Tertiary,36,191.81
UKD7,Heating Tertiary,37,176.31
UKD7,Heating Tertiary,38,165.19400000000005
UKD7,Heating Tertiary,39,160.061
UKD7,Heating Tertiary,40,160.496
UKD7,Heating Tertiary,41,162.74200000000005
UKD7,Heating Tertiary,42,163.517
UKD7,Heating Tertiary,43,163.32
UKD7,Heating Tertiary,44,165.033
UKD7,Heating Tertiary,45,173.95
UKD7,Heating Tertiary,46,195.701
UKD7,Heating Tertiary,47,230.166
UKD7,Heating Tertiary,48,272.531
UKD7,Heating Tertiary,49,311.108
UKD7,Heating Tertiary,50,345.296
UKD7,Heating Tertiary,51,366.73199999999997
UKD7,Heating Tertiary,52,376.411
UKD7,Heating Tertiary,53,380.175
UKD7,Heating Tertiary,54,374.185
UKD7,Heating Tertiary,55,354.952
UKD7,Heating Tertiary,56,323.64099999999996
UKD7,Heating Tertiary,57,286.064
UKD7,Heating Tertiary,58,250.362
UKD7,Heating Tertiary,59,222.59099999999998
UKD7,Heating Tertiary,60,203.528
UKD7,Heating Tertiary,61,188.926
UKD7,Heating Tertiary,62,177.45
UKD7,Heating Tertiary,63,171.06799999999996
UKD7,Heating Tertiary,64,168.167
UKD7,Heating Tertiary,65,166.94400000000005
UKD7,Heating Tertiary,66,164.77900000000002
UKD7,Heating Tertiary,67,163.88400000000001
UKD7,Heating Tertiary,68,166.42700000000005
UKD7,Heating Tertiary,69,176.3
UKD7,Heating Tertiary,70,197.34599999999998
UKD7,Heating Tertiary,71,229.197
UKD7,Heating Tertiary,72,269.361
UKD7,Heating Tertiary,73,313.566
UKD7,Heating Tertiary,74,342.6230000000001
UKD7,Heating Tertiary,75,360.25800000000015
UKD7,Heating Tertiary,76,369.36699999999996
UKD7,Heating Tertiary,77,373.162
UKD7,Heating Tertiary,78,367.227
UKD7,Heating Tertiary,79,346.412
UKD7,Heating Tertiary,80,312.895
UKD7,Heating Tertiary,81,273.861
UKD7,Heating Tertiary,82,238.52599999999998
UKD7,Heating Tertiary,83,210.982
UKD7,Heating Tertiary,84,191.96599999999998
UKD7,Heating Tertiary,85,177.703
UKD7,Heating Tertiary,86,167.981
UKD7,Heating Tertiary,87,163.495
UKD7,Heating Tertiary,88,163.555
UKD7,Heating Tertiary,89,165.317
UKD7,Heating Tertiary,90,165.892
UKD7,Heating Tertiary,91,166.69099999999997
UKD7,Heating Tertiary,92,170.364
UKD7,Heating Tertiary,93,181.518
