NUTS2_code,process,hour,load
UKE2,Heating Tertiary,1,299.361
UKE2,Heating Tertiary,2,327.101
UKE2,Heating Tertiary,3,343.93800000000016
UKE2,Heating Tertiary,4,352.63300000000015
UKE2,Heating Tertiary,5,356.25699999999995
UKE2,Heating Tertiary,6,350.591
UKE2,Heating Tertiary,7,330.718
UKE2,Heating Tertiary,8,298.72
UKE2,Heating Tertiary,9,261.454
UKE2,Heating Tertiary,10,227.72
UKE2,Heating Tertiary,11,201.424
UKE2,Heating Tertiary,12,183.27
UKE2,Heating Tertiary,13,169.65200000000004
UKE2,Heating Tertiary,14,160.371
UKE2,Heating Tertiary,15,156.088
UKE2,Heating Tertiary,16,156.145
UKE2,Heating Tertiary,17,157.827
UKE2,Heating Tertiary,18,158.377
UKE2,Heating Tertiary,19,159.139
UKE2,Heating Tertiary,20,162.64600000000004
UKE2,Heating Tertiary,21,173.295
UKE2,Heating Tertiary,22,194.49400000000003
UKE2,Heating Tertiary,23,226.106
UKE2,Heating Tertiary,24,263.607
UKE2,Heating Tertiary,25,315.374
UKE2,Heating Tertiary,26,344.50800000000015
UKE2,Heating Tertiary,27,361.191
UKE2,Heating Tertiary,28,371.175
UKE2,Heating Tertiary,29,376.85900000000004
UKE2,Heating Tertiary,30,372.459
UKE2,Heating Tertiary,31,353.255
UKE2,Heating Tertiary,32,321.254
UKE2,Heating Tertiary,33,283.014
UKE2,Heating Tertiary,34,245.831
UKE2,Heating Tertiary,35,215.801
UKE2,Heating Tertiary,36,194.352
UKE2,Heating Tertiary,37,178.64700000000005
UKE2,Heating Tertiary,38,167.38400000000001
UKE2,Heating Tertiary,39,162.183
UKE2,Heating Tertiary,40,162.624
UKE2,Heating Tertiary,41,164.899
UKE2,Heating Tertiary,42,165.68400000000003
UKE2,Heating Tertiary,43,165.485
UKE2,Heating Tertiary,44,167.22
UKE2,Heating Tertiary,45,176.255
UKE2,Heating Tertiary,46,198.295
UKE2,Heating Tertiary,47,233.218
UKE2,Heating Tertiary,48,276.142
UKE2,Heating Tertiary,49,334.37199999999996
UKE2,Heating Tertiary,50,371.115
UKE2,Heating Tertiary,51,394.154
UKE2,Heating Tertiary,52,404.55699999999996
UKE2,Heating Tertiary,53,408.603
UKE2,Heating Tertiary,54,402.165
UKE2,Heating Tertiary,55,381.494
UKE2,Heating Tertiary,56,347.842
UKE2,Heating Tertiary,57,307.455
UKE2,Heating Tertiary,58,269.08299999999997
UKE2,Heating Tertiary,59,239.235
UKE2,Heating Tertiary,60,218.747
UKE2,Heating Tertiary,61,203.053
UKE2,Heating Tertiary,62,190.71900000000002
UKE2,Heating Tertiary,63,183.86
UKE2,Heating Tertiary,64,180.74200000000002
UKE2,Heating Tertiary,65,179.42700000000005
UKE2,Heating Tertiary,66,177.1
UKE2,Heating Tertiary,67,176.138
UKE2,Heating Tertiary,68,178.872
UKE2,Heating Tertiary,69,189.483
UKE2,Heating Tertiary,70,212.10299999999998
UKE2,Heating Tertiary,71,246.335
UKE2,Heating Tertiary,72,289.503
UKE2,Heating Tertiary,73,317.5370000000001
UKE2,Heating Tertiary,74,346.962
UKE2,Heating Tertiary,75,364.82
UKE2,Heating Tertiary,76,374.04400000000004
UKE2,Heating Tertiary,77,377.88800000000003
UKE2,Heating Tertiary,78,371.87699999999995
UKE2,Heating Tertiary,79,350.79900000000015
UKE2,Heating Tertiary,80,316.857
UKE2,Heating Tertiary,81,277.329
UKE2,Heating Tertiary,82,241.546
UKE2,Heating Tertiary,83,213.65400000000002
UKE2,Heating Tertiary,84,194.39700000000002
UKE2,Heating Tertiary,85,179.953
UKE2,Heating Tertiary,86,170.108
UKE2,Heating Tertiary,87,165.565
UKE2,Heating Tertiary,88,165.62599999999995
UKE2,Heating Tertiary,89,167.41
UKE2,Heating Tertiary,90,167.99200000000005
UKE2,Heating Tertiary,91,168.80200000000005
UKE2,Heating Tertiary,92,172.521
UKE2,Heating Tertiary,93,183.81599999999997
UKE2,Heating Tertiary,94,206.303
UKE2,Heating Tertiary,95,239.834
UKE2,Heating Tertiary,96,279.613
UKE2,Heating Tertiary,97,317.5370000000001
UKE2,Heating Tertiary,98,346.962
UKE2,Heating Tertiary,99,364.82
UKE2,Heating Tertiary,100,374.04400000000004
UKE2,Heating Tertiary,101,377.88800000000003
UKE2,Heating Tertiary,102,371.87699999999995
UKE2,Heating Tertiary,103,350.79900000000015
UKE2,Heating Tertiary,104,316.857
UKE2,Heating Tertiary,105,277.329
UKE2,Heating Tertiary,106,241.546
UKE2,Heating Tertiary,107,213.65400000000002
UKE2,Heating Tertiary,108,194.39700000000002
UKE2,Heating Tertiary,109,179.953
UKE2,Heating Tertiary,110,170.108
UKE2,Heating Tertiary,111,165.565
UKE2,Heating Tertiary,112,165.62599999999995
UKE2,Heating Tertiary,113,167.41
UKE2,Heating Tertiary,114,167.99200000000005
UKE2,Heating Tertiary,115,168.80200000000005
UKE2,Heating Tertiary,116,172.521
UKE2,Heating Tertiary,117,183.81599999999997
UKE2,Heating Tertiary,118,206.303
UKE2,Heating Tertiary,119,239.834
UKE2,Heating Tertiary,120,279.613
UKE2,Heating Tertiary,121,282.061
UKE2,Heating Tertiary,122,308.198
UKE2,Heating Tertiary,123,324.062
UKE2,Heating Tertiary,124,332.254
UKE2,Heating Tertiary,125,335.6690000000001
UKE2,Heating Tertiary,126,330.33
UKE2,Heating Tertiary,127,311.606
UKE2,Heating Tertiary,128,281.457
UKE2,Heating Tertiary,129,246.345
UKE2,Heating Tertiary,130,214.56
UKE2,Heating Tertiary,131,189.783
UKE2,Heating Tertiary,132,172.678
UKE2,Heating Tertiary,133,159.847
UKE2,Heating Tertiary,134,151.10299999999995
UKE2,Heating Tertiary,135,147.067
UKE2,Heating Tertiary,136,147.122
UKE2,Heating Tertiary,137,148.70600000000005
UKE2,Heating Tertiary,138,149.224
UKE2,Heating Tertiary,139,149.942
UKE2,Heating Tertiary,140,153.246
UKE2,Heating Tertiary,141,163.28
UKE2,Heating Tertiary,142,183.25400000000002
UKE2,Heating Tertiary,143,213.03900000000002
UKE2,Heating Tertiary,144,248.373
UKE2,Heating Tertiary,145,317.5370000000001
UKE2,Heating Tertiary,146,346.962
UKE2,Heating Tertiary,147,364.82
UKE2,Heating Tertiary,148,374.04400000000004
UKE2,Heating Tertiary,149,377.88800000000003
UKE2,Heating Tertiary,150,371.87699999999995
UKE2,Heating Tertiary,151,350.79900000000015
UKE2,Heating Tertiary,152,316.857
UKE2,Heating Tertiary,153,277.329
UKE2,Heating Tertiary,154,241.546
UKE2,Heating Tertiary,155,213.65400000000002
UKE2,Heating Tertiary,156,194.39700000000002
UKE2,Heating Tertiary,157,179.953
UKE2,Heating Tertiary,158,170.108
UKE2,Heating Tertiary,159,165.565
UKE2,Heating Tertiary,160,165.62599999999995
UKE2,Heating Tertiary,161,167.41
UKE2,Heating Tertiary,162,167.99200000000005
UKE2,Heating Tertiary,163,168.80200000000005
UKE2,Heating Tertiary,164,172.521
UKE2,Heating Tertiary,165,183.81599999999997
UKE2,Heating Tertiary,166,206.303
UKE2,Heating Tertiary,167,239.834
UKE2,Heating Tertiary,168,279.613
UKE2,Heating Tertiary,169,317.5370000000001
UKE2,Heating Tertiary,170,346.962
UKE2,Heating Tertiary,171,364.82
UKE2,Heating Tertiary,172,374.04400000000004
UKE2,Heating Tertiary,173,377.88800000000003
UKE2,Heating Tertiary,174,371.87699999999995
UKE2,Heating Tertiary,175,350.79900000000015
UKE2,Heating Tertiary,176,316.857
UKE2,Heating Tertiary,177,277.329
UKE2,Heating Tertiary,178,241.546
UKE2,Heating Tertiary,179,213.65400000000002
UKE2,Heating Tertiary,180,194.39700000000002
UKE2,Heating Tertiary,181,179.953
UKE2,Heating Tertiary,182,170.108
UKE2,Heating Tertiary,183,165.565
UKE2,Heating Tertiary,184,165.62599999999995
UKE2,Heating Tertiary,185,167.41
UKE2,Heating Tertiary,186,167.99200000000005
UKE2,Heating Tertiary,187,168.80200000000005
UKE2,Heating Tertiary,188,172.521
UKE2,Heating Tertiary,189,183.81599999999997
UKE2,Heating Tertiary,190,206.303
UKE2,Heating Tertiary,191,239.834
UKE2,Heating Tertiary,192,279.613
UKE2,Heating Tertiary,193,334.523
UKE2,Heating Tertiary,194,365.425
UKE2,Heating Tertiary,195,383.121
UKE2,Heating Tertiary,196,393.712
UKE2,Heating Tertiary,197,399.741
UKE2,Heating Tertiary,198,395.075
UKE2,Heating Tertiary,199,374.704
UKE2,Heating Tertiary,200,340.759
UKE2,Heating Tertiary,201,300.198
UKE2,Heating Tertiary,202,260.757
UKE2,Heating Tertiary,203,228.903
UKE2,Heating Tertiary,204,206.153
UKE2,Heating Tertiary,205,189.493
UKE2,Heating Tertiary,206,177.547
UKE2,Heating Tertiary,207,172.03
UKE2,Heating Tertiary,208,172.497
UKE2,Heating Tertiary,209,174.91099999999997
UKE2,Heating Tertiary,210,175.74400000000003
UKE2,Heating Tertiary,211,175.532
UKE2,Heating Tertiary,212,177.373
UKE2,Heating Tertiary,213,186.957
UKE2,Heating Tertiary,214,210.334
UKE2,Heating Tertiary,215,247.378
UKE2,Heating Tertiary,216,292.909
UKE2,Heating Tertiary,217,334.37199999999996
UKE2,Heating Tertiary,218,371.115
UKE2,Heating Tertiary,219,394.154
UKE2,Heating Tertiary,220,404.55699999999996
UKE2,Heating Tertiary,221,408.603
UKE2,Heating Tertiary,222,402.165
UKE2,Heating Tertiary,223,381.494
UKE2,Heating Tertiary,224,347.842
UKE2,Heating Tertiary,225,307.455
UKE2,Heating Tertiary,226,269.08299999999997
UKE2,Heating Tertiary,227,239.235
UKE2,Heating Tertiary,228,218.747
UKE2,Heating Tertiary,229,203.053
UKE2,Heating Tertiary,230,190.71900000000002
UKE2,Heating Tertiary,231,183.86
UKE2,Heating Tertiary,232,180.74200000000002
UKE2,Heating Tertiary,233,179.42700000000005
UKE2,Heating Tertiary,234,177.1
UKE2,Heating Tertiary,235,176.138
UKE2,Heating Tertiary,236,178.872
UKE2,Heating Tertiary,237,189.483
UKE2,Heating Tertiary,238,212.10299999999998
UKE2,Heating Tertiary,239,246.335
UKE2,Heating Tertiary,240,289.503
UKE2,Heating Tertiary,241,282.061
UKE2,Heating Tertiary,242,308.198
UKE2,Heating Tertiary,243,324.062
UKE2,Heating Tertiary,244,332.254
UKE2,Heating Tertiary,245,335.6690000000001
UKE2,Heating Tertiary,246,330.33
UKE2,Heating Tertiary,247,311.606
UKE2,Heating Tertiary,248,281.457
UKE2,Heating Tertiary,249,246.345
UKE2,Heating Tertiary,250,214.56
UKE2,Heating Tertiary,251,189.783
UKE2,Heating Tertiary,252,172.678
UKE2,Heating Tertiary,253,159.847
UKE2,Heating Tertiary,254,151.10299999999995
UKE2,Heating Tertiary,255,147.067
UKE2,Heating Tertiary,256,147.122
UKE2,Heating Tertiary,257,148.70600000000005
UKE2,Heating Tertiary,258,149.224
UKE2,Heating Tertiary,259,149.942
UKE2,Heating Tertiary,260,153.246
UKE2,Heating Tertiary,261,163.28
UKE2,Heating Tertiary,262,183.25400000000002
UKE2,Heating Tertiary,263,213.03900000000002
UKE2,Heating Tertiary,264,248.373
UKE2,Heating Tertiary,265,244.942
UKE2,Heating Tertiary,266,267.64
UKE2,Heating Tertiary,267,281.415
UKE2,Heating Tertiary,268,288.53
UKE2,Heating Tertiary,269,291.495
UKE2,Heating Tertiary,270,286.8590000000001
UKE2,Heating Tertiary,271,270.599
UKE2,Heating Tertiary,272,244.417
UKE2,Heating Tertiary,273,213.926
UKE2,Heating Tertiary,274,186.324
UKE2,Heating Tertiary,275,164.808
UKE2,Heating Tertiary,276,149.954
UKE2,Heating Tertiary,277,138.812
UKE2,Heating Tertiary,278,131.218
UKE2,Heating Tertiary,279,127.714
UKE2,Heating Tertiary,280,127.76100000000001
UKE2,Heating Tertiary,281,129.136
UKE2,Heating Tertiary,282,129.586
UKE2,Heating Tertiary,283,130.21
UKE2,Heating Tertiary,284,133.079
UKE2,Heating Tertiary,285,141.792
UKE2,Heating Tertiary,286,159.138
UKE2,Heating Tertiary,287,185.003
UKE2,Heating Tertiary,288,215.688
