NUTS2_code,process,hour,load
UKG1,Heating Tertiary,1,306.066
UKG1,Heating Tertiary,2,334.42800000000005
UKG1,Heating Tertiary,3,351.642
UKG1,Heating Tertiary,4,360.532
UKG1,Heating Tertiary,5,364.23699999999997
UKG1,Heating Tertiary,6,358.444
UKG1,Heating Tertiary,7,338.1269999999999
UKG1,Heating Tertiary,8,305.411
UKG1,Heating Tertiary,9,267.311
UKG1,Heating Tertiary,10,232.821
UKG1,Heating Tertiary,11,205.93599999999998
UKG1,Heating Tertiary,12,187.375
UKG1,Heating Tertiary,13,173.453
UKG1,Heating Tertiary,14,163.96400000000003
UKG1,Heating Tertiary,15,159.584
UKG1,Heating Tertiary,16,159.643
UKG1,Heating Tertiary,17,161.363
UKG1,Heating Tertiary,18,161.924
UKG1,Heating Tertiary,19,162.704
UKG1,Heating Tertiary,20,166.28900000000004
UKG1,Heating Tertiary,21,177.17700000000005
UKG1,Heating Tertiary,22,198.851
UKG1,Heating Tertiary,23,231.171
UKG1,Heating Tertiary,24,269.512
UKG1,Heating Tertiary,25,322.439
UKG1,Heating Tertiary,26,352.225
UKG1,Heating Tertiary,27,369.282
UKG1,Heating Tertiary,28,379.49
UKG1,Heating Tertiary,29,385.301
UKG1,Heating Tertiary,30,380.80300000000005
UKG1,Heating Tertiary,31,361.168
UKG1,Heating Tertiary,32,328.45
UKG1,Heating Tertiary,33,289.3540000000001
UKG1,Heating Tertiary,34,251.33700000000002
UKG1,Heating Tertiary,35,220.635
UKG1,Heating Tertiary,36,198.706
UKG1,Heating Tertiary,37,182.649
UKG1,Heating Tertiary,38,171.13299999999995
UKG1,Heating Tertiary,39,165.81599999999997
UKG1,Heating Tertiary,40,166.267
UKG1,Heating Tertiary,41,168.593
UKG1,Heating Tertiary,42,169.396
UKG1,Heating Tertiary,43,169.192
UKG1,Heating Tertiary,44,170.96599999999995
UKG1,Heating Tertiary,45,180.204
UKG1,Heating Tertiary,46,202.737
UKG1,Heating Tertiary,47,238.442
UKG1,Heating Tertiary,48,282.328
UKG1,Heating Tertiary,49,303.668
UKG1,Heating Tertiary,50,337.037
UKG1,Heating Tertiary,51,357.961
UKG1,Heating Tertiary,52,367.408
UKG1,Heating Tertiary,53,371.082
UKG1,Heating Tertiary,54,365.235
UKG1,Heating Tertiary,55,346.462
UKG1,Heating Tertiary,56,315.901
UKG1,Heating Tertiary,57,279.222
UKG1,Heating Tertiary,58,244.37400000000002
UKG1,Heating Tertiary,59,217.268
UKG1,Heating Tertiary,60,198.66
UKG1,Heating Tertiary,61,184.407
UKG1,Heating Tertiary,62,173.206
UKG1,Heating Tertiary,63,166.976
UKG1,Heating Tertiary,64,164.145
UKG1,Heating Tertiary,65,162.951
UKG1,Heating Tertiary,66,160.838
UKG1,Heating Tertiary,67,159.964
UKG1,Heating Tertiary,68,162.447
UKG1,Heating Tertiary,69,172.083
UKG1,Heating Tertiary,70,192.62599999999998
UKG1,Heating Tertiary,71,223.715
UKG1,Heating Tertiary,72,262.91900000000004
UKG1,Heating Tertiary,73,306.066
UKG1,Heating Tertiary,74,334.42800000000005
UKG1,Heating Tertiary,75,351.642
UKG1,Heating Tertiary,76,360.532
UKG1,Heating Tertiary,77,364.23699999999997
UKG1,Heating Tertiary,78,358.444
UKG1,Heating Tertiary,79,338.1269999999999
UKG1,Heating Tertiary,80,305.411
UKG1,Heating Tertiary,81,267.311
UKG1,Heating Tertiary,82,232.821
UKG1,Heating Tertiary,83,205.93599999999998
UKG1,Heating Tertiary,84,187.375
UKG1,Heating Tertiary,85,173.453
UKG1,Heating Tertiary,86,163.96400000000003
UKG1,Heating Tertiary,87,159.584
UKG1,Heating Tertiary,88,159.643
UKG1,Heating Tertiary,89,161.363
UKG1,Heating Tertiary,90,161.924
UKG1,Heating Tertiary,91,162.704
UKG1,Heating Tertiary,92,166.28900000000004
UKG1,Heating Tertiary,93,177.17700000000005
UKG1,Heating Tertiary,94,198.851
UKG1,Heating Tertiary,95,231.171
UKG1,Heating Tertiary,96,269.512
UKG1,Heating Tertiary,97,324.65
UKG1,Heating Tertiary,98,354.73400000000015
UKG1,Heating Tertiary,99,372.99300000000005
UKG1,Heating Tertiary,100,382.42199999999997
UKG1,Heating Tertiary,101,386.353
UKG1,Heating Tertiary,102,380.207
UKG1,Heating Tertiary,103,358.657
UKG1,Heating Tertiary,104,323.954
UKG1,Heating Tertiary,105,283.541
UKG1,Heating Tertiary,106,246.957
