NUTS2_code,process,hour,load
UKI5,Heating Tertiary,1,291.575
UKI5,Heating Tertiary,2,318.595
UKI5,Heating Tertiary,3,334.99300000000005
UKI5,Heating Tertiary,4,343.462
UKI5,Heating Tertiary,5,346.99199999999996
UKI5,Heating Tertiary,6,341.473
UKI5,Heating Tertiary,7,322.118
UKI5,Heating Tertiary,8,290.95099999999996
UKI5,Heating Tertiary,9,254.655
UKI5,Heating Tertiary,10,221.797
UKI5,Heating Tertiary,11,196.185
UKI5,Heating Tertiary,12,178.50400000000005
UKI5,Heating Tertiary,13,165.24
UKI5,Heating Tertiary,14,156.2
UKI5,Heating Tertiary,15,152.029
UKI5,Heating Tertiary,16,152.084
UKI5,Heating Tertiary,17,153.72299999999996
UKI5,Heating Tertiary,18,154.257
UKI5,Heating Tertiary,19,155.001
UKI5,Heating Tertiary,20,158.416
UKI5,Heating Tertiary,21,168.787
UKI5,Heating Tertiary,22,189.43599999999998
UKI5,Heating Tertiary,23,220.226
UKI5,Heating Tertiary,24,256.752
UKI5,Heating Tertiary,25,307.173
UKI5,Heating Tertiary,26,335.548
UKI5,Heating Tertiary,27,351.79699999999997
UKI5,Heating Tertiary,28,361.522
UKI5,Heating Tertiary,29,367.05800000000005
UKI5,Heating Tertiary,30,362.774
UKI5,Heating Tertiary,31,344.06800000000015
UKI5,Heating Tertiary,32,312.899
UKI5,Heating Tertiary,33,275.654
UKI5,Heating Tertiary,34,239.438
UKI5,Heating Tertiary,35,210.188
UKI5,Heating Tertiary,36,189.298
UKI5,Heating Tertiary,37,174.00099999999995
UKI5,Heating Tertiary,38,163.03
UKI5,Heating Tertiary,39,157.965
UKI5,Heating Tertiary,40,158.394
UKI5,Heating Tertiary,41,160.611
UKI5,Heating Tertiary,42,161.375
UKI5,Heating Tertiary,43,161.181
UKI5,Heating Tertiary,44,162.871
UKI5,Heating Tertiary,45,171.672
UKI5,Heating Tertiary,46,193.138
UKI5,Heating Tertiary,47,227.15200000000002
UKI5,Heating Tertiary,48,268.961
UKI5,Heating Tertiary,49,307.033
UKI5,Heating Tertiary,50,340.773
UKI5,Heating Tertiary,51,361.92900000000003
UKI5,Heating Tertiary,52,371.481
UKI5,Heating Tertiary,53,375.19599999999997
UKI5,Heating Tertiary,54,369.284
UKI5,Heating Tertiary,55,350.30300000000005
UKI5,Heating Tertiary,56,319.402
UKI5,Heating Tertiary,57,282.318
UKI5,Heating Tertiary,58,247.083
UKI5,Heating Tertiary,59,219.676
UKI5,Heating Tertiary,60,200.862
UKI5,Heating Tertiary,61,186.451
UKI5,Heating Tertiary,62,175.12599999999995
UKI5,Heating Tertiary,63,168.827
UKI5,Heating Tertiary,64,165.965
UKI5,Heating Tertiary,65,164.757
UKI5,Heating Tertiary,66,162.62
UKI5,Heating Tertiary,67,161.737
UKI5,Heating Tertiary,68,164.247
UKI5,Heating Tertiary,69,173.99099999999999
UKI5,Heating Tertiary,70,194.761
UKI5,Heating Tertiary,71,226.195
UKI5,Heating Tertiary,72,265.83299999999997
UKI5,Heating Tertiary,73,311.401
UKI5,Heating Tertiary,74,340.25699999999995
UKI5,Heating Tertiary,75,357.77099999999996
UKI5,Heating Tertiary,76,366.816
UKI5,Heating Tertiary,77,370.585
UKI5,Heating Tertiary,78,364.691
UKI5,Heating Tertiary,79,344.019
UKI5,Heating Tertiary,80,310.7340000000001
UKI5,Heating Tertiary,81,271.969
UKI5,Heating Tertiary,82,236.878
UKI5,Heating Tertiary,83,209.524
UKI5,Heating Tertiary,84,190.64
UKI5,Heating Tertiary,85,176.475
UKI5,Heating Tertiary,86,166.821
UKI5,Heating Tertiary,87,162.366
UKI5,Heating Tertiary,88,162.425
UKI5,Heating Tertiary,89,164.175
UKI5,Heating Tertiary,90,164.74599999999995
UKI5,Heating Tertiary,91,165.53900000000004
UKI5,Heating Tertiary,92,169.187
UKI5,Heating Tertiary,93,180.264
UKI5,Heating Tertiary,94,202.31599999999997
UKI5,Heating Tertiary,95,235.2
UKI5,Heating Tertiary,96,274.209
UKI5,Heating Tertiary,97,350.56800000000015
UKI5,Heating Tertiary,98,383.05400000000003
UKI5,Heating Tertiary,99,402.769
UKI5,Heating Tertiary,100,412.952
UKI5,Heating Tertiary,101,417.19599999999997
UKI5,Heating Tertiary,102,410.56
UKI5,Heating Tertiary,103,387.289
UKI5,Heating Tertiary,104,349.816
UKI5,Heating Tertiary,105,306.177
UKI5,Heating Tertiary,106,266.672
UKI5,Heating Tertiary,107,235.878
UKI5,Heating Tertiary,108,214.61900000000003
UKI5,Heating Tertiary,109,198.672
UKI5,Heating Tertiary,110,187.803
UKI5,Heating Tertiary,111,182.787
UKI5,Heating Tertiary,112,182.855
UKI5,Heating Tertiary,113,184.824
UKI5,Heating Tertiary,114,185.467
UKI5,Heating Tertiary,115,186.361
UKI5,Heating Tertiary,116,190.467
UKI5,Heating Tertiary,117,202.937
UKI5,Heating Tertiary,118,227.763
UKI5,Heating Tertiary,119,264.782
UKI5,Heating Tertiary,120,308.699
UKI5,Heating Tertiary,121,330.5
UKI5,Heating Tertiary,122,361.126
UKI5,Heating Tertiary,123,379.714
UKI5,Heating Tertiary,124,389.314
UKI5,Heating Tertiary,125,393.315
UKI5,Heating Tertiary,126,387.059
UKI5,Heating Tertiary,127,365.12
UKI5,Heating Tertiary,128,329.792
UKI5,Heating Tertiary,129,288.651
UKI5,Heating Tertiary,130,251.408
UKI5,Heating Tertiary,131,222.37599999999998
UKI5,Heating Tertiary,132,202.333
UKI5,Heating Tertiary,133,187.3
UKI5,Heating Tertiary,134,177.053
UKI5,Heating Tertiary,135,172.324
UKI5,Heating Tertiary,136,172.388
UKI5,Heating Tertiary,137,174.245
UKI5,Heating Tertiary,138,174.851
UKI5,Heating Tertiary,139,175.69299999999996
UKI5,Heating Tertiary,140,179.56400000000005
UKI5,Heating Tertiary,141,191.321
UKI5,Heating Tertiary,142,214.726
UKI5,Heating Tertiary,143,249.62599999999998
UKI5,Heating Tertiary,144,291.028
UKI5,Heating Tertiary,145,373.05199999999996
UKI5,Heating Tertiary,146,407.62199999999996
UKI5,Heating Tertiary,147,428.602
UKI5,Heating Tertiary,148,439.43800000000016
UKI5,Heating Tertiary,149,443.954
UKI5,Heating Tertiary,150,436.89300000000003
UKI5,Heating Tertiary,151,412.129
UKI5,Heating Tertiary,152,372.25300000000004
UKI5,Heating Tertiary,153,325.815
UKI5,Heating Tertiary,154,283.776
UKI5,Heating Tertiary,155,251.007
UKI5,Heating Tertiary,156,228.38299999999998
UKI5,Heating Tertiary,157,211.41400000000002
UKI5,Heating Tertiary,158,199.84900000000002
UKI5,Heating Tertiary,159,194.511
UKI5,Heating Tertiary,160,194.583
UKI5,Heating Tertiary,161,196.678
UKI5,Heating Tertiary,162,197.363
UKI5,Heating Tertiary,163,198.31400000000002
UKI5,Heating Tertiary,164,202.683
UKI5,Heating Tertiary,165,215.953
UKI5,Heating Tertiary,166,242.37099999999998
UKI5,Heating Tertiary,167,281.765
UKI5,Heating Tertiary,168,328.4980000000001
UKI5,Heating Tertiary,169,373.05199999999996
UKI5,Heating Tertiary,170,407.62199999999996
UKI5,Heating Tertiary,171,428.602
UKI5,Heating Tertiary,172,439.43800000000016
UKI5,Heating Tertiary,173,443.954
UKI5,Heating Tertiary,174,436.89300000000003
UKI5,Heating Tertiary,175,412.129
UKI5,Heating Tertiary,176,372.25300000000004
UKI5,Heating Tertiary,177,325.815
UKI5,Heating Tertiary,178,283.776
UKI5,Heating Tertiary,179,251.007
UKI5,Heating Tertiary,180,228.38299999999998
UKI5,Heating Tertiary,181,211.41400000000002
UKI5,Heating Tertiary,182,199.84900000000002
UKI5,Heating Tertiary,183,194.511
UKI5,Heating Tertiary,184,194.583
UKI5,Heating Tertiary,185,196.678
UKI5,Heating Tertiary,186,197.363
UKI5,Heating Tertiary,187,198.31400000000002
UKI5,Heating Tertiary,188,202.683
UKI5,Heating Tertiary,189,215.953
UKI5,Heating Tertiary,190,242.37099999999998
UKI5,Heating Tertiary,191,281.765
UKI5,Heating Tertiary,192,328.4980000000001
UKI5,Heating Tertiary,193,393.00699999999995
UKI5,Heating Tertiary,194,429.31199999999995
UKI5,Heating Tertiary,195,450.103
UKI5,Heating Tertiary,196,462.545
UKI5,Heating Tertiary,197,469.62800000000004
UKI5,Heating Tertiary,198,464.145
UKI5,Heating Tertiary,199,440.213
UKI5,Heating Tertiary,200,400.334
UKI5,Heating Tertiary,201,352.68199999999996
UKI5,Heating Tertiary,202,306.345
UKI5,Heating Tertiary,203,268.923
UKI5,Heating Tertiary,204,242.19400000000002
UKI5,Heating Tertiary,205,222.623
UKI5,Heating Tertiary,206,208.58700000000002
UKI5,Heating Tertiary,207,202.106
UKI5,Heating Tertiary,208,202.655
UKI5,Heating Tertiary,209,205.49099999999999
UKI5,Heating Tertiary,210,206.47
UKI5,Heating Tertiary,211,206.22099999999998
UKI5,Heating Tertiary,212,208.38299999999998
UKI5,Heating Tertiary,213,219.643
UKI5,Heating Tertiary,214,247.107
UKI5,Heating Tertiary,215,290.626
UKI5,Heating Tertiary,216,344.119
UKI5,Heating Tertiary,217,369.153
UKI5,Heating Tertiary,218,409.719
UKI5,Heating Tertiary,219,435.155
UKI5,Heating Tertiary,220,446.639
UKI5,Heating Tertiary,221,451.106
UKI5,Heating Tertiary,222,443.99800000000016
UKI5,Heating Tertiary,223,421.17699999999996
UKI5,Heating Tertiary,224,384.024
UKI5,Heating Tertiary,225,339.4369999999999
UKI5,Heating Tertiary,226,297.073
UKI5,Heating Tertiary,227,264.121
UKI5,Heating Tertiary,228,241.50099999999998
UKI5,Heating Tertiary,229,224.174
UKI5,Heating Tertiary,230,210.558
UKI5,Heating Tertiary,231,202.985
UKI5,Heating Tertiary,232,199.543
UKI5,Heating Tertiary,233,198.09099999999998
UKI5,Heating Tertiary,234,195.52200000000002
UKI5,Heating Tertiary,235,194.46
UKI5,Heating Tertiary,236,197.47799999999998
UKI5,Heating Tertiary,237,209.19299999999998
UKI5,Heating Tertiary,238,234.166
