NUTS2_code,process,hour,load
UKJ1,Heating Tertiary,1,306.047
UKJ1,Heating Tertiary,2,334.407
UKJ1,Heating Tertiary,3,351.62
UKJ1,Heating Tertiary,4,360.509
UKJ1,Heating Tertiary,5,364.214
UKJ1,Heating Tertiary,6,358.421
UKJ1,Heating Tertiary,7,338.105
UKJ1,Heating Tertiary,8,305.392
UKJ1,Heating Tertiary,9,267.29400000000004
UKJ1,Heating Tertiary,10,232.80599999999998
UKJ1,Heating Tertiary,11,205.922
UKJ1,Heating Tertiary,12,187.363
UKJ1,Heating Tertiary,13,173.44099999999997
UKJ1,Heating Tertiary,14,163.953
UKJ1,Heating Tertiary,15,159.57399999999996
UKJ1,Heating Tertiary,16,159.63299999999995
UKJ1,Heating Tertiary,17,161.352
UKJ1,Heating Tertiary,18,161.914
UKJ1,Heating Tertiary,19,162.69299999999996
UKJ1,Heating Tertiary,20,166.278
UKJ1,Heating Tertiary,21,177.165
UKJ1,Heating Tertiary,22,198.838
UKJ1,Heating Tertiary,23,231.15599999999998
UKJ1,Heating Tertiary,24,269.495
UKJ1,Heating Tertiary,25,322.418
UKJ1,Heating Tertiary,26,352.202
UKJ1,Heating Tertiary,27,369.25800000000004
UKJ1,Heating Tertiary,28,379.466
UKJ1,Heating Tertiary,29,385.276
UKJ1,Heating Tertiary,30,380.779
UKJ1,Heating Tertiary,31,361.145
UKJ1,Heating Tertiary,32,328.4290000000001
UKJ1,Heating Tertiary,33,289.335
UKJ1,Heating Tertiary,34,251.322
UKJ1,Heating Tertiary,35,220.62
UKJ1,Heating Tertiary,36,198.69299999999998
UKJ1,Heating Tertiary,37,182.637
UKJ1,Heating Tertiary,38,171.122
UKJ1,Heating Tertiary,39,165.805
UKJ1,Heating Tertiary,40,166.25599999999997
UKJ1,Heating Tertiary,41,168.582
UKJ1,Heating Tertiary,42,169.385
UKJ1,Heating Tertiary,43,169.18099999999995
UKJ1,Heating Tertiary,44,170.955
UKJ1,Heating Tertiary,45,180.192
UKJ1,Heating Tertiary,46,202.72400000000002
UKJ1,Heating Tertiary,47,238.426
UKJ1,Heating Tertiary,48,282.31
UKJ1,Heating Tertiary,49,301.755
UKJ1,Heating Tertiary,50,334.914
UKJ1,Heating Tertiary,51,355.707
UKJ1,Heating Tertiary,52,365.095
UKJ1,Heating Tertiary,53,368.745
UKJ1,Heating Tertiary,54,362.935
UKJ1,Heating Tertiary,55,344.281
UKJ1,Heating Tertiary,56,313.911
UKJ1,Heating Tertiary,57,277.464
UKJ1,Heating Tertiary,58,242.835
UKJ1,Heating Tertiary,59,215.899
UKJ1,Heating Tertiary,60,197.40900000000002
UKJ1,Heating Tertiary,61,183.24599999999998
UKJ1,Heating Tertiary,62,172.115
UKJ1,Heating Tertiary,63,165.925
UKJ1,Heating Tertiary,64,163.111
UKJ1,Heating Tertiary,65,161.925
UKJ1,Heating Tertiary,66,159.82399999999996
UKJ1,Heating Tertiary,67,158.95600000000005
UKJ1,Heating Tertiary,68,161.424
UKJ1,Heating Tertiary,69,171.0
UKJ1,Heating Tertiary,70,191.41299999999998
UKJ1,Heating Tertiary,71,222.30599999999998
UKJ1,Heating Tertiary,72,261.263
UKJ1,Heating Tertiary,73,306.047
UKJ1,Heating Tertiary,74,334.407
UKJ1,Heating Tertiary,75,351.62
UKJ1,Heating Tertiary,76,360.509
UKJ1,Heating Tertiary,77,364.214
UKJ1,Heating Tertiary,78,358.421
UKJ1,Heating Tertiary,79,338.105
UKJ1,Heating Tertiary,80,305.392
UKJ1,Heating Tertiary,81,267.29400000000004
UKJ1,Heating Tertiary,82,232.80599999999998
UKJ1,Heating Tertiary,83,205.922
UKJ1,Heating Tertiary,84,187.363
UKJ1,Heating Tertiary,85,173.44099999999997
UKJ1,Heating Tertiary,86,163.953
UKJ1,Heating Tertiary,87,159.57399999999996
UKJ1,Heating Tertiary,88,159.63299999999995
UKJ1,Heating Tertiary,89,161.352
UKJ1,Heating Tertiary,90,161.914
UKJ1,Heating Tertiary,91,162.69299999999996
UKJ1,Heating Tertiary,92,166.278
UKJ1,Heating Tertiary,93,177.165
UKJ1,Heating Tertiary,94,198.838
UKJ1,Heating Tertiary,95,231.15599999999998
UKJ1,Heating Tertiary,96,269.495
UKJ1,Heating Tertiary,97,344.541
UKJ1,Heating Tertiary,98,376.468
UKJ1,Heating Tertiary,99,395.845
UKJ1,Heating Tertiary,100,405.853
UKJ1,Heating Tertiary,101,410.024
UKJ1,Heating Tertiary,102,403.50199999999995
UKJ1,Heating Tertiary,103,380.631
UKJ1,Heating Tertiary,104,343.80199999999996
UKJ1,Heating Tertiary,105,300.913
UKJ1,Heating Tertiary,106,262.087
UKJ1,Heating Tertiary,107,231.82299999999998
UKJ1,Heating Tertiary,108,210.929
UKJ1,Heating Tertiary,109,195.25599999999997
UKJ1,Heating Tertiary,110,184.575
UKJ1,Heating Tertiary,111,179.645
UKJ1,Heating Tertiary,112,179.71099999999996
UKJ1,Heating Tertiary,113,181.64700000000002
UKJ1,Heating Tertiary,114,182.278
UKJ1,Heating Tertiary,115,183.157
UKJ1,Heating Tertiary,116,187.19299999999998
UKJ1,Heating Tertiary,117,199.44799999999998
UKJ1,Heating Tertiary,118,223.847
UKJ1,Heating Tertiary,119,260.23
UKJ1,Heating Tertiary,120,303.39099999999996
UKJ1,Heating Tertiary,121,324.818
UKJ1,Heating Tertiary,122,354.918
UKJ1,Heating Tertiary,123,373.186
UKJ1,Heating Tertiary,124,382.621
UKJ1,Heating Tertiary,125,386.55300000000005
UKJ1,Heating Tertiary,126,380.405
UKJ1,Heating Tertiary,127,358.843
UKJ1,Heating Tertiary,128,324.123
UKJ1,Heating Tertiary,129,283.689
UKJ1,Heating Tertiary,130,247.085
UKJ1,Heating Tertiary,131,218.553
UKJ1,Heating Tertiary,132,198.855
UKJ1,Heating Tertiary,133,184.08
UKJ1,Heating Tertiary,134,174.00900000000001
UKJ1,Heating Tertiary,135,169.362
UKJ1,Heating Tertiary,136,169.424
UKJ1,Heating Tertiary,137,171.24900000000005
UKJ1,Heating Tertiary,138,171.845
UKJ1,Heating Tertiary,139,172.672
UKJ1,Heating Tertiary,140,176.477
UKJ1,Heating Tertiary,141,188.032
UKJ1,Heating Tertiary,142,211.03400000000002
UKJ1,Heating Tertiary,143,245.334
UKJ1,Heating Tertiary,144,286.025
UKJ1,Heating Tertiary,145,366.639
UKJ1,Heating Tertiary,146,400.61400000000003
UKJ1,Heating Tertiary,147,421.23400000000004
UKJ1,Heating Tertiary,148,431.884
UKJ1,Heating Tertiary,149,436.32199999999995
UKJ1,Heating Tertiary,150,429.38199999999995
UKJ1,Heating Tertiary,151,405.04400000000004
UKJ1,Heating Tertiary,152,365.853
UKJ1,Heating Tertiary,153,320.21299999999997
UKJ1,Heating Tertiary,154,278.897
UKJ1,Heating Tertiary,155,246.69099999999997
UKJ1,Heating Tertiary,156,224.457
UKJ1,Heating Tertiary,157,207.77900000000002
UKJ1,Heating Tertiary,158,196.41299999999998
UKJ1,Heating Tertiary,159,191.167
UKJ1,Heating Tertiary,160,191.237
UKJ1,Heating Tertiary,161,193.297
UKJ1,Heating Tertiary,162,193.97
UKJ1,Heating Tertiary,163,194.90400000000002
UKJ1,Heating Tertiary,164,199.199
UKJ1,Heating Tertiary,165,212.24099999999999
UKJ1,Heating Tertiary,166,238.204
UKJ1,Heating Tertiary,167,276.921
UKJ1,Heating Tertiary,168,322.85
UKJ1,Heating Tertiary,169,389.33099999999996
UKJ1,Heating Tertiary,170,425.409
UKJ1,Heating Tertiary,171,447.305
UKJ1,Heating Tertiary,172,458.61400000000003
UKJ1,Heating Tertiary,173,463.327
UKJ1,Heating Tertiary,174,455.957
UKJ1,Heating Tertiary,175,430.11300000000006
UKJ1,Heating Tertiary,176,388.49699999999996
UKJ1,Heating Tertiary,177,340.032
UKJ1,Heating Tertiary,178,296.159
UKJ1,Heating Tertiary,179,261.96
UKJ1,Heating Tertiary,180,238.35
UKJ1,Heating Tertiary,181,220.639
UKJ1,Heating Tertiary,182,208.57
UKJ1,Heating Tertiary,183,202.99900000000002
UKJ1,Heating Tertiary,184,203.074
UKJ1,Heating Tertiary,185,205.26
UKJ1,Heating Tertiary,186,205.975
UKJ1,Heating Tertiary,187,206.967
UKJ1,Heating Tertiary,188,211.528
UKJ1,Heating Tertiary,189,225.37599999999998
UKJ1,Heating Tertiary,190,252.94799999999998
UKJ1,Heating Tertiary,191,294.06
UKJ1,Heating Tertiary,192,342.833
UKJ1,Heating Tertiary,193,386.251
UKJ1,Heating Tertiary,194,421.931
UKJ1,Heating Tertiary,195,442.365
UKJ1,Heating Tertiary,196,454.593
UKJ1,Heating Tertiary,197,461.55400000000003
UKJ1,Heating Tertiary,198,456.166
UKJ1,Heating Tertiary,199,432.645
UKJ1,Heating Tertiary,200,393.452
UKJ1,Heating Tertiary,201,346.619
UKJ1,Heating Tertiary,202,301.078
UKJ1,Heating Tertiary,203,264.29900000000004
UKJ1,Heating Tertiary,204,238.03099999999998
UKJ1,Heating Tertiary,205,218.795
UKJ1,Heating Tertiary,206,205.00099999999998
UKJ1,Heating Tertiary,207,198.63099999999997
UKJ1,Heating Tertiary,208,199.171
UKJ1,Heating Tertiary,209,201.958
UKJ1,Heating Tertiary,210,202.92
UKJ1,Heating Tertiary,211,202.676
UKJ1,Heating Tertiary,212,204.8
UKJ1,Heating Tertiary,213,215.86700000000002
UKJ1,Heating Tertiary,214,242.859
UKJ1,Heating Tertiary,215,285.63
UKJ1,Heating Tertiary,216,338.2030000000001
UKJ1,Heating Tertiary,217,362.80699999999996
UKJ1,Heating Tertiary,218,402.675
UKJ1,Heating Tertiary,219,427.67400000000004
UKJ1,Heating Tertiary,220,438.961
UKJ1,Heating Tertiary,221,443.351
UKJ1,Heating Tertiary,222,436.365
UKJ1,Heating Tertiary,223,413.93699999999995
UKJ1,Heating Tertiary,224,377.42199999999997
UKJ1,Heating Tertiary,225,333.601
UKJ1,Heating Tertiary,226,291.966
UKJ1,Heating Tertiary,227,259.58
UKJ1,Heating Tertiary,228,237.34900000000002
UKJ1,Heating Tertiary,229,220.32
UKJ1,Heating Tertiary,230,206.938
UKJ1,Heating Tertiary,231,199.495
UKJ1,Heating Tertiary,232,196.112
UKJ1,Heating Tertiary,233,194.685
UKJ1,Heating Tertiary,234,192.16099999999997
UKJ1,Heating Tertiary,235,191.11700000000002
UKJ1,Heating Tertiary,236,194.083
UKJ1,Heating Tertiary,237,205.59599999999998
UKJ1,Heating Tertiary,238,230.14
UKJ1,Heating Tertiary,239,267.283
UKJ1,Heating Tertiary,240,314.122
UKJ1,Heating Tertiary,241,324.818
UKJ1,Heating Tertiary,242,354.918
UKJ1,Heating Tertiary,243,373.186
UKJ1,Heating Tertiary,244,382.621
UKJ1,Heating Tertiary,245,386.55300000000005
UKJ1,Heating Tertiary,246,380.405
UKJ1,Heating Tertiary,247,358.843
UKJ1,Heating Tertiary,248,324.123
UKJ1,Heating Tertiary,249,283.689
UKJ1,Heating Tertiary,250,247.085
UKJ1,Heating Tertiary,251,218.553
UKJ1,Heating Tertiary,252,198.855
UKJ1,Heating Tertiary,253,184.08
UKJ1,Heating Tertiary,254,174.00900000000001
UKJ1,Heating Tertiary,255,169.362
UKJ1,Heating Tertiary,256,169.424
UKJ1,Heating Tertiary,257,171.24900000000005
UKJ1,Heating Tertiary,258,171.845
UKJ1,Heating Tertiary,259,172.672
UKJ1,Heating Tertiary,260,176.477
UKJ1,Heating Tertiary,261,188.032
UKJ1,Heating Tertiary,262,211.03400000000002
UKJ1,Heating Tertiary,263,245.334
UKJ1,Heating Tertiary,264,286.025
UKJ1,Heating Tertiary,265,306.047
UKJ1,Heating Tertiary,266,334.407
UKJ1,Heating Tertiary,267,351.62
UKJ1,Heating Tertiary,268,360.509
UKJ1,Heating Tertiary,269,364.214
UKJ1,Heating Tertiary,270,358.421
UKJ1,Heating Tertiary,271,338.105
UKJ1,Heating Tertiary,272,305.392
UKJ1,Heating Tertiary,273,267.29400000000004
UKJ1,Heating Tertiary,274,232.80599999999998
UKJ1,Heating Tertiary,275,205.922
UKJ1,Heating Tertiary,276,187.363
UKJ1,Heating Tertiary,277,173.44099999999997
UKJ1,Heating Tertiary,278,163.953
UKJ1,Heating Tertiary,279,159.57399999999996
UKJ1,Heating Tertiary,280,159.63299999999995
UKJ1,Heating Tertiary,281,161.352
UKJ1,Heating Tertiary,282,161.914
UKJ1,Heating Tertiary,283,162.69299999999996
UKJ1,Heating Tertiary,284,166.278
UKJ1,Heating Tertiary,285,177.165
UKJ1,Heating Tertiary,286,198.838
UKJ1,Heating Tertiary,287,231.15599999999998
UKJ1,Heating Tertiary,288,269.495
UKJ1,Heating Tertiary,289,306.047
UKJ1,Heating Tertiary,290,334.407
UKJ1,Heating Tertiary,291,351.62
UKJ1,Heating Tertiary,292,360.509
UKJ1,Heating Tertiary,293,364.214
UKJ1,Heating Tertiary,294,358.421
UKJ1,Heating Tertiary,295,338.105
UKJ1,Heating Tertiary,296,305.392
UKJ1,Heating Tertiary,297,267.29400000000004
UKJ1,Heating Tertiary,298,232.80599999999998
UKJ1,Heating Tertiary,299,205.922
UKJ1,Heating Tertiary,300,187.363
UKJ1,Heating Tertiary,301,173.44099999999997
UKJ1,Heating Tertiary,302,163.953
UKJ1,Heating Tertiary,303,159.57399999999996
UKJ1,Heating Tertiary,304,159.63299999999995
UKJ1,Heating Tertiary,305,161.352
UKJ1,Heating Tertiary,306,161.914
UKJ1,Heating Tertiary,307,162.69299999999996
UKJ1,Heating Tertiary,308,166.278
UKJ1,Heating Tertiary,309,177.165
UKJ1,Heating Tertiary,310,198.838
UKJ1,Heating Tertiary,311,231.15599999999998
UKJ1,Heating Tertiary,312,269.495
UKJ1,Heating Tertiary,313,306.047
UKJ1,Heating Tertiary,314,334.407
UKJ1,Heating Tertiary,315,351.62
UKJ1,Heating Tertiary,316,360.509
UKJ1,Heating Tertiary,317,364.214
UKJ1,Heating Tertiary,318,358.421
UKJ1,Heating Tertiary,319,338.105
UKJ1,Heating Tertiary,320,305.392
UKJ1,Heating Tertiary,321,267.29400000000004
UKJ1,Heating Tertiary,322,232.80599999999998
UKJ1,Heating Tertiary,323,205.922
UKJ1,Heating Tertiary,324,187.363
UKJ1,Heating Tertiary,325,173.44099999999997
UKJ1,Heating Tertiary,326,163.953
UKJ1,Heating Tertiary,327,159.57399999999996
UKJ1,Heating Tertiary,328,159.63299999999995
UKJ1,Heating Tertiary,329,161.352
UKJ1,Heating Tertiary,330,161.914
UKJ1,Heating Tertiary,331,162.69299999999996
UKJ1,Heating Tertiary,332,166.278
UKJ1,Heating Tertiary,333,177.165
UKJ1,Heating Tertiary,334,198.838
UKJ1,Heating Tertiary,335,231.15599999999998
UKJ1,Heating Tertiary,336,269.495
UKJ1,Heating Tertiary,337,286.563
UKJ1,Heating Tertiary,338,313.117
UKJ1,Heating Tertiary,339,329.2340000000001
UKJ1,Heating Tertiary,340,337.55800000000005
UKJ1,Heating Tertiary,341,341.027
UKJ1,Heating Tertiary,342,335.602
UKJ1,Heating Tertiary,343,316.58
UKJ1,Heating Tertiary,344,285.949
UKJ1,Heating Tertiary,345,250.27700000000002
UKJ1,Heating Tertiary,346,217.984
UKJ1,Heating Tertiary,347,192.813
UKJ1,Heating Tertiary,348,175.435
UKJ1,Heating Tertiary,349,162.399
UKJ1,Heating Tertiary,350,153.515
UKJ1,Heating Tertiary,351,149.415
UKJ1,Heating Tertiary,352,149.47
UKJ1,Heating Tertiary,353,151.08
UKJ1,Heating Tertiary,354,151.605
UKJ1,Heating Tertiary,355,152.336
UKJ1,Heating Tertiary,356,155.692
UKJ1,Heating Tertiary,357,165.886
UKJ1,Heating Tertiary,358,186.179
UKJ1,Heating Tertiary,359,216.44
UKJ1,Heating Tertiary,360,252.338
UKJ1,Heating Tertiary,361,258.585
UKJ1,Heating Tertiary,362,282.472
UKJ1,Heating Tertiary,363,296.152
UKJ1,Heating Tertiary,364,304.339
UKJ1,Heating Tertiary,365,308.999
UKJ1,Heating Tertiary,366,305.392
UKJ1,Heating Tertiary,367,289.645
UKJ1,Heating Tertiary,368,263.406
UKJ1,Heating Tertiary,369,232.053
UKJ1,Heating Tertiary,370,201.565
UKJ1,Heating Tertiary,371,176.942
UKJ1,Heating Tertiary,372,159.355
UKJ1,Heating Tertiary,373,146.47799999999995
UKJ1,Heating Tertiary,374,137.243
UKJ1,Heating Tertiary,375,132.97899999999998
UKJ1,Heating Tertiary,376,133.34
UKJ1,Heating Tertiary,377,135.20600000000002
UKJ1,Heating Tertiary,378,135.85
UKJ1,Heating Tertiary,379,135.686
UKJ1,Heating Tertiary,380,137.109
UKJ1,Heating Tertiary,381,144.518
UKJ1,Heating Tertiary,382,162.588
UKJ1,Heating Tertiary,383,191.22299999999998
UKJ1,Heating Tertiary,384,226.418
UKJ1,Heating Tertiary,385,238.452
UKJ1,Heating Tertiary,386,264.655
