NUTS2_code,process,hour,load
UKK4,Heating Tertiary,1,294.76599999999996
UKK4,Heating Tertiary,2,322.08099999999996
UKK4,Heating Tertiary,3,338.659
UKK4,Heating Tertiary,4,347.221
UKK4,Heating Tertiary,5,350.79
UKK4,Heating Tertiary,6,345.21
UKK4,Heating Tertiary,7,325.643
UKK4,Heating Tertiary,8,294.135
UKK4,Heating Tertiary,9,257.442
UKK4,Heating Tertiary,10,224.225
UKK4,Heating Tertiary,11,198.333
UKK4,Heating Tertiary,12,180.457
UKK4,Heating Tertiary,13,167.048
UKK4,Heating Tertiary,14,157.91
UKK4,Heating Tertiary,15,153.692
UKK4,Heating Tertiary,16,153.749
UKK4,Heating Tertiary,17,155.405
UKK4,Heating Tertiary,18,155.945
UKK4,Heating Tertiary,19,156.697
UKK4,Heating Tertiary,20,160.149
UKK4,Heating Tertiary,21,170.635
UKK4,Heating Tertiary,22,191.50900000000001
UKK4,Heating Tertiary,23,222.636
UKK4,Heating Tertiary,24,259.562
UKK4,Heating Tertiary,25,310.534
UKK4,Heating Tertiary,26,339.22
UKK4,Heating Tertiary,27,355.648
UKK4,Heating Tertiary,28,365.47900000000004
UKK4,Heating Tertiary,29,371.075
UKK4,Heating Tertiary,30,366.744
UKK4,Heating Tertiary,31,347.834
UKK4,Heating Tertiary,32,316.323
UKK4,Heating Tertiary,33,278.671
UKK4,Heating Tertiary,34,242.058
UKK4,Heating Tertiary,35,212.489
UKK4,Heating Tertiary,36,191.37
UKK4,Heating Tertiary,37,175.905
UKK4,Heating Tertiary,38,164.815
UKK4,Heating Tertiary,39,159.69299999999996
UKK4,Heating Tertiary,40,160.128
UKK4,Heating Tertiary,41,162.368
UKK4,Heating Tertiary,42,163.141
UKK4,Heating Tertiary,43,162.945
UKK4,Heating Tertiary,44,164.65400000000002
UKK4,Heating Tertiary,45,173.55
UKK4,Heating Tertiary,46,195.252
UKK4,Heating Tertiary,47,229.638
UKK4,Heating Tertiary,48,271.905
UKK4,Heating Tertiary,49,310.394
UKK4,Heating Tertiary,50,344.50199999999984
UKK4,Heating Tertiary,51,365.89
UKK4,Heating Tertiary,52,375.54699999999997
UKK4,Heating Tertiary,53,379.30199999999996
UKK4,Heating Tertiary,54,373.325
UKK4,Heating Tertiary,55,354.13699999999994
UKK4,Heating Tertiary,56,322.89799999999997
UKK4,Heating Tertiary,57,285.407
UKK4,Heating Tertiary,58,249.787
UKK4,Heating Tertiary,59,222.08
UKK4,Heating Tertiary,60,203.06
UKK4,Heating Tertiary,61,188.49200000000002
UKK4,Heating Tertiary,62,177.042
UKK4,Heating Tertiary,63,170.675
UKK4,Heating Tertiary,64,167.78099999999995
UKK4,Heating Tertiary,65,166.56099999999995
UKK4,Heating Tertiary,66,164.4
UKK4,Heating Tertiary,67,163.507
UKK4,Heating Tertiary,68,166.045
UKK4,Heating Tertiary,69,175.895
UKK4,Heating Tertiary,70,196.892
UKK4,Heating Tertiary,71,228.67
UKK4,Heating Tertiary,72,268.742
UKK4,Heating Tertiary,73,294.76599999999996
UKK4,Heating Tertiary,74,322.08099999999996
UKK4,Heating Tertiary,75,338.659
UKK4,Heating Tertiary,76,347.221
UKK4,Heating Tertiary,77,350.79
UKK4,Heating Tertiary,78,345.21
UKK4,Heating Tertiary,79,325.643
UKK4,Heating Tertiary,80,294.135
UKK4,Heating Tertiary,81,257.442
UKK4,Heating Tertiary,82,224.225
UKK4,Heating Tertiary,83,198.333
UKK4,Heating Tertiary,84,180.457
UKK4,Heating Tertiary,85,167.048
UKK4,Heating Tertiary,86,157.91
UKK4,Heating Tertiary,87,153.692
UKK4,Heating Tertiary,88,153.749
UKK4,Heating Tertiary,89,155.405
UKK4,Heating Tertiary,90,155.945
UKK4,Heating Tertiary,91,156.697
UKK4,Heating Tertiary,92,160.149
UKK4,Heating Tertiary,93,170.635
UKK4,Heating Tertiary,94,191.50900000000001
UKK4,Heating Tertiary,95,222.636
UKK4,Heating Tertiary,96,259.562
UKK4,Heating Tertiary,97,334.11699999999996
UKK4,Heating Tertiary,98,365.079
UKK4,Heating Tertiary,99,383.87
UKK4,Heating Tertiary,100,393.575
UKK4,Heating Tertiary,101,397.619
UKK4,Heating Tertiary,102,391.295
UKK4,Heating Tertiary,103,369.116
UKK4,Heating Tertiary,104,333.402
UKK4,Heating Tertiary,105,291.81
UKK4,Heating Tertiary,106,254.15900000000002
UKK4,Heating Tertiary,107,224.81
UKK4,Heating Tertiary,108,204.548
UKK4,Heating Tertiary,109,189.34900000000002
UKK4,Heating Tertiary,110,178.99099999999999
UKK4,Heating Tertiary,111,174.21
UKK4,Heating Tertiary,112,174.274
UKK4,Heating Tertiary,113,176.15200000000004
UKK4,Heating Tertiary,114,176.765
UKK4,Heating Tertiary,115,177.61599999999999
UKK4,Heating Tertiary,116,181.53
UKK4,Heating Tertiary,117,193.415
UKK4,Heating Tertiary,118,217.076
UKK4,Heating Tertiary,119,252.358
UKK4,Heating Tertiary,120,294.21299999999997
UKK4,Heating Tertiary,121,314.809
UKK4,Heating Tertiary,122,343.981
UKK4,Heating Tertiary,123,361.686
UKK4,Heating Tertiary,124,370.83
UKK4,Heating Tertiary,125,374.64099999999996
UKK4,Heating Tertiary,126,368.68199999999996
