NUTS2_code,process,hour,load
UKL1,Heating Tertiary,1,289.165
UKL1,Heating Tertiary,2,315.96
UKL1,Heating Tertiary,3,332.223
UKL1,Heating Tertiary,4,340.62199999999996
UKL1,Heating Tertiary,5,344.12300000000016
UKL1,Heating Tertiary,6,338.65
UKL1,Heating Tertiary,7,319.454
UKL1,Heating Tertiary,8,288.545
UKL1,Heating Tertiary,9,252.549
UKL1,Heating Tertiary,10,219.963
UKL1,Heating Tertiary,11,194.563
UKL1,Heating Tertiary,12,177.02700000000004
UKL1,Heating Tertiary,13,163.873
UKL1,Heating Tertiary,14,154.909
UKL1,Heating Tertiary,15,150.77100000000004
UKL1,Heating Tertiary,16,150.827
UKL1,Heating Tertiary,17,152.451
UKL1,Heating Tertiary,18,152.982
UKL1,Heating Tertiary,19,153.719
UKL1,Heating Tertiary,20,157.106
UKL1,Heating Tertiary,21,167.392
UKL1,Heating Tertiary,22,187.86900000000003
UKL1,Heating Tertiary,23,218.405
UKL1,Heating Tertiary,24,254.62900000000002
UKL1,Heating Tertiary,25,304.633
UKL1,Heating Tertiary,26,332.773
UKL1,Heating Tertiary,27,348.88800000000015
UKL1,Heating Tertiary,28,358.533
UKL1,Heating Tertiary,29,364.023
UKL1,Heating Tertiary,30,359.773
UKL1,Heating Tertiary,31,341.223
UKL1,Heating Tertiary,32,310.312
UKL1,Heating Tertiary,33,273.375
UKL1,Heating Tertiary,34,237.458
UKL1,Heating Tertiary,35,208.45
UKL1,Heating Tertiary,36,187.732
UKL1,Heating Tertiary,37,172.562
UKL1,Heating Tertiary,38,161.683
UKL1,Heating Tertiary,39,156.659
UKL1,Heating Tertiary,40,157.085
UKL1,Heating Tertiary,41,159.283
UKL1,Heating Tertiary,42,160.041
UKL1,Heating Tertiary,43,159.84799999999996
UKL1,Heating Tertiary,44,161.524
UKL1,Heating Tertiary,45,170.252
UKL1,Heating Tertiary,46,191.541
UKL1,Heating Tertiary,47,225.274
UKL1,Heating Tertiary,48,266.737
UKL1,Heating Tertiary,49,304.495
UKL1,Heating Tertiary,50,337.955
UKL1,Heating Tertiary,51,358.936
UKL1,Heating Tertiary,52,368.409
UKL1,Heating Tertiary,53,372.093
UKL1,Heating Tertiary,54,366.23
UKL1,Heating Tertiary,55,347.406
UKL1,Heating Tertiary,56,316.76099999999997
UKL1,Heating Tertiary,57,279.983
UKL1,Heating Tertiary,58,245.04
UKL1,Heating Tertiary,59,217.859
UKL1,Heating Tertiary,60,199.201
UKL1,Heating Tertiary,61,184.91
UKL1,Heating Tertiary,62,173.678
UKL1,Heating Tertiary,63,167.43099999999995
UKL1,Heating Tertiary,64,164.592
UKL1,Heating Tertiary,65,163.395
UKL1,Heating Tertiary,66,161.276
UKL1,Heating Tertiary,67,160.4
UKL1,Heating Tertiary,68,162.889
UKL1,Heating Tertiary,69,172.55200000000005
UKL1,Heating Tertiary,70,193.15
UKL1,Heating Tertiary,71,224.324
UKL1,Heating Tertiary,72,263.635
UKL1,Heating Tertiary,73,289.165
UKL1,Heating Tertiary,74,315.96
UKL1,Heating Tertiary,75,332.223
UKL1,Heating Tertiary,76,340.62199999999996
UKL1,Heating Tertiary,77,344.12300000000016
UKL1,Heating Tertiary,78,338.65
UKL1,Heating Tertiary,79,319.454
UKL1,Heating Tertiary,80,288.545
UKL1,Heating Tertiary,81,252.549
UKL1,Heating Tertiary,82,219.963
UKL1,Heating Tertiary,83,194.563
UKL1,Heating Tertiary,84,177.02700000000004
UKL1,Heating Tertiary,85,163.873
UKL1,Heating Tertiary,86,154.909
UKL1,Heating Tertiary,87,150.77100000000004
UKL1,Heating Tertiary,88,150.827
UKL1,Heating Tertiary,89,152.451
UKL1,Heating Tertiary,90,152.982
UKL1,Heating Tertiary,91,153.719
UKL1,Heating Tertiary,92,157.106
UKL1,Heating Tertiary,93,167.392
UKL1,Heating Tertiary,94,187.86900000000003
UKL1,Heating Tertiary,95,218.405
UKL1,Heating Tertiary,96,254.62900000000002
UKL1,Heating Tertiary,97,325.535
UKL1,Heating Tertiary,98,355.70099999999996
UKL1,Heating Tertiary,99,374.009
UKL1,Heating Tertiary,100,383.464
UKL1,Heating Tertiary,101,387.405
UKL1,Heating Tertiary,102,381.24300000000005
UKL1,Heating Tertiary,103,359.634
UKL1,Heating Tertiary,104,324.837
UKL1,Heating Tertiary,105,284.314
UKL1,Heating Tertiary,106,247.63
UKL1,Heating Tertiary,107,219.035
UKL1,Heating Tertiary,108,199.293
UKL1,Heating Tertiary,109,184.485
UKL1,Heating Tertiary,110,174.393
UKL1,Heating Tertiary,111,169.735
UKL1,Heating Tertiary,112,169.797
UKL1,Heating Tertiary,113,171.62599999999995
UKL1,Heating Tertiary,114,172.22299999999996
UKL1,Heating Tertiary,115,173.053
UKL1,Heating Tertiary,116,176.86599999999999
UKL1,Heating Tertiary,117,188.446
UKL1,Heating Tertiary,118,211.49900000000002
UKL1,Heating Tertiary,119,245.875
UKL1,Heating Tertiary,120,286.655
UKL1,Heating Tertiary,121,289.165
UKL1,Heating Tertiary,122,315.96
UKL1,Heating Tertiary,123,332.223
UKL1,Heating Tertiary,124,340.62199999999996
UKL1,Heating Tertiary,125,344.12300000000016
UKL1,Heating Tertiary,126,338.65
UKL1,Heating Tertiary,127,319.454
UKL1,Heating Tertiary,128,288.545
UKL1,Heating Tertiary,129,252.549
UKL1,Heating Tertiary,130,219.963
UKL1,Heating Tertiary,131,194.563
UKL1,Heating Tertiary,132,177.02700000000004
UKL1,Heating Tertiary,133,163.873
UKL1,Heating Tertiary,134,154.909
UKL1,Heating Tertiary,135,150.77100000000004
UKL1,Heating Tertiary,136,150.827
UKL1,Heating Tertiary,137,152.451
UKL1,Heating Tertiary,138,152.982
UKL1,Heating Tertiary,139,153.719
UKL1,Heating Tertiary,140,157.106
UKL1,Heating Tertiary,141,167.392
UKL1,Heating Tertiary,142,187.86900000000003
UKL1,Heating Tertiary,143,218.405
UKL1,Heating Tertiary,144,254.62900000000002
UKL1,Heating Tertiary,145,367.85400000000004
UKL1,Heating Tertiary,146,401.94199999999995
UKL1,Heating Tertiary,147,422.63
UKL1,Heating Tertiary,148,433.315
UKL1,Heating Tertiary,149,437.76800000000003
UKL1,Heating Tertiary,150,430.805
UKL1,Heating Tertiary,151,406.38599999999997
UKL1,Heating Tertiary,152,367.066
UKL1,Heating Tertiary,153,321.274
UKL1,Heating Tertiary,154,279.822
UKL1,Heating Tertiary,155,247.50900000000001
UKL1,Heating Tertiary,156,225.201
UKL1,Heating Tertiary,157,208.468
UKL1,Heating Tertiary,158,197.06400000000002
UKL1,Heating Tertiary,159,191.801
