NUTS2_code,process,hour,load
UKM3,Heating Tertiary,1,290.337
UKM3,Heating Tertiary,2,317.241
UKM3,Heating Tertiary,3,333.57
UKM3,Heating Tertiary,4,342.0030000000001
UKM3,Heating Tertiary,5,345.51800000000014
UKM3,Heating Tertiary,6,340.022
UKM3,Heating Tertiary,7,320.749
UKM3,Heating Tertiary,8,289.715
UKM3,Heating Tertiary,9,253.57299999999998
UKM3,Heating Tertiary,10,220.855
UKM3,Heating Tertiary,11,195.352
UKM3,Heating Tertiary,12,177.745
UKM3,Heating Tertiary,13,164.53799999999995
UKM3,Heating Tertiary,14,155.537
UKM3,Heating Tertiary,15,151.38299999999995
UKM3,Heating Tertiary,16,151.438
UKM3,Heating Tertiary,17,153.07
UKM3,Heating Tertiary,18,153.602
UKM3,Heating Tertiary,19,154.342
UKM3,Heating Tertiary,20,157.743
UKM3,Heating Tertiary,21,168.07
UKM3,Heating Tertiary,22,188.63099999999997
UKM3,Heating Tertiary,23,219.29
UKM3,Heating Tertiary,24,255.66099999999997
UKM3,Heating Tertiary,25,305.868
UKM3,Heating Tertiary,26,334.12199999999996
UKM3,Heating Tertiary,27,350.30300000000005
UKM3,Heating Tertiary,28,359.98699999999997
UKM3,Heating Tertiary,29,365.499
UKM3,Heating Tertiary,30,361.23199999999997
UKM3,Heating Tertiary,31,342.606
UKM3,Heating Tertiary,32,311.569
UKM3,Heating Tertiary,33,274.483
UKM3,Heating Tertiary,34,238.421
UKM3,Heating Tertiary,35,209.295
UKM3,Heating Tertiary,36,188.49400000000003
UKM3,Heating Tertiary,37,173.261
UKM3,Heating Tertiary,38,162.338
UKM3,Heating Tertiary,39,157.293
UKM3,Heating Tertiary,40,157.721
UKM3,Heating Tertiary,41,159.928
UKM3,Heating Tertiary,42,160.69
UKM3,Heating Tertiary,43,160.496
UKM3,Heating Tertiary,44,162.179
UKM3,Heating Tertiary,45,170.942
UKM3,Heating Tertiary,46,192.317
UKM3,Heating Tertiary,47,226.187
UKM3,Heating Tertiary,48,267.818
UKM3,Heating Tertiary,49,288.2290000000001
UKM3,Heating Tertiary,50,319.902
UKM3,Heating Tertiary,51,339.76199999999994
UKM3,Heating Tertiary,52,348.72900000000016
UKM3,Heating Tertiary,53,352.216
UKM3,Heating Tertiary,54,346.667
UKM3,Heating Tertiary,55,328.848
UKM3,Heating Tertiary,56,299.84
UKM3,Heating Tertiary,57,265.027
UKM3,Heating Tertiary,58,231.95
UKM3,Heating Tertiary,59,206.22099999999998
UKM3,Heating Tertiary,60,188.56
UKM3,Heating Tertiary,61,175.032
UKM3,Heating Tertiary,62,164.4
UKM3,Heating Tertiary,63,158.487
UKM3,Heating Tertiary,64,155.8
UKM3,Heating Tertiary,65,154.666
UKM3,Heating Tertiary,66,152.66
UKM3,Heating Tertiary,67,151.83100000000005
UKM3,Heating Tertiary,68,154.188
UKM3,Heating Tertiary,69,163.334
UKM3,Heating Tertiary,70,182.833
UKM3,Heating Tertiary,71,212.34099999999998
UKM3,Heating Tertiary,72,249.55200000000002
UKM3,Heating Tertiary,73,308.95799999999997
UKM3,Heating Tertiary,74,337.588
UKM3,Heating Tertiary,75,354.964
UKM3,Heating Tertiary,76,363.939
UKM3,Heating Tertiary,77,367.67900000000003
UKM3,Heating Tertiary,78,361.83099999999996
UKM3,Heating Tertiary,79,341.32099999999997
UKM3,Heating Tertiary,80,308.296
UKM3,Heating Tertiary,81,269.837
UKM3,Heating Tertiary,82,235.02
