NUTS2_code,process,hour,load
UKN0,Heating Tertiary,1,296.246
UKN0,Heating Tertiary,2,323.698
UKN0,Heating Tertiary,3,340.3590000000001
UKN0,Heating Tertiary,4,348.964
UKN0,Heating Tertiary,5,352.55
UKN0,Heating Tertiary,6,346.94300000000015
UKN0,Heating Tertiary,7,327.278
UKN0,Heating Tertiary,8,295.612
UKN0,Heating Tertiary,9,258.73400000000004
UKN0,Heating Tertiary,10,225.351
UKN0,Heating Tertiary,11,199.328
UKN0,Heating Tertiary,12,181.363
UKN0,Heating Tertiary,13,167.887
UKN0,Heating Tertiary,14,158.703
UKN0,Heating Tertiary,15,154.464
UKN0,Heating Tertiary,16,154.52100000000004
UKN0,Heating Tertiary,17,156.185
UKN0,Heating Tertiary,18,156.72899999999996
UKN0,Heating Tertiary,19,157.484
UKN0,Heating Tertiary,20,160.954
UKN0,Heating Tertiary,21,171.49200000000005
UKN0,Heating Tertiary,22,192.47099999999998
UKN0,Heating Tertiary,23,223.75400000000002
UKN0,Heating Tertiary,24,260.865
UKN0,Heating Tertiary,25,312.093
UKN0,Heating Tertiary,26,340.923
UKN0,Heating Tertiary,27,357.43300000000005
UKN0,Heating Tertiary,28,367.314
UKN0,Heating Tertiary,29,372.93800000000016
UKN0,Heating Tertiary,30,368.584
UKN0,Heating Tertiary,31,349.58
UKN0,Heating Tertiary,32,317.9120000000001
UKN0,Heating Tertiary,33,280.07
UKN0,Heating Tertiary,34,243.273
UKN0,Heating Tertiary,35,213.55599999999998
UKN0,Heating Tertiary,36,192.33
UKN0,Heating Tertiary,37,176.78799999999995
UKN0,Heating Tertiary,38,165.642
UKN0,Heating Tertiary,39,160.495
UKN0,Heating Tertiary,40,160.93200000000004
UKN0,Heating Tertiary,41,163.184
UKN0,Heating Tertiary,42,163.96
UKN0,Heating Tertiary,43,163.763
UKN0,Heating Tertiary,44,165.48
UKN0,Heating Tertiary,45,174.422
UKN0,Heating Tertiary,46,196.232
UKN0,Heating Tertiary,47,230.791
UKN0,Heating Tertiary,48,273.27
UKN0,Heating Tertiary,49,293.9240000000001
UKN0,Heating Tertiary,50,326.223
UKN0,Heating Tertiary,51,346.476
