id,nuts_code,nuts_level,nuts0,nuts1,nuts2,nuts3
0,NOREG,0,0,0,0,0
1,BE,0,1,0,0,0
2,BE1,1,1,2,0,0
3,BE10,2,1,2,3,0
4,BE100,3,1,2,3,4
5,BE2,1,1,5,0,0
6,BE21,2,1,5,6,0
7,BE211,3,1,5,6,7
8,BE212,3,1,5,6,8
9,BE213,3,1,5,6,9
10,BE22,2,1,5,10,0
11,BE221,3,1,5,10,11
12,BE222,3,1,5,10,12
13,BE223,3,1,5,10,13
14,BE23,2,1,5,14,0
15,BE231,3,1,5,14,15
16,BE232,3,1,5,14,16
17,BE233,3,1,5,14,17
18,BE234,3,1,5,14,18
19,BE235,3,1,5,14,19
20,BE236,3,1,5,14,20
21,BE24,2,1,5,21,0
22,BE241,3,1,5,21,22
23,BE242,3,1,5,21,23
24,BE25,2,1,5,24,0
25,BE251,3,1,5,24,25
26,BE252,3,1,5,24,26
27,BE253,3,1,5,24,27
28,BE254,3,1,5,24,28
29,BE255,3,1,5,24,29
30,BE256,3,1,5,24,30
31,BE257,3,1,5,24,31
32,BE258,3,1,5,24,32
33,BE3,1,1,33,0,0
34,BE31,2,1,33,34,0
35,BE310,3,1,33,34,35
36,BE32,2,1,33,36,0
37,BE321,3,1,33,36,37
38,BE322,3,1,33,36,38
39,BE323,3,1,33,36,39
40,BE324,3,1,33,36,40
41,BE325,3,1,33,36,41
42,BE326,3,1,33,36,42
43,BE327,3,1,33,36,43
44,BE33,2,1,33,44,0
45,BE331,3,1,33,44,45
46,BE332,3,1,33,44,46
47,BE334,3,1,33,44,47
48,BE335,3,1,33,44,48
49,BE336,3,1,33,44,49
50,BE34,2,1,33,50,0
51,BE341,3,1,33,50,51
52,BE342,3,1,33,50,52
53,BE343,3,1,33,50,53
54,BE344,3,1,33,50,54
55,BE345,3,1,33,50,55
56,BE35,2,1,33,56,0
57,BE351,3,1,33,56,57
58,BE352,3,1,33,56,58
59,BE353,3,1,33,56,59
60,BEZ,1,1,60,0,0
61,BEZZ,2,1,60,61,0
62,BEZZZ,3,1,60,61,62
63,BG,0,63,0,0,0
64,BG3,1,63,64,0,0
65,BG31,2,63,64,65,0
66,BG311,3,63,64,65,66
67,BG312,3,63,64,65,67
68,BG313,3,63,64,65,68
69,BG314,3,63,64,65,69
70,BG315,3,63,64,65,70
71,BG32,2,63,64,71,0
72,BG321,3,63,64,71,72
73,BG322,3,63,64,71,73
74,BG323,3,63,64,71,74
75,BG324,3,63,64,71,75
76,BG325,3,63,64,71,76
77,BG33,2,63,64,77,0
78,BG331,3,63,64,77,78
79,BG332,3,63,64,77,79
80,BG333,3,63,64,77,80
81,BG334,3,63,64,77,81
82,BG34,2,63,64,82,0
83,BG341,3,63,64,82,83
84,BG342,3,63,64,82,84
85,BG343,3,63,64,82,85
86,BG344,3,63,64,82,86
87,BG4,1,63,87,0,0
88,BG41,2,63,87,88,0
89,BG411,3,63,87,88,89
90,BG412,3,63,87,88,90
91,BG413,3,63,87,88,91
92,BG414,3,63,87,88,92
93,BG415,3,63,87,88,93
94,BG42,2,63,87,94,0
95,BG421,3,63,87,94,95
96,BG422,3,63,87,94,96
97,BG423,3,63,87,94,97
98,BG424,3,63,87,94,98
99,BG425,3,63,87,94,99
100,BGZ,1,63,100,0,0
101,BGZZ,2,63,100,101,0
102,BGZZZ,3,63,100,101,102
103,CZ,0,103,0,0,0
104,CZ0,1,103,104,0,0
105,CZ01,2,103,104,105,0
106,CZ010,3,103,104,105,106
107,CZ02,2,103,104,107,0
108,CZ020,3,103,104,107,108
109,CZ03,2,103,104,109,0
110,CZ031,3,103,104,109,110
111,CZ032,3,103,104,109,111
112,CZ04,2,103,104,112,0
113,CZ041,3,103,104,112,113
114,CZ042,3,103,104,112,114
115,CZ05,2,103,104,115,0
116,CZ051,3,103,104,115,116
117,CZ052,3,103,104,115,117
118,CZ053,3,103,104,115,118
119,CZ06,2,103,104,119,0
120,CZ063,3,103,104,119,120
121,CZ064,3,103,104,119,121
122,CZ07,2,103,104,122,0
123,CZ071,3,103,104,122,123
124,CZ072,3,103,104,122,124
125,CZ08,2,103,104,125,0
126,CZ080,3,103,104,125,126
127,CZZ,1,103,127,0,0
128,CZZZ,2,103,127,128,0
129,CZZZZ,3,103,127,128,129
130,DK,0,130,0,0,0
131,DK0,1,130,131,0,0
132,DK01,2,130,131,132,0
133,DK011,3,130,131,132,133
134,DK012,3,130,131,132,134
135,DK013,3,130,131,132,135
136,DK014,3,130,131,132,136
137,DK02,2,130,131,137,0
138,DK021,3,130,131,137,138
139,DK022,3,130,131,137,139
140,DK03,2,130,131,140,0
141,DK031,3,130,131,140,141
142,DK032,3,130,131,140,142
143,DK04,2,130,131,143,0
144,DK041,3,130,131,143,144
145,DK042,3,130,131,143,145
146,DK05,2,130,131,146,0
147,DK050,3,130,131,146,147
148,DKZ,1,130,148,0,0
149,DKZZ,2,130,148,149,0
150,DKZZZ,3,130,148,149,150
151,DE,0,151,0,0,0
152,DE1,1,151,152,0,0
153,DE11,2,151,152,153,0
154,DE111,3,151,152,153,154
155,DE112,3,151,152,153,155
156,DE113,3,151,152,153,156
157,DE114,3,151,152,153,157
158,DE115,3,151,152,153,158
159,DE116,3,151,152,153,159
160,DE117,3,151,152,153,160
161,DE118,3,151,152,153,161
162,DE119,3,151,152,153,162
163,DE11A,3,151,152,153,163
164,DE11B,3,151,152,153,164
165,DE11C,3,151,152,153,165
166,DE11D,3,151,152,153,166
167,DE12,2,151,152,167,0
168,DE121,3,151,152,167,168
169,DE122,3,151,152,167,169
170,DE123,3,151,152,167,170
171,DE124,3,151,152,167,171
172,DE125,3,151,152,167,172
173,DE126,3,151,152,167,173
174,DE127,3,151,152,167,174
175,DE128,3,151,152,167,175
176,DE129,3,151,152,167,176
177,DE12A,3,151,152,167,177
178,DE12B,3,151,152,167,178
179,DE12C,3,151,152,167,179
180,DE13,2,151,152,180,0
181,DE131,3,151,152,180,181
182,DE132,3,151,152,180,182
183,DE133,3,151,152,180,183
184,DE134,3,151,152,180,184
185,DE135,3,151,152,180,185
186,DE136,3,151,152,180,186
187,DE137,3,151,152,180,187
188,DE138,3,151,152,180,188
189,DE139,3,151,152,180,189
190,DE13A,3,151,152,180,190
191,DE14,2,151,152,191,0
192,DE141,3,151,152,191,192
