NUTS0_code,process,hour,load
FR,chemicals_and_petrochemicals,1,109.881848486074
FR,chemicals_and_petrochemicals,2,109.900851022439
FR,chemicals_and_petrochemicals,3,109.964685379492
FR,chemicals_and_petrochemicals,4,110.126877811856
FR,chemicals_and_petrochemicals,5,110.453447217318
FR,chemicals_and_petrochemicals,6,110.978821337762
FR,chemicals_and_petrochemicals,7,111.65875052322399
FR,chemicals_and_petrochemicals,8,112.371155767871
FR,chemicals_and_petrochemicals,9,112.97701527705699
FR,chemicals_and_petrochemicals,10,113.38947038732599
FR,chemicals_and_petrochemicals,11,113.591834216418
FR,chemicals_and_petrochemicals,12,113.602209714426
FR,chemicals_and_petrochemicals,13,113.434428005835
FR,chemicals_and_petrochemicals,14,113.099154598029
FR,chemicals_and_petrochemicals,15,112.636524420809
FR,chemicals_and_petrochemicals,16,112.13200005886499
FR,chemicals_and_petrochemicals,17,111.68579331267799
FR,chemicals_and_petrochemicals,18,111.359748761096
FR,chemicals_and_petrochemicals,19,111.151090538698
FR,chemicals_and_petrochemicals,20,111.01516232676501
FR,chemicals_and_petrochemicals,21,110.92082237039101
FR,chemicals_and_petrochemicals,22,110.896933007941
FR,chemicals_and_petrochemicals,23,111.021225609435
FR,chemicals_and_petrochemicals,24,111.340901133692
FR,chemicals_and_petrochemicals,25,111.80041083146999
FR,chemicals_and_petrochemicals,26,112.27175558709499
FR,chemicals_and_petrochemicals,27,112.668076773151
FR,chemicals_and_petrochemicals,28,113.018385142418
FR,chemicals_and_petrochemicals,29,113.432137560135
FR,chemicals_and_petrochemicals,30,113.99758839030001
FR,chemicals_and_petrochemicals,31,114.702623382838
FR,chemicals_and_petrochemicals,32,115.435766388236
FR,chemicals_and_petrochemicals,33,116.058350640809
FR,chemicals_and_petrochemicals,34,116.482055052665
FR,chemicals_and_petrochemicals,35,116.689938153278
FR,chemicals_and_petrochemicals,36,116.700596632641
FR,chemicals_and_petrochemicals,37,116.528238845361
FR,chemicals_and_petrochemicals,38,116.18382118989099
FR,chemicals_and_petrochemicals,39,115.708573236197
FR,chemicals_and_petrochemicals,40,115.190288475693
FR,chemicals_and_petrochemicals,41,114.731705886679
FR,chemicals_and_petrochemicals,42,114.39542551275
FR,chemicals_and_petrochemicals,43,114.17425459396601
FR,chemicals_and_petrochemicals,44,114.007638524844
FR,chemicals_and_petrochemicals,45,113.82761959301399
FR,chemicals_and_petrochemicals,46,113.60371786833099
FR,chemicals_and_petrochemicals,47,113.358941641238
FR,chemicals_and_petrochemicals,48,113.145391014882
FR,chemicals_and_petrochemicals,49,113.00322186483601
FR,chemicals_and_petrochemicals,50,112.94494468614
FR,chemicals_and_petrochemicals,51,112.977827848889
FR,chemicals_and_petrochemicals,52,113.13378543864701
FR,chemicals_and_petrochemicals,53,113.46656681318001
FR,chemicals_and_petrochemicals,54,114.005739334103
FR,chemicals_and_petrochemicals,55,114.704131531173
FR,chemicals_and_petrochemicals,56,115.435966918034
FR,chemicals_and_petrochemicals,57,116.058350640809
FR,chemicals_and_petrochemicals,58,116.482055052665
FR,chemicals_and_petrochemicals,59,116.689938153278
FR,chemicals_and_petrochemicals,60,116.700596632641
FR,chemicals_and_petrochemicals,61,116.528238845361
FR,chemicals_and_petrochemicals,62,116.18382118989099
FR,chemicals_and_petrochemicals,63,115.708573236197
FR,chemicals_and_petrochemicals,64,115.190288475693
FR,chemicals_and_petrochemicals,65,114.731705886679
FR,chemicals_and_petrochemicals,66,114.39542551275
FR,chemicals_and_petrochemicals,67,114.17425459396601
