NUTS0_code,process,hour,load
NO,chemicals_and_petrochemicals,1,110.394625041558
NO,chemicals_and_petrochemicals,2,110.41371625549101
NO,chemicals_and_petrochemicals,3,110.477848503071
NO,chemicals_and_petrochemicals,4,110.640797825476
NO,chemicals_and_petrochemicals,5,110.968891205436
NO,chemicals_and_petrochemicals,6,111.496717045937
NO,chemicals_and_petrochemicals,7,112.179819200824
NO,chemicals_and_petrochemicals,8,112.895548968243
NO,chemicals_and_petrochemicals,9,113.504235792008
NO,chemicals_and_petrochemicals,10,113.91861567250601
NO,chemicals_and_petrochemicals,11,114.12192385618201
NO,chemicals_and_petrochemicals,12,114.13234777267
NO,chemicals_and_petrochemicals,13,113.96378309102501
NO,chemicals_and_petrochemicals,14,113.626945090471
NO,chemicals_and_petrochemicals,15,113.162155995177
NO,chemicals_and_petrochemicals,16,112.655277211023
NO,chemicals_and_petrochemicals,17,112.206988188633
NO,chemicals_and_petrochemicals,18,111.879422111845
NO,chemicals_and_petrochemicals,19,111.669790161338
NO,chemicals_and_petrochemicals,20,111.53322762443399
NO,chemicals_and_petrochemicals,21,111.43844741956998
NO,chemicals_and_petrochemicals,22,111.414446574603
NO,chemicals_and_petrochemicals,23,111.539319202125
NO,chemicals_and_petrochemicals,24,111.86048652977301
NO,chemicals_and_petrochemicals,25,112.32214058354201
NO,chemicals_and_petrochemicals,26,112.795684924845
NO,chemicals_and_petrochemicals,27,113.19385559027799
NO,chemicals_and_petrochemicals,28,113.545798714706
NO,chemicals_and_petrochemicals,29,113.961481956691
NO,chemicals_and_petrochemicals,30,114.529571529586
NO,chemicals_and_petrochemicals,31,115.237896650748
NO,chemicals_and_petrochemicals,32,115.974460954115
NO,chemicals_and_petrochemicals,33,116.599950569247
NO,chemicals_and_petrochemicals,34,117.02563224752
NO,chemicals_and_petrochemicals,35,117.23448545904499
NO,chemicals_and_petrochemicals,36,117.245193677455
NO,chemicals_and_petrochemicals,37,117.072031562311
NO,chemicals_and_petrochemicals,38,116.726006641387
NO,chemicals_and_petrochemicals,39,116.248540887283
NO,chemicals_and_petrochemicals,40,115.727837490053
NO,chemicals_and_petrochemicals,41,115.267114871511
NO,chemicals_and_petrochemicals,42,114.929265205709
NO,chemicals_and_petrochemicals,43,114.707062166847
NO,chemicals_and_petrochemicals,44,114.53966856426399
NO,chemicals_and_petrochemicals,45,114.358809552939
NO,chemicals_and_petrochemicals,46,114.13386296455299
NO,chemicals_and_petrochemicals,47,113.887944460438
NO,chemicals_and_petrochemicals,48,113.673397274995
NO,chemicals_and_petrochemicals,49,113.530564675908
NO,chemicals_and_petrochemicals,50,113.472015539911
NO,chemicals_and_petrochemicals,51,113.505052155802
NO,chemicals_and_petrochemicals,52,113.661737539976
NO,chemicals_and_petrochemicals,53,113.99607187788999
NO,chemicals_and_petrochemicals,54,114.53776051072599
NO,chemicals_and_petrochemicals,55,115.23941183703501
NO,chemicals_and_petrochemicals,56,115.97466241970899
NO,chemicals_and_petrochemicals,57,116.599950569247
NO,chemicals_and_petrochemicals,58,117.02563224752
NO,chemicals_and_petrochemicals,59,117.23448545904499
NO,chemicals_and_petrochemicals,60,117.245193677455
NO,chemicals_and_petrochemicals,61,117.072031562311
NO,chemicals_and_petrochemicals,62,116.726006641387
NO,chemicals_and_petrochemicals,63,116.248540887283
NO,chemicals_and_petrochemicals,64,115.727837490053
NO,chemicals_and_petrochemicals,65,115.267114871511
NO,chemicals_and_petrochemicals,66,114.929265205709
NO,chemicals_and_petrochemicals,67,114.707062166847
NO,chemicals_and_petrochemicals,68,114.53966856426399
NO,chemicals_and_petrochemicals,69,114.358809552939
NO,chemicals_and_petrochemicals,70,114.13386296455299
NO,chemicals_and_petrochemicals,71,113.887944460438
NO,chemicals_and_petrochemicals,72,113.673397274995
NO,chemicals_and_petrochemicals,73,113.530564675908
NO,chemicals_and_petrochemicals,74,113.472015539911
NO,chemicals_and_petrochemicals,75,113.505052155802
NO,chemicals_and_petrochemicals,76,113.661737539976
NO,chemicals_and_petrochemicals,77,113.99607187788999
NO,chemicals_and_petrochemicals,78,114.53776051072599
NO,chemicals_and_petrochemicals,79,115.23941183703501
NO,chemicals_and_petrochemicals,80,115.97466241970899
NO,chemicals_and_petrochemicals,81,116.599950569247
NO,chemicals_and_petrochemicals,82,117.02563224752
NO,chemicals_and_petrochemicals,83,117.23448545904499
NO,chemicals_and_petrochemicals,84,117.245193677455
NO,chemicals_and_petrochemicals,85,117.072031562311
NO,chemicals_and_petrochemicals,86,116.726006641387
NO,chemicals_and_petrochemicals,87,116.248540887283
NO,chemicals_and_petrochemicals,88,115.727837490053
NO,chemicals_and_petrochemicals,89,115.267114871511
NO,chemicals_and_petrochemicals,90,114.929265205709
NO,chemicals_and_petrochemicals,91,114.707062166847
NO,chemicals_and_petrochemicals,92,114.53966856426399
NO,chemicals_and_petrochemicals,93,114.358809552939
NO,chemicals_and_petrochemicals,94,114.13386296455299
NO,chemicals_and_petrochemicals,95,113.887944460438
NO,chemicals_and_petrochemicals,96,113.673397274995
NO,chemicals_and_petrochemicals,97,113.530564675908
NO,chemicals_and_petrochemicals,98,113.472015539911
NO,chemicals_and_petrochemicals,99,113.505052155802
NO,chemicals_and_petrochemicals,100,113.661737539976
NO,chemicals_and_petrochemicals,101,113.99607187788999
NO,chemicals_and_petrochemicals,102,114.53776051072599
NO,chemicals_and_petrochemicals,103,115.23941183703501
NO,chemicals_and_petrochemicals,104,115.97466241970899
NO,chemicals_and_petrochemicals,105,116.599950569247
NO,chemicals_and_petrochemicals,106,117.02563224752
NO,chemicals_and_petrochemicals,107,117.23448545904499
NO,chemicals_and_petrochemicals,108,117.245193677455
NO,chemicals_and_petrochemicals,109,117.072031562311
NO,chemicals_and_petrochemicals,110,116.726006641387
NO,chemicals_and_petrochemicals,111,116.248540887283
NO,chemicals_and_petrochemicals,112,115.727837490053
NO,chemicals_and_petrochemicals,113,115.266945989443
NO,chemicals_and_petrochemicals,114,114.92799507422
NO,chemicals_and_petrochemicals,115,114.70019942933996
NO,chemicals_and_petrochemicals,116,114.51068664086901
NO,chemicals_and_petrochemicals,117,114.261695740488
NO,chemicals_and_petrochemicals,118,113.873309246716
NO,chemicals_and_petrochemicals,119,113.322041709625
NO,chemicals_and_petrochemicals,120,112.663197376176
NO,chemicals_and_petrochemicals,121,112.01682210345699
NO,chemicals_and_petrochemicals,122,111.51353933873101
NO,chemicals_and_petrochemicals,123,111.239760671787
NO,chemicals_and_petrochemicals,124,111.229280654742
NO,chemicals_and_petrochemicals,125,111.487981933903
NO,chemicals_and_petrochemicals,126,111.995483745712
NO,chemicals_and_petrochemicals,127,112.67592476233
NO,chemicals_and_petrochemicals,128,113.39371042971399
NO,chemicals_and_petrochemicals,129,114.00491334459299
NO,chemicals_and_petrochemicals,130,114.421121092598
NO,chemicals_and_petrochemicals,131,114.62532608724399
NO,chemicals_and_petrochemicals,132,114.63579598458
NO,chemicals_and_petrochemicals,133,114.466487748725
NO,chemicals_and_petrochemicals,134,114.12816392498101
NO,chemicals_and_petrochemicals,135,113.66132460253
NO,chemicals_and_petrochemicals,136,113.152209929756
NO,chemicals_and_petrochemicals,137,112.701708525735
NO,chemicals_and_petrochemicals,138,112.371165538151
NO,chemicals_and_petrochemicals,139,112.152828810475
NO,chemicals_and_petrochemicals,140,111.98489310411101
NO,chemicals_and_petrochemicals,141,111.79491414122101
NO,chemicals_and_petrochemicals,142,111.54344040940599
NO,chemicals_and_petrochemicals,143,111.244082052024
NO,chemicals_and_petrochemicals,144,110.948588645086
NO,chemicals_and_petrochemicals,145,110.711783123756
NO,chemicals_and_petrochemicals,146,110.568731675672
NO,chemicals_and_petrochemicals,147,110.541837146917
NO,chemicals_and_petrochemicals,148,110.66278303903799
NO,chemicals_and_petrochemicals,149,110.97508408215599
NO,chemicals_and_petrochemicals,150,111.498121057549
NO,chemicals_and_petrochemicals,151,112.180064255623
NO,chemicals_and_petrochemicals,152,112.895581551768
NO,chemicals_and_petrochemicals,153,113.504235792008
NO,chemicals_and_petrochemicals,154,113.91861567250601
NO,chemicals_and_petrochemicals,155,114.12192385618201
NO,chemicals_and_petrochemicals,156,114.13234777267
