NUTS0_code,process,hour,load
CY,food_and_tobacco,1,110.46625922287399
CY,food_and_tobacco,2,110.48536137060199
CY,food_and_tobacco,3,110.54950969081
CY,food_and_tobacco,4,110.71242757455799
CY,food_and_tobacco,5,111.040272048725
CY,food_and_tobacco,6,111.567330279872
CY,food_and_tobacco,7,112.24887955737101
CY,food_and_tobacco,8,112.96233166381799
CY,food_and_tobacco,9,113.568514649757
CY,food_and_tobacco,10,113.980842521155
CY,food_and_tobacco,11,114.18304963903601
CY,food_and_tobacco,12,114.193562753859
CY,food_and_tobacco,13,114.02639644109101
CY,food_and_tobacco,14,113.692273982059
CY,food_and_tobacco,15,113.231220069615
CY,food_and_tobacco,16,112.728406101949
CY,food_and_tobacco,17,112.28367621062401
CY,food_and_tobacco,18,111.958571415222
CY,food_and_tobacco,19,111.750100650661
CY,food_and_tobacco,20,111.613394284538
CY,food_and_tobacco,21,111.51710131483499
CY,food_and_tobacco,22,111.490090992452
CY,food_and_tobacco,23,111.610532491917
CY,food_and_tobacco,24,111.92639215771901
CY,food_and_tobacco,25,112.382829625087
CY,food_and_tobacco,26,112.852202885758
CY,food_and_tobacco,27,113.24768327923701
CY,food_and_tobacco,28,113.59817746848199
CY,food_and_tobacco,29,114.012977447758
CY,food_and_tobacco,30,114.579994024776
CY,food_and_tobacco,31,115.28654347581998
CY,food_and_tobacco,32,116.02061748733101
CY,food_and_tobacco,33,116.64341317041401
CY,food_and_tobacco,34,117.06690493143101
CY,food_and_tobacco,35,117.2745868622
CY,food_and_tobacco,36,117.285384622475
CY,food_and_tobacco,37,117.113692236179
CY,food_and_tobacco,38,116.770523320405
CY,food_and_tobacco,39,116.296986247486
CY,food_and_tobacco,40,115.780558454456
CY,food_and_tobacco,41,115.32358183407
CY,food_and_tobacco,42,114.988334409924
CY,food_and_tobacco,43,114.76741249679701
CY,food_and_tobacco,44,114.600083566896
CY,food_and_tobacco,45,114.41826029995501
CY,food_and_tobacco,46,114.191596396733
CY,food_and_tobacco,47,113.94365939231001
CY,food_and_tobacco,48,113.72731816845
CY,food_and_tobacco,49,113.58325334227301
CY,food_and_tobacco,50,113.52405093666701
CY,food_and_tobacco,51,113.55681572085
CY,food_and_tobacco,52,113.71334689047701
CY,food_and_tobacco,53,114.047337741889
CY,food_and_tobacco,54,114.58812862962
CY,food_and_tobacco,55,115.28804859784701
CY,food_and_tobacco,56,116.020817614737
CY,food_and_tobacco,57,116.64341317041401
CY,food_and_tobacco,58,117.06690493143101
CY,food_and_tobacco,59,117.2745868622
CY,food_and_tobacco,60,117.285384622475
CY,food_and_tobacco,61,117.113692236179
CY,food_and_tobacco,62,116.770523320405
CY,food_and_tobacco,63,116.296986247486
CY,food_and_tobacco,64,115.780558454456
CY,food_and_tobacco,65,115.32358183407
CY,food_and_tobacco,66,114.988334409924
CY,food_and_tobacco,67,114.76741249679701
CY,food_and_tobacco,68,114.600083566896
CY,food_and_tobacco,69,114.41826029995501
CY,food_and_tobacco,70,114.191596396733
CY,food_and_tobacco,71,113.94365939231001
CY,food_and_tobacco,72,113.72731816845
CY,food_and_tobacco,73,113.58325334227301
CY,food_and_tobacco,74,113.52405093666701
CY,food_and_tobacco,75,113.55681572085
CY,food_and_tobacco,76,113.71334689047701
CY,food_and_tobacco,77,114.047337741889
CY,food_and_tobacco,78,114.58812862962
CY,food_and_tobacco,79,115.28804859784701
CY,food_and_tobacco,80,116.020817614737
CY,food_and_tobacco,81,116.64341317041401
CY,food_and_tobacco,82,117.06690493143101
CY,food_and_tobacco,83,117.2745868622
CY,food_and_tobacco,84,117.285384622475
CY,food_and_tobacco,85,117.113692236179
CY,food_and_tobacco,86,116.770523320405
CY,food_and_tobacco,87,116.296986247486
CY,food_and_tobacco,88,115.780558454456
CY,food_and_tobacco,89,115.32358183407
CY,food_and_tobacco,90,114.988334409924
CY,food_and_tobacco,91,114.76741249679701
CY,food_and_tobacco,92,114.600083566896
CY,food_and_tobacco,93,114.41826029995501
CY,food_and_tobacco,94,114.191596396733
CY,food_and_tobacco,95,113.94365939231001
CY,food_and_tobacco,96,113.72731816845
CY,food_and_tobacco,97,113.58325334227301
CY,food_and_tobacco,98,113.52405093666701
CY,food_and_tobacco,99,113.55681572085
CY,food_and_tobacco,100,113.71334689047701
CY,food_and_tobacco,101,114.047337741889
CY,food_and_tobacco,102,114.58812862962
CY,food_and_tobacco,103,115.28804859784701
CY,food_and_tobacco,104,116.020817614737
CY,food_and_tobacco,105,116.64341317041401
CY,food_and_tobacco,106,117.06690493143101
CY,food_and_tobacco,107,117.2745868622
CY,food_and_tobacco,108,117.285384622475
CY,food_and_tobacco,109,117.113692236179
CY,food_and_tobacco,110,116.770523320405
CY,food_and_tobacco,111,116.296986247486
CY,food_and_tobacco,112,115.780558454456
CY,food_and_tobacco,113,115.323381706663
CY,food_and_tobacco,114,114.986829287897
CY,food_and_tobacco,115,114.759280065249
CY,food_and_tobacco,116,114.56573961772301
CY,food_and_tobacco,117,114.303179192559
CY,food_and_tobacco,118,113.882836915171
CY,food_and_tobacco,119,113.27305740497101
CY,food_and_tobacco,120,112.530218376527
CY,food_and_tobacco,121,111.789449025654
CY,food_and_tobacco,122,111.203231619603
CY,food_and_tobacco,123,110.872417064737
CY,food_and_tobacco,124,110.83085881404301
CY,food_and_tobacco,125,111.07523602864401
CY,food_and_tobacco,126,111.575545153337
CY,food_and_tobacco,127,112.250384679398
CY,food_and_tobacco,128,112.96253179122499
CY,food_and_tobacco,129,113.568514649757
CY,food_and_tobacco,130,113.980842521155
CY,food_and_tobacco,131,114.18304963903601
CY,food_and_tobacco,132,114.193562753859
CY,food_and_tobacco,133,114.02639644109101
CY,food_and_tobacco,134,113.692273982059
CY,food_and_tobacco,135,113.231220069615
CY,food_and_tobacco,136,112.728406101949
CY,food_and_tobacco,137,112.283476083217
CY,food_and_tobacco,138,111.957066293195
CY,food_and_tobacco,139,111.741968219113
CY,food_and_tobacco,140,111.57905033536501
CY,food_and_tobacco,141,111.40202020743901
CY,food_and_tobacco,142,111.18133151089
CY,food_and_tobacco,143,110.939930504577
CY,food_and_tobacco,144,110.729292365796
CY,food_and_tobacco,145,110.589025308468
CY,food_and_tobacco,146,110.531383568693
CY,food_and_tobacco,147,110.563284623124
CY,food_and_tobacco,148,110.715689392049
CY,food_and_tobacco,149,111.040875734513
CY,food_and_tobacco,150,111.567410548494
CY,food_and_tobacco,151,112.24887955737101
CY,food_and_tobacco,152,112.96233166381799
CY,food_and_tobacco,153,113.568514649757
CY,food_and_tobacco,154,113.980842521155
CY,food_and_tobacco,155,114.18304963903601
CY,food_and_tobacco,156,114.193562753859
CY,food_and_tobacco,157,114.02639644109101
CY,food_and_tobacco,158,113.692273982059
CY,food_and_tobacco,159,113.231220069615
CY,food_and_tobacco,160,112.728406101949
CY,food_and_tobacco,161,112.28367621062401
CY,food_and_tobacco,162,111.958571415222
CY,food_and_tobacco,163,111.750100650661
CY,food_and_tobacco,164,111.613394284538
CY,food_and_tobacco,165,111.51710131483499
CY,food_and_tobacco,166,111.490090992452
CY,food_and_tobacco,167,111.610532491917
CY,food_and_tobacco,168,111.92639215771901
CY,food_and_tobacco,169,112.382829625087
CY,food_and_tobacco,170,112.852202885758
CY,food_and_tobacco,171,113.24768327923701
CY,food_and_tobacco,172,113.59817746848199
CY,food_and_tobacco,173,114.012977447758
CY,food_and_tobacco,174,114.579994024776
CY,food_and_tobacco,175,115.28654347581998
CY,food_and_tobacco,176,116.02061748733101
CY,food_and_tobacco,177,116.64341317041401
CY,food_and_tobacco,178,117.06690493143101
CY,food_and_tobacco,179,117.2745868622
CY,food_and_tobacco,180,117.285384622475
CY,food_and_tobacco,181,117.113692236179
CY,food_and_tobacco,182,116.770523320405
CY,food_and_tobacco,183,116.296986247486
CY,food_and_tobacco,184,115.780558454456
CY,food_and_tobacco,185,115.32358183407
CY,food_and_tobacco,186,114.988334409924
CY,food_and_tobacco,187,114.76741249679701
CY,food_and_tobacco,188,114.600083566896
CY,food_and_tobacco,189,114.41826029995501
CY,food_and_tobacco,190,114.191596396733
CY,food_and_tobacco,191,113.94365939231001
CY,food_and_tobacco,192,113.72731816845
CY,food_and_tobacco,193,113.58325334227301
CY,food_and_tobacco,194,113.52405093666701
CY,food_and_tobacco,195,113.55681572085
CY,food_and_tobacco,196,113.71334689047701
CY,food_and_tobacco,197,114.047337741889
CY,food_and_tobacco,198,114.58812862962
CY,food_and_tobacco,199,115.28804859784701
CY,food_and_tobacco,200,116.020817614737
CY,food_and_tobacco,201,116.64341317041401
CY,food_and_tobacco,202,117.06690493143101
CY,food_and_tobacco,203,117.2745868622
CY,food_and_tobacco,204,117.285384622475
CY,food_and_tobacco,205,117.113692236179
CY,food_and_tobacco,206,116.770523320405
CY,food_and_tobacco,207,116.296986247486
CY,food_and_tobacco,208,115.780558454456
CY,food_and_tobacco,209,115.32358183407
CY,food_and_tobacco,210,114.988334409924
CY,food_and_tobacco,211,114.76741249679701
CY,food_and_tobacco,212,114.600083566896
CY,food_and_tobacco,213,114.41826029995501
CY,food_and_tobacco,214,114.191596396733
CY,food_and_tobacco,215,113.94365939231001
CY,food_and_tobacco,216,113.72731816845
CY,food_and_tobacco,217,113.58325334227301
CY,food_and_tobacco,218,113.52405093666701
CY,food_and_tobacco,219,113.55681572085
CY,food_and_tobacco,220,113.71334689047701
CY,food_and_tobacco,221,114.047337741889
CY,food_and_tobacco,222,114.58812862962
CY,food_and_tobacco,223,115.28804859784701
CY,food_and_tobacco,224,116.020817614737
CY,food_and_tobacco,225,116.64341317041401
CY,food_and_tobacco,226,117.06690493143101
CY,food_and_tobacco,227,117.2745868622
CY,food_and_tobacco,228,117.285384622475
CY,food_and_tobacco,229,117.113692236179
CY,food_and_tobacco,230,116.770523320405
CY,food_and_tobacco,231,116.296986247486
CY,food_and_tobacco,232,115.780558454456
CY,food_and_tobacco,233,115.32358183407
CY,food_and_tobacco,234,114.988334409924
CY,food_and_tobacco,235,114.76741249679701
CY,food_and_tobacco,236,114.600083566896
CY,food_and_tobacco,237,114.41826029995501
CY,food_and_tobacco,238,114.191596396733
CY,food_and_tobacco,239,113.94365939231001
CY,food_and_tobacco,240,113.72731816845
CY,food_and_tobacco,241,113.58325334227301
CY,food_and_tobacco,242,113.52405093666701
CY,food_and_tobacco,243,113.55681572085
CY,food_and_tobacco,244,113.71334689047701
CY,food_and_tobacco,245,114.047337741889
CY,food_and_tobacco,246,114.58812862962
CY,food_and_tobacco,247,115.28804859784701
CY,food_and_tobacco,248,116.020817614737
CY,food_and_tobacco,249,116.64341317041401
CY,food_and_tobacco,250,117.06690493143101
CY,food_and_tobacco,251,117.2745868622
CY,food_and_tobacco,252,117.285384622475
CY,food_and_tobacco,253,117.113692236179
CY,food_and_tobacco,254,116.770523320405
CY,food_and_tobacco,255,116.296986247486
CY,food_and_tobacco,256,115.780558454456
CY,food_and_tobacco,257,115.32358183407
CY,food_and_tobacco,258,114.988334409924
CY,food_and_tobacco,259,114.76741249679701
CY,food_and_tobacco,260,114.600083566896
CY,food_and_tobacco,261,114.41826029995501
CY,food_and_tobacco,262,114.191596396733
CY,food_and_tobacco,263,113.94365939231001
CY,food_and_tobacco,264,113.72731816845
CY,food_and_tobacco,265,113.58325334227301
CY,food_and_tobacco,266,113.52405093666701
CY,food_and_tobacco,267,113.55681572085
CY,food_and_tobacco,268,113.71334689047701
CY,food_and_tobacco,269,114.047337741889
CY,food_and_tobacco,270,114.58812862962
CY,food_and_tobacco,271,115.28804859784701
CY,food_and_tobacco,272,116.020817614737
CY,food_and_tobacco,273,116.64341317041401
CY,food_and_tobacco,274,117.06690493143101
CY,food_and_tobacco,275,117.2745868622
CY,food_and_tobacco,276,117.285384622475
CY,food_and_tobacco,277,117.113692236179
CY,food_and_tobacco,278,116.770523320405
CY,food_and_tobacco,279,116.296986247486
CY,food_and_tobacco,280,115.780558454456
CY,food_and_tobacco,281,115.323414566856
CY,food_and_tobacco,282,114.987076423465
CY,food_and_tobacco,283,114.760615380961
CY,food_and_tobacco,284,114.571378769391
CY,food_and_tobacco,285,114.32207509225401
CY,food_and_tobacco,286,113.93353410018801
CY,food_and_tobacco,287,113.383167814709
CY,food_and_tobacco,288,112.72677781278699
CY,food_and_tobacco,289,112.083985176788
CY,food_and_tobacco,290,111.584301718939
CY,food_and_tobacco,291,111.31318557050699
CY,food_and_tobacco,292,111.304152882887
CY,food_and_tobacco,293,111.563244331047
CY,food_and_tobacco,294,112.070200414143
CY,food_and_tobacco,295,112.74915805767999
CY,food_and_tobacco,296,113.46469121139
CY,food_and_tobacco,297,114.073401814433
CY,food_and_tobacco,298,114.48756275594201
CY,food_and_tobacco,299,114.69066881820801
CY,food_and_tobacco,300,114.701228670779
CY,food_and_tobacco,301,114.533319193183
CY,food_and_tobacco,302,114.197711338824
CY,food_and_tobacco,303,113.734607736787
CY,food_and_tobacco,304,113.229558428461
CY,food_and_tobacco,305,112.782617541315
CY,food_and_tobacco,306,112.454542368505
CY,food_and_tobacco,307,112.237399861069
CY,food_and_tobacco,308,112.069453863614
CY,food_and_tobacco,309,111.878379971649
CY,food_and_tobacco,310,111.624908882553
CY,food_and_tobacco,311,111.323021464378
CY,food_and_tobacco,312,111.02499787322701
CY,food_and_tobacco,313,110.786130521179
CY,food_and_tobacco,314,110.641698577543
CY,food_and_tobacco,315,110.61404304682699
CY,food_and_tobacco,316,110.73459979268101
CY,food_and_tobacco,317,111.04651756996401
CY,food_and_tobacco,318,111.568746221053
CY,food_and_tobacco,319,112.249126692939
CY,food_and_tobacco,320,112.96236452401101
CY,food_and_tobacco,321,113.568514649757
CY,food_and_tobacco,322,113.980842521155
CY,food_and_tobacco,323,114.18304963903601
CY,food_and_tobacco,324,114.193562753859
CY,food_and_tobacco,325,114.02639644109101
