NUTS0_code,process,hour,load
NO,food_and_tobacco,1,110.357734157565
NO,food_and_tobacco,2,110.376817538822
NO,food_and_tobacco,3,110.44090283797199
NO,food_and_tobacco,4,110.60366066674801
NO,food_and_tobacco,5,110.931183057563
NO,food_and_tobacco,6,111.45772349233201
NO,food_and_tobacco,7,112.13860319723601
NO,food_and_tobacco,8,112.85135438887899
NO,food_and_tobacco,9,113.456941844123
NO,food_and_tobacco,10,113.868864633376
NO,food_and_tobacco,11,114.07087309747101
NO,food_and_tobacco,12,114.081375883923
NO,food_and_tobacco,13,113.91437379989901
NO,food_and_tobacco,14,113.580579591882
NO,food_and_tobacco,15,113.119978631374
NO,food_and_tobacco,16,112.617658641861
NO,food_and_tobacco,17,112.173365665308
NO,food_and_tobacco,18,111.84858026172199
NO,food_and_tobacco,19,111.64031430452499
NO,food_and_tobacco,20,111.50374224246401
NO,food_and_tobacco,21,111.4075438736
NO,food_and_tobacco,22,111.380560086894
NO,food_and_tobacco,23,111.50088326134599
NO,food_and_tobacco,24,111.816432617999
NO,food_and_tobacco,25,112.272421668753
NO,food_and_tobacco,26,112.741333804333
NO,food_and_tobacco,27,113.13642566709
NO,food_and_tobacco,28,113.48657552128599
NO,food_and_tobacco,29,113.900967989752
NO,food_and_tobacco,30,114.467427514223
NO,food_and_tobacco,31,115.173282831819
NO,food_and_tobacco,32,115.906635669004
NO,food_and_tobacco,33,116.52881950062599
NO,food_and_tobacco,34,116.951895211789
NO,food_and_tobacco,35,117.159373110166
NO,food_and_tobacco,36,117.170160262427
NO,food_and_tobacco,37,116.99863655141199
NO,food_and_tobacco,38,116.655804774139
NO,food_and_tobacco,39,116.18273291695299
NO,food_and_tobacco,40,115.66681247666901
NO,food_and_tobacco,41,115.21028480257601
NO,food_and_tobacco,42,114.875366734641
NO,food_and_tobacco,43,114.654661861226
NO,food_and_tobacco,44,114.487497319829
NO,food_and_tobacco,45,114.30585268102301
NO,food_and_tobacco,46,114.0794114586
NO,food_and_tobacco,47,113.831718034251
NO,food_and_tobacco,48,113.615589349908
NO,food_and_tobacco,49,113.47166605694599
NO,food_and_tobacco,50,113.412521813397
NO,food_and_tobacco,51,113.445254408563
NO,food_and_tobacco,52,113.60163179770001
NO,food_and_tobacco,53,113.935294527392
NO,food_and_tobacco,54,114.475554127408
NO,food_and_tobacco,55,115.174786475173
NO,food_and_tobacco,56,115.90683559979999
NO,food_and_tobacco,57,116.52881950062599
NO,food_and_tobacco,58,116.951895211789
NO,food_and_tobacco,59,117.159373110166
NO,food_and_tobacco,60,117.170160262427
NO,food_and_tobacco,61,116.99863655141199
NO,food_and_tobacco,62,116.655804774139
NO,food_and_tobacco,63,116.18273291695299
NO,food_and_tobacco,64,115.66681247666901
NO,food_and_tobacco,65,115.21028480257601
NO,food_and_tobacco,66,114.875366734641
NO,food_and_tobacco,67,114.654661861226
NO,food_and_tobacco,68,114.487497319829
