NUTS0_code,process,hour,load
NO,iron_and_steel,1,112.04069040002399
NO,iron_and_steel,2,112.05992080082198
NO,iron_and_steel,3,112.122454313187
NO,iron_and_steel,4,112.27411168719802
NO,iron_and_steel,5,112.560902985704
NO,iron_and_steel,6,112.985554544039
NO,iron_and_steel,7,113.479168455073
NO,iron_and_steel,8,113.931278470476
NO,iron_and_steel,9,114.25907297288799
NO,iron_and_steel,10,114.44747196959
NO,iron_and_steel,11,114.530475405639
NO,iron_and_steel,12,114.54930066814501
NO,iron_and_steel,13,114.529042894616
NO,iron_and_steel,14,114.480682073279
NO,iron_and_steel,15,114.412762303702
NO,iron_and_steel,16,114.33783053882
NO,iron_and_steel,17,114.267976322901
NO,iron_and_steel,18,114.20299626082
NO,iron_and_steel,19,114.12002996997101
NO,iron_and_steel,20,113.97603027937001
NO,iron_and_steel,21,113.735043394975
NO,iron_and_steel,22,113.41210745941099
NO,iron_and_steel,23,113.089177771952
NO,iron_and_steel,24,112.865815990271
NO,iron_and_steel,25,112.78535347994
NO,iron_and_steel,26,112.820447749058
NO,iron_and_steel,27,112.931347161128
NO,iron_and_steel,28,113.121945084225
NO,iron_and_steel,29,113.429800590439
NO,iron_and_steel,30,113.86448438867
NO,iron_and_steel,31,114.363740373603
NO,iron_and_steel,32,114.81975759923901
NO,iron_and_steel,33,115.150167002305
NO,iron_and_steel,34,115.340035302203
NO,iron_and_steel,35,115.423686072983
NO,iron_and_steel,36,115.44265815165501
NO,iron_and_steel,37,115.42224238996201
NO,iron_and_steel,38,115.373504407862
NO,iron_and_steel,39,115.30505493942101
NO,iron_and_steel,40,115.22953878989
NO,iron_and_steel,41,115.159080865458
NO,iron_and_steel,42,115.09320980400801
NO,iron_and_steel,43,115.007645202598
NO,iron_and_steel,44,114.85480506929301
NO,iron_and_steel,45,114.588167474075
NO,iron_and_steel,46,114.205688659082
NO,iron_and_steel,47,113.77370379700899
NO,iron_and_steel,48,113.393583974512
NO,iron_and_steel,49,113.136806595127
NO,iron_and_steel,50,113.017007348496
NO,iron_and_steel,51,113.021743476224
NO,iron_and_steel,52,113.15561153085699
NO,iron_and_steel,53,113.43984259067
NO,iron_and_steel,54,113.866861395945
NO,iron_and_steel,55,114.364180094345
NO,iron_and_steel,56,114.81981606637301
NO,iron_and_steel,57,115.150167002305
NO,iron_and_steel,58,115.340035302203
NO,iron_and_steel,59,115.423686072983
NO,iron_and_steel,60,115.44265815165501
NO,iron_and_steel,61,115.42224238996201
NO,iron_and_steel,62,115.373504407862
NO,iron_and_steel,63,115.30505493942101
NO,iron_and_steel,64,115.22953878989
NO,iron_and_steel,65,115.159080865458
NO,iron_and_steel,66,115.09320980400801
NO,iron_and_steel,67,115.007645202598
NO,iron_and_steel,68,114.85480506929301
NO,iron_and_steel,69,114.588167474075
NO,iron_and_steel,70,114.205688659082
NO,iron_and_steel,71,113.77370379700899
NO,iron_and_steel,72,113.393583974512
NO,iron_and_steel,73,113.136806595127
NO,iron_and_steel,74,113.017007348496
NO,iron_and_steel,75,113.021743476224
NO,iron_and_steel,76,113.15561153085699
NO,iron_and_steel,77,113.43984259067
NO,iron_and_steel,78,113.866861395945
NO,iron_and_steel,79,114.364180094345
NO,iron_and_steel,80,114.81981606637301
NO,iron_and_steel,81,115.150167002305
NO,iron_and_steel,82,115.340035302203
NO,iron_and_steel,83,115.423686072983
NO,iron_and_steel,84,115.44265815165501
NO,iron_and_steel,85,115.42224238996201
NO,iron_and_steel,86,115.373504407862
NO,iron_and_steel,87,115.30505493942101
NO,iron_and_steel,88,115.22953878989
NO,iron_and_steel,89,115.159080865458
NO,iron_and_steel,90,115.09320980400801
NO,iron_and_steel,91,115.007645202598
NO,iron_and_steel,92,114.85480506929301
NO,iron_and_steel,93,114.588167474075
NO,iron_and_steel,94,114.205688659082
NO,iron_and_steel,95,113.77370379700899
NO,iron_and_steel,96,113.393583974512
NO,iron_and_steel,97,113.136806595127
NO,iron_and_steel,98,113.017007348496
NO,iron_and_steel,99,113.021743476224
NO,iron_and_steel,100,113.15561153085699
NO,iron_and_steel,101,113.43984259067
NO,iron_and_steel,102,113.866861395945
NO,iron_and_steel,103,114.364180094345
NO,iron_and_steel,104,114.81981606637301
NO,iron_and_steel,105,115.150167002305
NO,iron_and_steel,106,115.340035302203
NO,iron_and_steel,107,115.423686072983
NO,iron_and_steel,108,115.44265815165501
NO,iron_and_steel,109,115.42224238996201
NO,iron_and_steel,110,115.373504407862
NO,iron_and_steel,111,115.30505493942101
NO,iron_and_steel,112,115.22953878989
NO,iron_and_steel,113,115.159080865491
NO,iron_and_steel,114,115.09320980425501
NO,iron_and_steel,115,115.007645203934
NO,iron_and_steel,116,114.854805074933
NO,iron_and_steel,117,114.588167492974
NO,iron_and_steel,118,114.20568870978799
NO,iron_and_steel,119,113.773703907138
NO,iron_and_steel,120,113.393584171105
NO,iron_and_steel,121,113.136806889712
NO,iron_and_steel,122,113.01700772963
NO,iron_and_steel,123,113.02174391705401
NO,iron_and_steel,124,113.155612004159
NO,iron_and_steel,125,113.43984307848801
NO,iron_and_steel,126,113.86686188993001
NO,iron_and_steel,127,114.364180591582
NO,iron_and_steel,128,114.819816565807
NO,iron_and_steel,129,115.15016750320801
NO,iron_and_steel,130,115.340035803932
NO,iron_and_steel,131,115.423686575076
NO,iron_and_steel,132,115.44265865383
NO,iron_and_steel,133,115.42224289204901
NO,iron_and_steel,134,115.373504909737
NO,iron_and_steel,135,115.305055440998
NO,iron_and_steel,136,115.229539291138
NO,iron_and_steel,137,115.159022899233
NO,iron_and_steel,138,115.092770583675
NO,iron_and_steel,139,115.005269815226
NO,iron_and_steel,140,114.84477199354299
NO,iron_and_steel,141,114.554547058445
NO,iron_and_steel,142,114.115485157684
NO,iron_and_steel,143,113.57778799129
NO,iron_and_steel,144,113.04385161183599
NO,iron_and_steel,145,112.61274634598499
NO,iron_and_steel,146,112.33898056765
NO,iron_and_steel,147,112.23751670065
NO,iron_and_steel,148,112.313618911801
NO,iron_and_steel,149,112.572025978864
NO,iron_and_steel,150,112.988075285303
NO,iron_and_steel,151,113.47960817606199
NO,iron_and_steel,152,113.931336937643
NO,iron_and_steel,153,114.25907297288799
NO,iron_and_steel,154,114.44747196959
NO,iron_and_steel,155,114.530475405639
NO,iron_and_steel,156,114.54930066814501
NO,iron_and_steel,157,114.529042894616
NO,iron_and_steel,158,114.480682073279
NO,iron_and_steel,159,114.412762303702
NO,iron_and_steel,160,114.33783053882
NO,iron_and_steel,161,114.267976322901
NO,iron_and_steel,162,114.20299626082
NO,iron_and_steel,163,114.12002996997101
