NUTS0_code,process,hour,load
RS,iron_and_steel,1,112.040684165214
RS,iron_and_steel,2,112.05991456494101
RS,iron_and_steel,3,112.122448073827
RS,iron_and_steel,4,112.274105439398
RS,iron_and_steel,5,112.560896721945
RS,iron_and_steel,6,112.985548256649
RS,iron_and_steel,7,113.479162140214
RS,iron_and_steel,8,113.931272130459
RS,iron_and_steel,9,114.25906661463002
RS,iron_and_steel,10,114.447465600848
RS,iron_and_steel,11,114.530469032278
RS,iron_and_steel,12,114.54929429373699
RS,iron_and_steel,13,114.529036521334
RS,iron_and_steel,14,114.480675702688
RS,iron_and_steel,15,114.412755936891
RS,iron_and_steel,16,114.33782417617901
RS,iron_and_steel,17,114.26791149701599
RS,iron_and_steel,18,114.202550184965
RS,iron_and_steel,19,114.117647733263
RS,iron_and_steel,20,113.96599036769199
RS,iron_and_steel,21,113.70141617256
RS,iron_and_steel,22,113.321897205817
RS,iron_and_steel,23,112.893255299191
RS,iron_and_steel,24,112.51607706966
RS,iron_and_steel,25,112.261286786153
RS,iron_and_steel,26,112.14241461725
RS,iron_and_steel,27,112.147114094007
RS,iron_and_steel,28,112.279946198121
RS,iron_and_steel,29,112.561977709169
RS,iron_and_steel,30,112.985691989294
RS,iron_and_steel,31,113.479162140214
RS,iron_and_steel,32,113.931272130459
RS,iron_and_steel,33,114.25906661463002
RS,iron_and_steel,34,114.447465600848
RS,iron_and_steel,35,114.530469032278
RS,iron_and_steel,36,114.54929429373699
RS,iron_and_steel,37,114.529036521334
RS,iron_and_steel,38,114.480675702688
RS,iron_and_steel,39,114.412755936891
RS,iron_and_steel,40,114.33782417617901
RS,iron_and_steel,41,114.267969964147
RS,iron_and_steel,42,114.20298990568199
RS,iron_and_steel,43,114.120023619451
RS,iron_and_steel,44,113.97602393686199
RS,iron_and_steel,45,113.73503706587799
RS,iron_and_steel,46,113.412101148285
RS,iron_and_steel,47,113.089171478796
RS,iron_and_steel,48,112.865809709544
RS,iron_and_steel,49,112.785347203691
RS,iron_and_steel,50,112.820441470856
RS,iron_and_steel,51,112.93134087675502
RS,iron_and_steel,52,113.121938789246
RS,iron_and_steel,53,113.429794278328
RS,iron_and_steel,54,113.86447805236999
RS,iron_and_steel,55,114.36373400952
RS,iron_and_steel,56,114.81975120978001
RS,iron_and_steel,57,115.150160594459
RS,iron_and_steel,58,115.340028883792
RS,iron_and_steel,59,115.42367964991699
RS,iron_and_steel,60,115.442651727533
RS,iron_and_steel,61,115.42223596697599
RS,iron_and_steel,62,115.37349798758801
RS,iron_and_steel,63,115.305048522957
RS,iron_and_steel,64,115.229532377627
RS,iron_and_steel,65,115.159074457117
RS,iron_and_steel,66,115.09320339933201
RS,iron_and_steel,67,115.007638802684
RS,iron_and_steel,68,114.854798677884
RS,iron_and_steel,69,114.588161097504
RS,iron_and_steel,70,114.205682303795
RS,iron_and_steel,71,113.77369746576099
RS,iron_and_steel,72,113.393577664417
RS,iron_and_steel,73,113.13680029931999
RS,iron_and_steel,74,113.017001059356
RS,iron_and_steel,75,113.02173718681999
RS,iron_and_steel,76,113.155605234004
RS,iron_and_steel,77,113.43983627799999
RS,iron_and_steel,78,113.866855059513
RS,iron_and_steel,79,114.364173730238
RS,iron_and_steel,80,114.81980967691099
RS,iron_and_steel,81,115.150160594459
RS,iron_and_steel,82,115.340028883792
RS,iron_and_steel,83,115.42367964991699
RS,iron_and_steel,84,115.442651727533
RS,iron_and_steel,85,115.42223596697599
RS,iron_and_steel,86,115.37349798758801
RS,iron_and_steel,87,115.305048522957
RS,iron_and_steel,88,115.229532377627
RS,iron_and_steel,89,115.159074457117
RS,iron_and_steel,90,115.09320339933201
RS,iron_and_steel,91,115.007638802684
RS,iron_and_steel,92,114.854798677884
RS,iron_and_steel,93,114.588161097504
RS,iron_and_steel,94,114.205682303795
RS,iron_and_steel,95,113.77369746576099
RS,iron_and_steel,96,113.393577664417
