NUTS0_code,process,hour,load
HU,non_metalic_minerals,1,111.57981253746
HU,non_metalic_minerals,2,111.599183803196
HU,non_metalic_minerals,3,111.665323365942
HU,non_metalic_minerals,4,111.837104720273
HU,non_metalic_minerals,5,112.19256427613001
HU,non_metalic_minerals,6,112.78337404121099
HU,non_metalic_minerals,7,113.576874403664
HU,non_metalic_minerals,8,114.44186781613199
HU,non_metalic_minerals,9,115.20676071974701
HU,non_metalic_minerals,10,115.745421833395
HU,non_metalic_minerals,11,116.014574467156
HU,non_metalic_minerals,12,116.020854045873
HU,non_metalic_minerals,13,115.77263160242201
HU,non_metalic_minerals,14,115.280683290002
HU,non_metalic_minerals,15,114.60247729663601
HU,non_metalic_minerals,16,113.86329995252501
HU,non_metalic_minerals,17,113.211414148042
HU,non_metalic_minerals,18,112.742277591609
HU,non_metalic_minerals,19,112.46342591017799
HU,non_metalic_minerals,20,112.32828212566601
HU,non_metalic_minerals,21,112.307520722551
HU,non_metalic_minerals,22,112.43809473636999
HU,non_metalic_minerals,23,112.79774912113899
HU,non_metalic_minerals,24,113.40785288314301
HU,non_metalic_minerals,25,114.16004682912201
HU,non_metalic_minerals,26,114.87058620000299
HU,non_metalic_minerals,27,115.42576130076598
HU,non_metalic_minerals,28,115.86841629617099
HU,non_metalic_minerals,29,116.348457849077
HU,non_metalic_minerals,30,116.997728511616
HU,non_metalic_minerals,31,117.830174569605
HU,non_metalic_minerals,32,118.729400913838
HU,non_metalic_minerals,33,119.52323192061701
HU,non_metalic_minerals,34,120.08207514137
HU,non_metalic_minerals,35,120.361312162411
HU,non_metalic_minerals,36,120.367827019165
HU,non_metalic_minerals,37,120.11030438341899
HU,non_metalic_minerals,38,119.599924160322
HU,non_metalic_minerals,39,118.89630770822599
HU,non_metalic_minerals,40,118.129435481469
HU,non_metalic_minerals,41,117.452835149191
HU,non_metalic_minerals,42,116.96422895380199
HU,non_metalic_minerals,43,116.665318986449
HU,non_metalic_minerals,44,116.487101471044
HU,non_metalic_minerals,45,116.348482304829
HU,non_metalic_minerals,46,116.20308849675199
HU,non_metalic_minerals,47,116.05149742399799
HU,non_metalic_minerals,48,115.92096738371599
HU,non_metalic_minerals,49,115.836043132087
HU,non_metalic_minerals,50,115.80895875898001
HU,non_metalic_minerals,51,115.85764310181
HU,non_metalic_minerals,52,116.02934576046101
HU,non_metalic_minerals,53,116.396476165904
HU,non_metalic_minerals,54,117.00909754482099
HU,non_metalic_minerals,55,117.832278378096
HU,non_metalic_minerals,56,118.729680645135
HU,non_metalic_minerals,57,119.52323192061701
HU,non_metalic_minerals,58,120.08207514137
HU,non_metalic_minerals,59,120.361312162411
HU,non_metalic_minerals,60,120.367827019165
HU,non_metalic_minerals,61,120.11030438341899
HU,non_metalic_minerals,62,119.599924160322
HU,non_metalic_minerals,63,118.89630770822599
HU,non_metalic_minerals,64,118.129435481469
HU,non_metalic_minerals,65,117.452835149191
HU,non_metalic_minerals,66,116.96422895380199
HU,non_metalic_minerals,67,116.665318986449
HU,non_metalic_minerals,68,116.487101471044
HU,non_metalic_minerals,69,116.348482304829
HU,non_metalic_minerals,70,116.20308849675199
HU,non_metalic_minerals,71,116.05149742399799
HU,non_metalic_minerals,72,115.92096738371599
HU,non_metalic_minerals,73,115.836043132087
HU,non_metalic_minerals,74,115.80895875898001
HU,non_metalic_minerals,75,115.85764310181
HU,non_metalic_minerals,76,116.02934576046101
