NUTS0_code,process,hour,load
PL,non_metalic_minerals,1,108.036341417621
PL,non_metalic_minerals,2,108.055097504687
PL,non_metalic_minerals,3,108.119136654956
PL,non_metalic_minerals,4,108.285462701072
PL,non_metalic_minerals,5,108.629633829015
PL,non_metalic_minerals,6,109.201681084174
PL,non_metalic_minerals,7,109.969982035067
PL,non_metalic_minerals,8,110.80750561131399
PL,non_metalic_minerals,9,111.54810759839
PL,non_metalic_minerals,10,112.069662301334
PL,non_metalic_minerals,11,112.33026738009501
PL,non_metalic_minerals,12,112.33634753648501
PL,non_metalic_minerals,13,112.096007962164
PL,non_metalic_minerals,14,111.619682589036
PL,non_metalic_minerals,15,110.963014571905
PL,non_metalic_minerals,16,110.24731148816099
PL,non_metalic_minerals,17,109.61612780236099
PL,non_metalic_minerals,18,109.16188974594401
PL,non_metalic_minerals,19,108.89189363486601
PL,non_metalic_minerals,20,108.76104164908101
PL,non_metalic_minerals,21,108.74093957161502
PL,non_metalic_minerals,22,108.867366910186
PL,non_metalic_minerals,23,109.215599650693
PL,non_metalic_minerals,24,109.80632817795099
PL,non_metalic_minerals,25,110.534634491719
PL,non_metalic_minerals,26,111.222609066308
PL,non_metalic_minerals,27,111.760153317088
PL,non_metalic_minerals,28,112.18875079476999
PL,non_metalic_minerals,29,112.653547534655
PL,non_metalic_minerals,30,113.282199128302
PL,non_metalic_minerals,31,114.08820896545299
PL,non_metalic_minerals,32,114.958878328736
PL,non_metalic_minerals,33,115.727499423591
PL,non_metalic_minerals,34,116.268595304855
PL,non_metalic_minerals,35,116.538964518206
PL,non_metalic_minerals,36,116.545272480844
PL,non_metalic_minerals,37,116.295928063018
PL,non_metalic_minerals,38,115.801756126524
PL,non_metalic_minerals,39,115.12048461766399
PL,non_metalic_minerals,40,114.377966165361
PL,non_metalic_minerals,41,113.72285281789301
PL,non_metalic_minerals,42,113.249763425256
PL,non_metalic_minerals,43,112.960346024818
PL,non_metalic_minerals,44,112.787788212584
PL,non_metalic_minerals,45,112.65357121375901
PL,non_metalic_minerals,46,112.51279471725701
PL,non_metalic_minerals,47,112.36601776433399
PL,non_metalic_minerals,48,112.239633002822
PL,non_metalic_minerals,49,112.157405714256
PL,non_metalic_minerals,50,112.13118146711399
PL,non_metalic_minerals,51,112.178319727737
PL,non_metalic_minerals,52,112.344569577332
PL,non_metalic_minerals,53,112.700040920448
PL,non_metalic_minerals,54,113.293207111959
PL,non_metalic_minerals,55,114.090245962713
PL,non_metalic_minerals,56,114.95914917652901
PL,non_metalic_minerals,57,115.727499423591
PL,non_metalic_minerals,58,116.268595304855
PL,non_metalic_minerals,59,116.538964518206
PL,non_metalic_minerals,60,116.545272480844
PL,non_metalic_minerals,61,116.295928063018
PL,non_metalic_minerals,62,115.801756126524
PL,non_metalic_minerals,63,115.12048461766399
PL,non_metalic_minerals,64,114.377966165361
PL,non_metalic_minerals,65,113.72285281789301
