NUTS0_code,process,hour,load
AT,paper,1,109.815344760803
AT,paper,2,109.834426608114
AT,paper,3,109.899817245026
AT,paper,4,110.070477029429
AT,paper,5,110.42568477143499
AT,paper,6,111.020058702392
AT,paper,7,111.824219542227
AT,paper,8,112.70741588141001
AT,paper,9,113.49391676082399
AT,paper,10,114.051044143223
AT,paper,11,114.330276154253
AT,paper,12,114.335497990861
AT,paper,13,114.073670655989
AT,paper,14,113.555387697157
AT,paper,15,112.840972048578
AT,paper,16,112.06239912144699
AT,paper,17,111.376058963637
AT,paper,18,110.883254030041
AT,paper,19,110.593733919444
AT,paper,20,110.461386131401
AT,paper,21,110.457878600836
AT,paper,22,110.621322134254
AT,paper,23,111.0279843552
AT,paper,24,111.692913890433
AT,paper,25,112.49773285146
AT,paper,26,113.24944538633801
AT,paper,27,113.83036586438699
AT,paper,28,114.285687101494
AT,paper,29,114.77172428562099
AT,paper,30,115.42781167732599
AT,paper,31,116.273632293417
AT,paper,32,117.193895256232
AT,paper,33,118.011998481408
AT,paper,34,118.59130455949699
AT,paper,35,118.88165252353001
AT,paper,36,118.88708223634
AT,paper,37,118.614831811585
AT,paper,38,118.07591651553899
AT,paper,39,117.33306067937299
AT,paper,40,116.523493526201
AT,paper,41,115.809526678141
AT,paper,42,115.29512028719299
AT,paper,43,114.98400225313299
AT,paper,44,114.806548669782
AT,paper,45,114.680194418173
AT,paper,46,114.55578547281
AT,paper,47,114.428696308972
AT,paper,48,114.31990794131
AT,paper,49,114.249876840639
AT,paper,50,114.230536349107
AT,paper,51,114.28193572741002
AT,paper,52,114.453959597951
AT,paper,53,114.82193496603998
AT,paper,54,115.43970001183901
AT,paper,55,116.275832251101
AT,paper,56,117.194187771934
AT,paper,57,118.011998481408
AT,paper,58,118.59130455949699
AT,paper,59,118.88165252353001
AT,paper,60,118.88708223634
AT,paper,61,118.614831811585
AT,paper,62,118.07591651553899
AT,paper,63,117.33306067937299
AT,paper,64,116.523493526201
AT,paper,65,115.809526678141
AT,paper,66,115.29512028719299
AT,paper,67,114.98400225313299
AT,paper,68,114.806548669782
AT,paper,69,114.680194418173
AT,paper,70,114.55578547281
AT,paper,71,114.428696308972
AT,paper,72,114.31990794131
AT,paper,73,114.249876840639
AT,paper,74,114.230536349107
AT,paper,75,114.28193572741002
AT,paper,76,114.453959597951
AT,paper,77,114.82193496603998
AT,paper,78,115.43970001183901
AT,paper,79,116.275832251101
AT,paper,80,117.194187771934
AT,paper,81,118.011998481408
AT,paper,82,118.59130455949699
AT,paper,83,118.88165252353001
AT,paper,84,118.88708223634
AT,paper,85,118.614831811585
AT,paper,86,118.07591651553899
AT,paper,87,117.33306067937299
AT,paper,88,116.523493526201
AT,paper,89,115.809526678141
AT,paper,90,115.29512028719299
AT,paper,91,114.98400225313299
AT,paper,92,114.806548669782
AT,paper,93,114.680194418173
AT,paper,94,114.55578547281
AT,paper,95,114.428696308972
AT,paper,96,114.31990794131
AT,paper,97,114.249876840639
AT,paper,98,114.230536349107
AT,paper,99,114.28193572741002
AT,paper,100,114.453959597951
AT,paper,101,114.82193496603998
AT,paper,102,115.43970001183901
AT,paper,103,116.275832251101
AT,paper,104,117.194187771934
AT,paper,105,118.011998481408
AT,paper,106,118.59130455949699
AT,paper,107,118.88165252353001
AT,paper,108,118.88708223634
AT,paper,109,118.614831811585
AT,paper,110,118.07591651553899
AT,paper,111,117.33306067937299
AT,paper,112,116.523493526201
AT,paper,113,115.809234162439
AT,paper,114,115.29292032950899
AT,paper,115,114.972115505775
AT,paper,116,114.75634992606501
AT,paper,117,114.511986417753
AT,paper,118,114.104487982027
AT,paper,119,113.448513033813
AT,paper,120,112.570171718869
AT,paper,121,111.627971692654
AT,paper,122,110.83831862417802
AT,paper,123,110.358229080865
AT,paper,124,110.240369662094
AT,paper,125,110.47619530100401
AT,paper,126,111.031986906118
AT,paper,127,111.826419499911
AT,paper,128,112.70770839711099
AT,paper,129,113.49391676082399
AT,paper,130,114.051044143223
AT,paper,131,114.330276154253
AT,paper,132,114.335497990861
AT,paper,133,114.073670655989
AT,paper,134,113.555387697157
AT,paper,135,112.840972048578
AT,paper,136,112.06239912144699
AT,paper,137,111.375766447935
AT,paper,138,110.881054072357
AT,paper,139,110.58184717208599
