NUTS0_code,process,hour,load
CH,paper,1,109.815344760803
CH,paper,2,109.834426608114
CH,paper,3,109.899817245026
CH,paper,4,110.070477029429
CH,paper,5,110.42568477143499
CH,paper,6,111.020058702392
CH,paper,7,111.824219542227
CH,paper,8,112.70741588141001
CH,paper,9,113.49391676082399
CH,paper,10,114.051044143223
CH,paper,11,114.330276154253
CH,paper,12,114.335497990861
CH,paper,13,114.073670655989
CH,paper,14,113.555387697157
CH,paper,15,112.840972048578
CH,paper,16,112.06239912144699
CH,paper,17,111.376058963637
CH,paper,18,110.883254030041
CH,paper,19,110.593733919444
CH,paper,20,110.461386131401
CH,paper,21,110.457878600836
CH,paper,22,110.621322134254
CH,paper,23,111.0279843552
CH,paper,24,111.692913890433
CH,paper,25,112.49773285146
CH,paper,26,113.24944538633801
CH,paper,27,113.83036586438699
CH,paper,28,114.285687101494
CH,paper,29,114.77172428562099
CH,paper,30,115.42781167732599
CH,paper,31,116.273632293417
CH,paper,32,117.193895256232
CH,paper,33,118.011998481408
CH,paper,34,118.59130455949699
CH,paper,35,118.88165252353001
CH,paper,36,118.88708223634
CH,paper,37,118.614831811585
CH,paper,38,118.07591651553899
CH,paper,39,117.33306067937299
CH,paper,40,116.523493526201
CH,paper,41,115.809526678141
CH,paper,42,115.29512028719299
CH,paper,43,114.98400225313299
CH,paper,44,114.806548669782
CH,paper,45,114.680194418173
CH,paper,46,114.55578547281
CH,paper,47,114.428696308972
CH,paper,48,114.31990794131
CH,paper,49,114.249876840639
CH,paper,50,114.230536349107
CH,paper,51,114.28193572741002
CH,paper,52,114.453959597951
CH,paper,53,114.82193496603998
CH,paper,54,115.43970001183901
CH,paper,55,116.275832251101
CH,paper,56,117.194187771934
CH,paper,57,118.011998481408
CH,paper,58,118.59130455949699
CH,paper,59,118.88165252353001
CH,paper,60,118.88708223634
CH,paper,61,118.614831811585
CH,paper,62,118.07591651553899
CH,paper,63,117.33306067937299
CH,paper,64,116.523493526201
CH,paper,65,115.809526678141
CH,paper,66,115.29512028719299
CH,paper,67,114.98400225313299
CH,paper,68,114.806548669782
CH,paper,69,114.680194418173
CH,paper,70,114.55578547281
CH,paper,71,114.428696308972
CH,paper,72,114.31990794131
CH,paper,73,114.249876840639
CH,paper,74,114.230536349107
CH,paper,75,114.28193572741002
CH,paper,76,114.453959597951
CH,paper,77,114.82193496603998
CH,paper,78,115.43970001183901
CH,paper,79,116.275832251101
CH,paper,80,117.194187771934
CH,paper,81,118.011998481408
CH,paper,82,118.59130455949699
CH,paper,83,118.88165252353001
CH,paper,84,118.88708223634
CH,paper,85,118.614831811585
CH,paper,86,118.07591651553899
CH,paper,87,117.33306067937299
CH,paper,88,116.523493526201
CH,paper,89,115.809526678141
CH,paper,90,115.29512028719299
CH,paper,91,114.98400225313299
CH,paper,92,114.806548669782
CH,paper,93,114.680194418173
CH,paper,94,114.55578547281
CH,paper,95,114.428696308972
CH,paper,96,114.31990794131
CH,paper,97,114.249876840639
CH,paper,98,114.230536349107
CH,paper,99,114.28193572741002
CH,paper,100,114.453959597951
CH,paper,101,114.82193496603998
CH,paper,102,115.43970001183901
CH,paper,103,116.275832251101
CH,paper,104,117.194187771934
CH,paper,105,118.011998481408
CH,paper,106,118.59130455949699
CH,paper,107,118.88165252353001
CH,paper,108,118.88708223634
CH,paper,109,118.614831811585
CH,paper,110,118.07591651553899
CH,paper,111,117.33306067937299
CH,paper,112,116.523493526201
CH,paper,113,115.809234162439
CH,paper,114,115.29292032950899
CH,paper,115,114.972115505775
CH,paper,116,114.75634992606501
CH,paper,117,114.511986417753
CH,paper,118,114.104487982027
CH,paper,119,113.448513033813
CH,paper,120,112.570171718869
CH,paper,121,111.627971692654
CH,paper,122,110.83831862417802
CH,paper,123,110.358229080865
CH,paper,124,110.240369662094
CH,paper,125,110.47619530100401
CH,paper,126,111.031986906118
CH,paper,127,111.826419499911
CH,paper,128,112.70770839711099
CH,paper,129,113.49391676082399
CH,paper,130,114.051044143223
CH,paper,131,114.330276154253
CH,paper,132,114.335497990861
CH,paper,133,114.073670655989
CH,paper,134,113.555387697157
CH,paper,135,112.840972048578
CH,paper,136,112.06239912144699
CH,paper,137,111.375766447935
CH,paper,138,110.881054072357
CH,paper,139,110.58184717208599
CH,paper,140,110.411187387684
CH,paper,141,110.28967060041501
CH,paper,142,110.170024643471
CH,paper,143,110.04780108004101
CH,paper,144,109.94317766799101
CH,paper,145,109.875827703475
CH,paper,146,109.857227661409
CH,paper,147,109.906659217842
CH,paper,148,110.072097165637
CH,paper,149,110.425984620586
CH,paper,150,111.02009857160601
CH,paper,151,111.824219542227
CH,paper,152,112.70741588141001
CH,paper,153,113.49391676082399
CH,paper,154,114.051044143223
CH,paper,155,114.330276154253
CH,paper,156,114.335497990861
CH,paper,157,114.073670655989
CH,paper,158,113.555387697157
CH,paper,159,112.840972048578
CH,paper,160,112.06239912144699
CH,paper,161,111.376058963637
CH,paper,162,110.883254030041
CH,paper,163,110.593733919444
CH,paper,164,110.461386131401
CH,paper,165,110.457878600836
CH,paper,166,110.621322134254
CH,paper,167,111.0279843552
CH,paper,168,111.692913890433
CH,paper,169,112.49773285146
CH,paper,170,113.24944538633801
CH,paper,171,113.83036586438699
CH,paper,172,114.285687101494
CH,paper,173,114.77172428562099
CH,paper,174,115.42781167732599
CH,paper,175,116.273632293417
CH,paper,176,117.193895256232
CH,paper,177,118.011998481408
CH,paper,178,118.59130455949699
CH,paper,179,118.88165252353001
CH,paper,180,118.88708223634
CH,paper,181,118.614831811585
CH,paper,182,118.07591651553899
CH,paper,183,117.33306067937299
CH,paper,184,116.523493526201
CH,paper,185,115.809526678141
CH,paper,186,115.29512028719299
CH,paper,187,114.98400225313299
CH,paper,188,114.806548669782
CH,paper,189,114.680194418173
CH,paper,190,114.55578547281
CH,paper,191,114.428696308972
CH,paper,192,114.31990794131
CH,paper,193,114.249876840639
CH,paper,194,114.230536349107
CH,paper,195,114.28193572741002
CH,paper,196,114.453959597951
CH,paper,197,114.82193496603998
CH,paper,198,115.43970001183901
CH,paper,199,116.275832251101
CH,paper,200,117.194187771934
CH,paper,201,118.011998481408
CH,paper,202,118.59130455949699
CH,paper,203,118.88165252353001
CH,paper,204,118.88708223634
CH,paper,205,118.614831811585
CH,paper,206,118.07591651553899
CH,paper,207,117.33306067937299
CH,paper,208,116.523493526201
CH,paper,209,115.809526678141
CH,paper,210,115.29512028719299
CH,paper,211,114.98400225313299
CH,paper,212,114.806548669782
CH,paper,213,114.680194418173
CH,paper,214,114.55578547281
CH,paper,215,114.428696308972
CH,paper,216,114.31990794131
CH,paper,217,114.249876840639
CH,paper,218,114.230536349107
CH,paper,219,114.28193572741002
CH,paper,220,114.453959597951
CH,paper,221,114.82193496603998
CH,paper,222,115.43970001183901
CH,paper,223,116.275832251101
CH,paper,224,117.194187771934
CH,paper,225,118.011998481408
CH,paper,226,118.59130455949699
CH,paper,227,118.88165252353001
CH,paper,228,118.88708223634
CH,paper,229,118.614831811585
CH,paper,230,118.07591651553899
CH,paper,231,117.33306067937299
CH,paper,232,116.523493526201
CH,paper,233,115.809526678141
CH,paper,234,115.29512028719299
CH,paper,235,114.98400225313299
CH,paper,236,114.806548669782
CH,paper,237,114.680194418173
CH,paper,238,114.55578547281
CH,paper,239,114.428696308972
CH,paper,240,114.31990794131
CH,paper,241,114.249876840639
CH,paper,242,114.230536349107
CH,paper,243,114.28193572741002
CH,paper,244,114.453959597951
CH,paper,245,114.82193496603998
CH,paper,246,115.43970001183901
CH,paper,247,116.275832251101
CH,paper,248,117.194187771934
CH,paper,249,118.011998481408
CH,paper,250,118.59130455949699
CH,paper,251,118.88165252353001
CH,paper,252,118.88708223634
CH,paper,253,118.614831811585
CH,paper,254,118.07591651553899
CH,paper,255,117.33306067937299
CH,paper,256,116.523493526201
CH,paper,257,115.809526678141
CH,paper,258,115.29512028719299
CH,paper,259,114.98400225313299
CH,paper,260,114.806548669782
CH,paper,261,114.680194418173
CH,paper,262,114.55578547281
CH,paper,263,114.428696308972
CH,paper,264,114.31990794131
CH,paper,265,114.249876840639
CH,paper,266,114.230536349107
CH,paper,267,114.28193572741002
CH,paper,268,114.453959597951
CH,paper,269,114.82193496603998
CH,paper,270,115.43970001183901
CH,paper,271,116.275832251101
CH,paper,272,117.194187771934
