NUTS0_code,process,hour,load
HR,paper,1,109.566616905205
HR,paper,2,109.58565553280899
HR,paper,3,109.65089806225201
HR,paper,4,109.821171308304
HR,paper,5,110.17557451739
HR,paper,6,110.768602212503
HR,paper,7,111.570941656598
HR,paper,8,112.45213758743999
HR,paper,9,113.23685707029699
HR,paper,10,113.792722578962
HR,paper,11,114.071322139405
HR,paper,12,114.076532148738
HR,paper,13,113.81529784348
HR,paper,14,113.298188777143
HR,paper,15,112.585391254634
HR,paper,16,111.80858176753
HR,paper,17,111.123796145801
HR,paper,18,110.63210739787701
HR,paper,19,110.34324304004801
HR,paper,20,110.211195015044
HR,paper,21,110.207695428911
HR,paper,22,110.37076876853001
HR,paper,23,110.77650991398998
HR,paper,24,111.439933407442
HR,paper,25,112.24292948210699
HR,paper,26,112.992939414792
HR,paper,27,113.57254412859
HR,paper,28,114.026834079267
HR,paper,29,114.511770406434
HR,paper,30,115.16637178349899
HR,paper,31,116.01027664593501
HR,paper,32,116.928455245825
HR,paper,33,117.74470549625099
HR,paper,34,118.322699466648
HR,paper,35,118.61238980285499
HR,paper,36,118.61780721755899
HR,paper,37,118.346173430346
HR,paper,38,117.80847875830601
HR,paper,39,117.06730546422399
HR,paper,40,116.259571951901
HR,paper,41,115.547222213394
HR,paper,42,115.033980934652
HR,paper,43,114.723567571889
HR,paper,44,114.546515914602
HR,paper,45,114.420447850884
HR,paper,46,114.296320687364
HR,paper,47,114.169519375969
HR,paper,48,114.060977410096
HR,paper,49,113.991104927381
HR,paper,50,113.971808241375
HR,paper,51,114.023091201912
HR,paper,52,114.19472544449499
HR,paper,53,114.56186736144501
HR,paper,54,115.17823319135599
HR,paper,55,116.012471620793
HR,paper,56,116.92874709898899
HR,paper,57,117.74470549625099
HR,paper,58,118.322699466648
HR,paper,59,118.61238980285499
HR,paper,60,118.61780721755899
HR,paper,61,118.346173430346
HR,paper,62,117.80847875830601
HR,paper,63,117.06730546422399
HR,paper,64,116.259571951901
HR,paper,65,115.547222213394
HR,paper,66,115.033980934652
HR,paper,67,114.723567571889
HR,paper,68,114.546515914602
HR,paper,69,114.420447850884
HR,paper,70,114.296320687364
HR,paper,71,114.169519375969
HR,paper,72,114.060977410096
HR,paper,73,113.991104927381
HR,paper,74,113.971808241375
HR,paper,75,114.023091201912
HR,paper,76,114.19472544449499
HR,paper,77,114.56186736144501
HR,paper,78,115.17823319135599
HR,paper,79,116.012471620793
HR,paper,80,116.92874709898899
HR,paper,81,117.74470549625099
HR,paper,82,118.322699466648
HR,paper,83,118.61238980285499
HR,paper,84,118.61780721755899
HR,paper,85,118.346173430346
HR,paper,86,117.80847875830601
HR,paper,87,117.06730546422399
HR,paper,88,116.259571951901
HR,paper,89,115.547222213394
HR,paper,90,115.033980934652
HR,paper,91,114.723567571889
HR,paper,92,114.546515914602
HR,paper,93,114.420447850884
HR,paper,94,114.296320687364
HR,paper,95,114.169519375969
HR,paper,96,114.060977410096
HR,paper,97,113.991104927381
HR,paper,98,113.971808241375
HR,paper,99,114.023091201912
HR,paper,100,114.19472544449499
HR,paper,101,114.56186736144501
HR,paper,102,115.17823319135599
HR,paper,103,116.012471620793
HR,paper,104,116.92874709898899
HR,paper,105,117.74470549625099
HR,paper,106,118.322699466648
HR,paper,107,118.61238980285499
HR,paper,108,118.61780721755899
HR,paper,109,118.346173430346
HR,paper,110,117.80847875830601
HR,paper,111,117.06730546422399
HR,paper,112,116.259571951901
HR,paper,113,115.54693036023001
HR,paper,114,115.03178595979401
HR,paper,115,114.71170774759199
HR,paper,116,114.496430869256
HR,paper,117,114.252620835611
