NUTS0_code,process,hour,load
RS,paper,1,109.553627218608
RS,paper,2,109.572663589086
RS,paper,3,109.63789838369101
RS,paper,4,109.808151442973
RS,paper,5,110.162512635734
RS,paper,6,110.75547002436001
RS,paper,7,111.55771434698299
RS,paper,8,112.43880580751
RS,paper,9,113.223432257831
RS,paper,10,113.779231865778
RS,paper,11,114.057798396808
RS,paper,12,114.063007788468
RS,paper,13,113.80180445388201
RS,paper,14,113.284756693487
RS,paper,15,112.572043676795
RS,paper,16,111.795326284455
RS,paper,17,111.11033002902398
RS,paper,18,110.616796677264
RS,paper,19,110.31830286216999
RS,paper,20,110.148049802888
RS,paper,21,110.02682262063801
RS,paper,22,109.90746181005301
RS,paper,23,109.785529536067
RS,paper,24,109.68115546787901
RS,paper,25,109.61396601524099
RS,paper,26,109.595410301746
RS,paper,27,109.64472405036699
RS,paper,28,109.809767717989
RS,paper,29,110.16281177026801
RS,paper,30,110.755509798556
RS,paper,31,111.55771434698299
RS,paper,32,112.43880580751
RS,paper,33,113.223432257831
RS,paper,34,113.779231865778
RS,paper,35,114.057798396808
RS,paper,36,114.063007788468
RS,paper,37,113.80180445388201
RS,paper,38,113.284756693487
RS,paper,39,112.572043676795
RS,paper,40,111.795326284455
RS,paper,41,111.110621847588
RS,paper,42,110.618991391897
RS,paper,43,110.33016128042499
RS,paper,44,110.198128910394
RS,paper,45,110.194629739155
RS,paper,46,110.35768374558998
RS,paper,47,110.76337678834801
RS,paper,48,111.426721629528
RS,paper,49,112.229622504874
RS,paper,50,112.97954352002
RS,paper,51,113.55907951869499
RS,paper,52,114.013315610959
RS,paper,53,114.49819444642799
RS,paper,54,115.152718217129
RS,paper,55,115.99652303029801
RS,paper,56,116.914592775387
RS,paper,57,117.73074625514299
RS,paper,58,118.308671701379
RS,paper,59,118.598327693305
RS,paper,60,118.603744465746
RS,paper,61,118.332142882117
RS,paper,62,117.794511956549
RS,paper,63,117.05342653237801
RS,paper,64,116.245788781022
RS,paper,65,115.53352349524401
RS,paper,66,115.020343063899
RS,paper,67,114.709966502238
RS,paper,68,114.532935835336
RS,paper,69,114.406882717637
RS,paper,70,114.282770270031
RS,paper,71,114.155983991584
RS,paper,72,114.04745489392
RS,paper,73,113.977590694948
RS,paper,74,113.958296296664
RS,paper,75,114.009573177341
RS,paper,76,114.18118707180099
RS,paper,77,114.54828546218701
RS,paper,78,115.164578218755
RS,paper,79,115.99871774493
RS,paper,80,116.91488459395
RS,paper,81,117.73074625514299
RS,paper,82,118.308671701379
RS,paper,83,118.598327693305
RS,paper,84,118.603744465746
RS,paper,85,118.332142882117
RS,paper,86,117.794511956549
RS,paper,87,117.05342653237801
RS,paper,88,116.245788781022
RS,paper,89,115.53352349524401
RS,paper,90,115.020343063899
RS,paper,91,114.709966502238
RS,paper,92,114.532935835336
RS,paper,93,114.406882717637
RS,paper,94,114.282770270031
RS,paper,95,114.155983991584
RS,paper,96,114.04745489392
RS,paper,97,113.977590694948
RS,paper,98,113.958296296664
RS,paper,99,114.009573177341
RS,paper,100,114.18118707180099
RS,paper,101,114.54828546218701
RS,paper,102,115.164578218755
RS,paper,103,115.99871774493
RS,paper,104,116.91488459395
RS,paper,105,117.73074625514299
RS,paper,106,118.308671701379
RS,paper,107,118.598327693305
RS,paper,108,118.603744465746
RS,paper,109,118.332142882117
RS,paper,110,117.794511956549
RS,paper,111,117.05342653237801
RS,paper,112,116.245788781022
RS,paper,113,115.53324802768299
RS,paper,114,115.018271322198
RS,paper,115,114.698772527754
RS,paper,116,114.48566273030701
RS,paper,117,114.248478066809
RS,paper,118,113.857774899606
RS,paper,119,113.232926889299
RS,paper,120,112.399695247145
RS,paper,121,111.50849309891501
RS,paper,122,110.763780798543
RS,paper,123,110.31454452385701
RS,paper,124,110.21316984994
RS,paper,125,110.45582034453399
RS,paper,126,111.013751541558
RS,paper,127,111.808621724042
RS,paper,128,112.689882233534
RS,paper,129,113.475983368871
RS,paper,130,114.03302271850201
RS,paper,131,114.312210607545
RS,paper,132,114.31743161904
RS,paper,133,114.055645656009
RS,paper,134,113.537444592064
RS,paper,135,112.82314182967501
RS,paper,136,112.044691926348
RS,paper,137,111.358151397983
RS,paper,138,110.86341057092899
RS,paper,139,110.56370947807699
RS,paper,140,110.39093510124799
RS,paper,141,110.26284104986999
RS,paper,142,110.127389900989
RS,paper,143,109.97562206545601
RS,paper,144,109.827998820275
RS,paper,145,109.71190711912901
RS,paper,146,109.65025118953899
RS,paper,147,109.66996584050501
RS,paper,148,109.81917379086799
RS,paper,149,110.165618439981
RS,paper,150,110.756174331045
RS,paper,151,111.55783731991501
RS,paper,152,112.438822158512
RS,paper,153,113.223432257831
RS,paper,154,113.779231865778
RS,paper,155,114.057798396808
RS,paper,156,114.063007788468
RS,paper,157,113.80180445388201
RS,paper,158,113.284756693487
RS,paper,159,112.572043676795
RS,paper,160,111.795326284455
RS,paper,161,111.110621847588
RS,paper,162,110.618991391897
RS,paper,163,110.33016128042499
RS,paper,164,110.198128910394
RS,paper,165,110.194629739155
RS,paper,166,110.35768374558998
RS,paper,167,110.76337678834801
RS,paper,168,111.426721629528
RS,paper,169,112.229622504874
RS,paper,170,112.97954352002
RS,paper,171,113.55907951869499
RS,paper,172,114.013315610959
RS,paper,173,114.49819444642799
RS,paper,174,115.152718217129
RS,paper,175,115.99652303029801
