NUTS2_code,process,hour,load
EL61,Sanitary Hot Water Tertiary,1,96.9612
EL61,Sanitary Hot Water Tertiary,2,90.6796
EL61,Sanitary Hot Water Tertiary,3,85.8257
EL61,Sanitary Hot Water Tertiary,4,82.0275
EL61,Sanitary Hot Water Tertiary,5,82.0654
EL61,Sanitary Hot Water Tertiary,6,82.5833
EL61,Sanitary Hot Water Tertiary,7,85.6829
EL61,Sanitary Hot Water Tertiary,8,88.6646
EL61,Sanitary Hot Water Tertiary,9,93.2608
EL61,Sanitary Hot Water Tertiary,10,98.9097
EL61,Sanitary Hot Water Tertiary,11,106.234
EL61,Sanitary Hot Water Tertiary,12,111.457
EL61,Sanitary Hot Water Tertiary,13,113.916
EL61,Sanitary Hot Water Tertiary,14,114.574
EL61,Sanitary Hot Water Tertiary,15,113.785
EL61,Sanitary Hot Water Tertiary,16,111.996
EL61,Sanitary Hot Water Tertiary,17,109.444
EL61,Sanitary Hot Water Tertiary,18,105.669
EL61,Sanitary Hot Water Tertiary,19,102.231
EL61,Sanitary Hot Water Tertiary,20,100.592
EL61,Sanitary Hot Water Tertiary,21,100.952
EL61,Sanitary Hot Water Tertiary,22,101.772
EL61,Sanitary Hot Water Tertiary,23,102.147
EL61,Sanitary Hot Water Tertiary,24,99.9969
EL61,Sanitary Hot Water Tertiary,25,101.619
EL61,Sanitary Hot Water Tertiary,26,92.5842
EL61,Sanitary Hot Water Tertiary,27,86.4879
EL61,Sanitary Hot Water Tertiary,28,82.6731
EL61,Sanitary Hot Water Tertiary,29,82.7116
EL61,Sanitary Hot Water Tertiary,30,83.4931
EL61,Sanitary Hot Water Tertiary,31,87.2814
EL61,Sanitary Hot Water Tertiary,32,91.6399
EL61,Sanitary Hot Water Tertiary,33,98.1632
EL61,Sanitary Hot Water Tertiary,34,107.474
EL61,Sanitary Hot Water Tertiary,35,119.055
EL61,Sanitary Hot Water Tertiary,36,127.949
EL61,Sanitary Hot Water Tertiary,37,131.746
EL61,Sanitary Hot Water Tertiary,38,132.319
EL61,Sanitary Hot Water Tertiary,39,130.868
EL61,Sanitary Hot Water Tertiary,40,129.497
EL61,Sanitary Hot Water Tertiary,41,127.728
EL61,Sanitary Hot Water Tertiary,42,124.279
EL61,Sanitary Hot Water Tertiary,43,119.735
EL61,Sanitary Hot Water Tertiary,44,116.026
EL61,Sanitary Hot Water Tertiary,45,113.838
EL61,Sanitary Hot Water Tertiary,46,112.225
EL61,Sanitary Hot Water Tertiary,47,111.32
EL61,Sanitary Hot Water Tertiary,48,107.429
EL61,Sanitary Hot Water Tertiary,49,96.9612
EL61,Sanitary Hot Water Tertiary,50,90.6796
EL61,Sanitary Hot Water Tertiary,51,85.8257
EL61,Sanitary Hot Water Tertiary,52,82.0275
EL61,Sanitary Hot Water Tertiary,53,82.0654
EL61,Sanitary Hot Water Tertiary,54,82.5833
EL61,Sanitary Hot Water Tertiary,55,85.6829
EL61,Sanitary Hot Water Tertiary,56,88.6646
EL61,Sanitary Hot Water Tertiary,57,93.2608
EL61,Sanitary Hot Water Tertiary,58,98.9097
EL61,Sanitary Hot Water Tertiary,59,106.234
EL61,Sanitary Hot Water Tertiary,60,111.457
EL61,Sanitary Hot Water Tertiary,61,113.916
EL61,Sanitary Hot Water Tertiary,62,114.574
EL61,Sanitary Hot Water Tertiary,63,113.785
EL61,Sanitary Hot Water Tertiary,64,111.996
