NUTS2_code,process,hour,load
FR81,Sanitary Hot Water Tertiary,1,90.6369
FR81,Sanitary Hot Water Tertiary,2,85.7853
FR81,Sanitary Hot Water Tertiary,3,81.9888
FR81,Sanitary Hot Water Tertiary,4,82.0268
FR81,Sanitary Hot Water Tertiary,5,82.5444
FR81,Sanitary Hot Water Tertiary,6,85.6425
FR81,Sanitary Hot Water Tertiary,7,88.6229
FR81,Sanitary Hot Water Tertiary,8,93.2169
FR81,Sanitary Hot Water Tertiary,9,98.8632
FR81,Sanitary Hot Water Tertiary,10,106.184
FR81,Sanitary Hot Water Tertiary,11,111.405
FR81,Sanitary Hot Water Tertiary,12,113.863
FR81,Sanitary Hot Water Tertiary,13,114.52
FR81,Sanitary Hot Water Tertiary,14,113.731
FR81,Sanitary Hot Water Tertiary,15,111.943
FR81,Sanitary Hot Water Tertiary,16,109.392
FR81,Sanitary Hot Water Tertiary,17,105.619
FR81,Sanitary Hot Water Tertiary,18,102.182
FR81,Sanitary Hot Water Tertiary,19,100.545
FR81,Sanitary Hot Water Tertiary,20,100.904
FR81,Sanitary Hot Water Tertiary,21,101.724
FR81,Sanitary Hot Water Tertiary,22,102.099
FR81,Sanitary Hot Water Tertiary,23,99.9498
FR81,Sanitary Hot Water Tertiary,24,96.9155
FR81,Sanitary Hot Water Tertiary,25,92.5406
FR81,Sanitary Hot Water Tertiary,26,86.4471
FR81,Sanitary Hot Water Tertiary,27,82.6342
FR81,Sanitary Hot Water Tertiary,28,82.6727
FR81,Sanitary Hot Water Tertiary,29,83.4538
FR81,Sanitary Hot Water Tertiary,30,87.2403
FR81,Sanitary Hot Water Tertiary,31,91.5967
FR81,Sanitary Hot Water Tertiary,32,98.117
FR81,Sanitary Hot Water Tertiary,33,107.423
FR81,Sanitary Hot Water Tertiary,34,118.999
FR81,Sanitary Hot Water Tertiary,35,127.889
FR81,Sanitary Hot Water Tertiary,36,131.684
FR81,Sanitary Hot Water Tertiary,37,132.257
FR81,Sanitary Hot Water Tertiary,38,130.806
FR81,Sanitary Hot Water Tertiary,39,129.436
FR81,Sanitary Hot Water Tertiary,40,127.667
FR81,Sanitary Hot Water Tertiary,41,124.221
FR81,Sanitary Hot Water Tertiary,42,119.679
FR81,Sanitary Hot Water Tertiary,43,115.972
FR81,Sanitary Hot Water Tertiary,44,113.785
FR81,Sanitary Hot Water Tertiary,45,112.172
FR81,Sanitary Hot Water Tertiary,46,111.268
FR81,Sanitary Hot Water Tertiary,47,107.378
FR81,Sanitary Hot Water Tertiary,48,101.571
FR81,Sanitary Hot Water Tertiary,49,90.6369
FR81,Sanitary Hot Water Tertiary,50,85.7853
FR81,Sanitary Hot Water Tertiary,51,81.9888
FR81,Sanitary Hot Water Tertiary,52,82.0268
FR81,Sanitary Hot Water Tertiary,53,82.5444
FR81,Sanitary Hot Water Tertiary,54,85.6425
FR81,Sanitary Hot Water Tertiary,55,88.6229
FR81,Sanitary Hot Water Tertiary,56,93.2169
FR81,Sanitary Hot Water Tertiary,57,98.8632
FR81,Sanitary Hot Water Tertiary,58,106.184
FR81,Sanitary Hot Water Tertiary,59,111.405
FR81,Sanitary Hot Water Tertiary,60,113.863
FR81,Sanitary Hot Water Tertiary,61,114.52
FR81,Sanitary Hot Water Tertiary,62,113.731
FR81,Sanitary Hot Water Tertiary,63,111.943
FR81,Sanitary Hot Water Tertiary,64,109.392
FR81,Sanitary Hot Water Tertiary,65,105.619
FR81,Sanitary Hot Water Tertiary,66,102.182
FR81,Sanitary Hot Water Tertiary,67,100.545
FR81,Sanitary Hot Water Tertiary,68,100.904
FR81,Sanitary Hot Water Tertiary,69,101.724
FR81,Sanitary Hot Water Tertiary,70,102.099
FR81,Sanitary Hot Water Tertiary,71,99.9498
FR81,Sanitary Hot Water Tertiary,72,96.9155
FR81,Sanitary Hot Water Tertiary,73,93.3532
FR81,Sanitary Hot Water Tertiary,74,86.9727
