NUTS2_code,process,hour,load
UKJ1,Sanitary Hot Water Tertiary,1,93.1993
UKJ1,Sanitary Hot Water Tertiary,2,86.8293
UKJ1,Sanitary Hot Water Tertiary,3,82.9983
UKJ1,Sanitary Hot Water Tertiary,4,83.0381
UKJ1,Sanitary Hot Water Tertiary,5,84.0263
UKJ1,Sanitary Hot Water Tertiary,6,88.1543
UKJ1,Sanitary Hot Water Tertiary,7,93.8416
UKJ1,Sanitary Hot Water Tertiary,8,103.735
UKJ1,Sanitary Hot Water Tertiary,9,119.047
UKJ1,Sanitary Hot Water Tertiary,10,137.81799999999998
UKJ1,Sanitary Hot Water Tertiary,11,152.165
UKJ1,Sanitary Hot Water Tertiary,12,157.512
UKJ1,Sanitary Hot Water Tertiary,13,156.312
UKJ1,Sanitary Hot Water Tertiary,14,152.924
UKJ1,Sanitary Hot Water Tertiary,15,150.363
UKJ1,Sanitary Hot Water Tertiary,16,146.19799999999995
UKJ1,Sanitary Hot Water Tertiary,17,137.755
UKJ1,Sanitary Hot Water Tertiary,18,127.907
UKJ1,Sanitary Hot Water Tertiary,19,121.162
UKJ1,Sanitary Hot Water Tertiary,20,118.82
UKJ1,Sanitary Hot Water Tertiary,21,118.203
UKJ1,Sanitary Hot Water Tertiary,22,117.93
UKJ1,Sanitary Hot Water Tertiary,23,112.368
UKJ1,Sanitary Hot Water Tertiary,24,104.145
UKJ1,Sanitary Hot Water Tertiary,25,92.388
UKJ1,Sanitary Hot Water Tertiary,26,86.3046
UKJ1,Sanitary Hot Water Tertiary,27,82.49799999999998
UKJ1,Sanitary Hot Water Tertiary,28,82.5363
UKJ1,Sanitary Hot Water Tertiary,29,83.3162
UKJ1,Sanitary Hot Water Tertiary,30,87.0964
UKJ1,Sanitary Hot Water Tertiary,31,91.4457
UKJ1,Sanitary Hot Water Tertiary,32,97.9552
UKJ1,Sanitary Hot Water Tertiary,33,107.246
UKJ1,Sanitary Hot Water Tertiary,34,118.803
UKJ1,Sanitary Hot Water Tertiary,35,127.678
UKJ1,Sanitary Hot Water Tertiary,36,131.467
